S,E,I,R
19959,21,17,3
19947,27,19,7
19932,33,23,12
19905,40,39,16
19872,57,48,23
19838,65,66,31
19774,103,80,43
19706,135,103,56
19597,192,137,74
19453,259,193,95
19266,322,276,136
19025,433,355,187
18734,561,470,235
18299,765,636,300
17746,1034,813,407
17149,1244,1049,558
16402,1516,1335,747
15458,1889,1679,974
14263,2391,2116,1230
13045,2750,2639,1566
11643,3113,3251,1993
10130,3431,3995,2444
8443,3820,4705,3032
6979,3847,5456,3718
5621,3765,6052,4562
4434,3551,6630,5385
3416,3271,7054,6259
2593,2805,7393,7209
1956,2412,7455,8177
1494,1985,7420,9101
1143,1577,7178,10102
900,1250,6866,10984
728,996,6477,11799
622,762,6019,12597
529,599,5564,13308
476,463,5122,13939
455,356,4704,14485
436,297,4217,15050
421,251,3773,15555
403,217,3371,16009
425,161,3049,16365
443,141,2681,16735
461,132,2390,17017
472,116,2143,17269
497,105,1873,17525
518,98,1666,17718
556,81,1470,17893
603,75,1304,18018
643,72,1158,18127
687,67,1018,18228
735,64,899,18302
773,65,780,18382
827,49,704,18420
877,45,627,18451
924,47,562,18467
962,58,481,18499
1006,56,438,18500
1063,42,409,18486
1119,42,359,18480
1171,42,311,18476
1218,38,270,18474
1282,38,246,18434
1350,31,224,18395
1408,33,203,18356
1458,32,183,18327
1518,23,176,18283
1566,33,162,18239
1633,29,148,18190
1677,37,127,18159
1730,24,133,18113
1783,22,114,18081
1826,19,108,18047
1866,19,97,18018
1916,18,93,17973
1966,18,80,17936
2028,14,77,17881
2071,13,70,17846
2120,12,60,17808
2177,13,57,17753
2250,14,56,17680
2300,12,55,17633
2357,11,44,17588
2411,10,37,17542
2461,10,33,17496
2510,10,37,17443
2561,12,39,17388
2617,13,32,17338
2674,7,31,17288
2717,10,25,17248
2761,9,25,17205
2818,6,24,17152
2872,4,23,17101
2923,5,21,17051
2975,6,17,17002
3025,10,17,16948
3073,11,19,16897
3135,8,19,16838
3190,4,20,16786
3239,3,20,16738
3288,5,18,16689
3333,6,20,16641
3385,5,19,16591
3438,5,21,16536
3484,4,20,16492
3535,6,19,16440
3572,8,14,16406
3615,8,16,16361
3660,8,15,16317
3695,9,13,16283
3737,10,15,16238
3780,9,17,16194
3828,10,14,16148
3870,11,14,16105
3903,11,20,16066
3939,10,21,16030
3983,10,24,15983
4030,6,29,15935
4085,6,27,15882
4120,9,25,15846
4169,13,22,15796
4220,18,21,15741
4268,14,26,15692
4309,13,29,15649
4351,12,34,15603
4377,16,37,15570
4414,19,36,15531
4449,21,38,15492
4494,19,39,15448
4531,13,42,15414
4565,13,43,15379
4594,16,37,15353
4637,14,36,15313
4673,16,37,15274
4717,16,38,15229
4744,17,38,15201
4781,11,40,15168
4814,9,44,15133
4849,12,40,15099
4890,12,37,15061
4923,14,35,15028
4968,16,37,14979
5004,16,38,14942
5037,17,39,14907
5075,17,37,14871
5115,13,36,14836
5157,15,41,14787
5197,19,40,14744
5239,22,35,14704
5260,23,38,14679
5291,27,41,14641
5320,33,45,14602
5355,32,49,14564
5392,30,59,14519
5422,39,56,14483
5453,35,64,14448
5472,38,68,14422
5481,42,76,14401
5505,37,84,14374
5535,36,84,14345
5555,37,88,14320
5566,47,95,14292
5585,43,101,14271
5594,53,95,14258
5618,51,98,14233
5650,49,101,14200
5659,54,107,14180
5673,56,119,14152
5675,68,129,14128
5691,62,136,14111
5698,81,132,14089
5713,79,143,14065
5738,75,143,14044
5755,72,155,14018
5783,62,172,13983
5778,87,162,13973
5783,94,179,13944
5779,93,191,13937
5762,116,193,13929
5766,111,213,13910
5745,133,228,13894
5741,137,243,13879
5737,121,269,13873
5727,133,287,13853
5731,137,290,13842
5725,147,285,13843
5715,151,276,13858
5670,171,303,13856
5640,177,331,13852
5615,184,341,13860
5575,195,363,13867
5525,218,369,13888
5492,217,379,13912
5466,211,403,13920
5418,211,441,13930
5366,212,464,13958
5327,215,476,13982
5298,208,495,13999
5246,220,498,14036
5167,255,507,14071
5108,259,520,14113
5040,272,546,14142
5001,267,563,14169
4939,269,585,14207
4894,278,596,14232
4831,283,611,14275
4753,311,628,14308
4700,293,677,14330
4621,319,685,14375
4562,312,696,14430
4512,311,722,14455
4426,314,757,14503
4351,314,768,14567
4258,320,783,14639
4191,318,799,14692
4109,343,808,14740
4039,336,827,14798
3938,352,852,14858
3871,343,849,14937
3796,350,855,14999
3749,324,876,15051
3670,319,868,15143
3628,307,843,15222
3567,329,836,15268
3514,312,846,15328
3462,324,849,15365
3414,303,841,15442
3407,280,833,15480
3383,258,838,15521
3352,267,810,15571
3298,288,789,15625
3261,269,785,15685
3221,283,756,15740
3204,259,760,15777
3178,247,754,15821
3175,228,741,15856
3174,216,734,15876
3161,225,712,15902
3158,214,722,15906
3136,210,721,15933
3142,205,707,15946
3118,220,681,15981
3117,220,662,16001
3122,202,649,16027
3137,207,621,16035
3136,201,615,16048
3144,194,600,16062
3164,190,600,16046
3169,188,602,16041
3166,187,582,16065
3180,188,566,16066
3201,189,547,16063
3207,185,547,16061
3221,173,548,16058
3249,163,543,16045
3262,159,544,16035
3256,176,518,16050
3280,174,496,16050
3289,164,483,16064
3286,178,460,16076
3302,185,457,16056
3328,163,469,16040
3338,182,463,16017
3371,162,460,16007
3396,160,458,15986
