S,E,I,R
19965,15,13,7
19954,23,15,8
19939,32,20,9
19921,39,27,13
19894,50,40,16
19861,64,58,17
19801,92,80,27
19717,139,99,45
19612,200,126,62
19481,256,176,87
19301,344,235,120
19077,438,316,169
18828,518,442,212
18466,694,559,281
18026,881,723,370
17444,1125,943,488
16765,1395,1199,641
15884,1736,1544,836
14879,2103,1929,1089
13674,2510,2422,1394
12311,2908,3001,1780
10815,3255,3684,2246
9195,3615,4340,2850
7639,3776,5107,3478
6171,3802,5797,4230
4897,3698,6367,5038
3771,3423,6868,5938
2899,3005,7167,6929
2200,2572,7343,7885
1674,2178,7307,8841
1308,1752,7221,9719
1067,1357,6969,10607
848,1091,6649,11412
703,875,6200,12222
587,681,5752,12980
501,511,5306,13682
473,399,4797,14331
443,331,4298,14928
427,265,3894,15414
19980,0,20,0
