S,E,I,R
19966,14,16,4
19959,13,22,6
19946,22,22,10
19925,31,31,13
19900,46,37,17
19879,53,43,25
19826,85,53,36
19772,109,74,45
19690,155,97,58
19608,185,138,69
19470,248,190,92
19295,322,255,128
19058,438,335,169
18747,585,434,234
18366,748,564,322
17908,902,777,413
17295,1180,983,542
16595,1461,1243,701
15711,1777,1608,904
14675,2135,2038,1152
13349,2642,2519,1490
11996,2976,3134,1894
10501,3331,3778,2390
8901,3636,4515,2948
7355,3830,5184,3631
5930,3830,5866,4374
4657,3701,6420,5222
3539,3407,6972,6082
2724,2960,7300,7016
2047,2503,7443,8007
1541,2098,7408,8953
1177,1721,7228,9874
942,1296,7009,10753
763,1029,6602,11606
625,803,6168,12404
538,598,5674,13190
499,460,5188,13853
468,383,4752,14397
440,314,4296,14950
430,261,3869,15440
425,221,3452,15902
436,173,3079,16312
440,156,2743,16661
464,124,2446,16966
463,118,2163,17256
487,107,1939,17467
522,96,1716,17666
542,96,1536,17826
577,67,1375,17981
610,68,1203,18119
674,59,1068,18199
718,61,947,18274
779,50,830,18341
822,58,730,18390
872,58,667,18403
934,49,580,18437
975,51,518,18456
1035,41,463,18461
1090,43,409,18458
1151,46,353,18450
1204,47,320,18429
1246,44,296,18414
1301,34,262,18403
1329,36,237,18398
1376,43,210,18371
1427,33,197,18343
1494,30,176,18300
1555,26,156,18263
1608,28,132,18232
1672,25,129,18174
1713,14,118,18155
1767,18,99,18116
1825,24,88,18063
1880,17,87,18016
1925,23,75,17977
1983,18,74,17925
2043,10,71,17876
2092,11,58,17839
2148,8,50,17794
2197,13,43,17747
2263,9,42,17686
2328,9,41,17622
2377,6,45,17572
2439,6,42,17513
2495,7,36,17462
2546,6,30,17418
2615,3,30,17352
2654,8,26,17312
2710,5,24,17261
2762,3,24,17211
2822,3,21,17154
2873,5,18,17104
2919,4,14,17063
2959,2,13,17026
3017,1,14,16968
3065,4,13,16918
3118,4,9,16869
3164,4,6,16826
3206,4,5,16785
3253,4,4,16739
3302,3,5,16690
3354,5,3,16638
3396,2,6,16596
3434,1,7,16558
3477,1,5,16517
3526,2,4,16468
3569,0,6,16425
3612,0,6,16382
3680,2,6,16312
3717,3,7,16273
3752,4,6,16238
3798,4,7,16191
3829,2,8,16161
3871,0,9,16120
3921,1,6,16072
3977,1,6,16016
4025,0,7,15968
4068,1,4,15927
4113,1,3,15883
4160,1,3,15836
4207,0,3,15790
4257,0,3,15740
4308,0,3,15689
4361,0,2,15637
4409,0,2,15589
4460,1,2,15537
4511,1,3,15485
4562,1,2,15435
4604,1,2,15393
4645,0,3,15352
4691,0,3,15306
4740,0,3,15257
4781,0,3,15216
4811,1,2,15186
4854,0,3,15143
4894,1,1,15104
4923,1,1,15075
4966,1,1,15032
5005,1,2,14992
5038,0,3,14959
5078,0,2,14920
