S,E,I,R
19967,13,15,5
19955,21,19,5
19941,25,21,13
19924,28,29,19
19902,42,34,22
19874,53,42,31
19843,62,54,41
19804,80,70,46
19758,101,80,61
19707,120,101,72
19617,164,132,87
19510,221,167,102
19345,299,233,123
19138,388,305,169
18889,479,414,218
18537,653,518,292
18130,837,644,389
17622,1049,827,502
16961,1309,1102,628
16213,1562,1426,799
15183,1970,1846,1001
13994,2403,2334,1269
12641,2865,2859,1635
11186,3238,3498,2078
9602,3607,4159,2632
8088,3732,4932,3248
6618,3826,5612,3944
5288,3731,6243,4738
4165,3436,6738,5661
3172,3148,7109,6571
2387,2781,7343,7489
1771,2338,7431,8460
1340,1907,7350,9403
1029,1498,7109,10364
846,1153,6755,11246
683,932,6327,12058
586,694,5929,12791
515,526,5488,13471
470,432,4941,14157
442,348,4469,14741
415,287,4004,15294
399,223,3597,15781
419,180,3216,16185
445,146,2870,16539
481,140,2534,16845
506,126,2263,17105
516,108,2016,17360
535,105,1798,17562
557,82,1597,17764
597,76,1396,17931
617,88,1247,18048
642,84,1139,18135
684,76,1023,18217
728,68,925,18279
768,58,845,18329
831,50,744,18375
892,48,653,18407
940,50,563,18447
992,49,505,18454
1049,49,442,18460
1100,47,384,18469
1147,41,358,18454
1201,47,320,18432
1250,43,302,18405
1319,32,282,18367
1376,30,250,18344
1435,22,221,18322
1490,20,198,18292
1536,33,168,18263
1581,25,164,18230
1619,20,154,18207
1654,22,136,18188
1719,27,113,18141
1766,23,117,18094
1824,18,97,18061
1879,21,86,18014
1934,21,78,17967
1996,20,77,17907
2043,21,68,17868
2093,22,61,17824
2139,17,61,17783
2204,15,59,17722
2259,14,50,17677
2315,15,46,17624
2378,10,45,17567
2438,6,48,17508
2500,9,39,17452
2548,12,30,17410
2611,10,31,17348
2680,6,32,17282
2738,8,26,17228
2789,5,27,17179
2840,6,24,17130
2893,6,20,17081
2946,6,19,17029
2993,6,19,16982
3044,2,20,16934
3097,7,16,16880
3149,7,17,16827
3204,4,20,16772
3252,3,18,16727
3312,4,14,16670
3359,2,15,16624
3413,3,14,16570
3454,2,13,16531
3497,6,9,16488
3538,1,13,16448
3589,4,10,16397
3629,2,11,16358
3687,3,9,16301
3727,2,12,16259
3782,0,11,16207
3830,0,9,16161
3874,2,9,16115
3920,1,10,16069
3963,4,7,16026
4014,3,8,15975
4050,2,7,15941
4095,3,5,15897
4147,2,5,15846
4181,2,5,15812
4216,0,6,15778
4265,1,5,15729
4303,1,5,15691
4347,1,4,15648
4397,2,5,15596
4429,2,7,15562
4478,3,6,15513
4522,2,5,15471
4572,3,5,15420
4620,1,5,15374
4665,3,5,15327
4706,3,3,15288
4749,2,4,15245
4787,1,5,15207
4833,1,5,15161
4882,0,6,15112
4923,1,5,15071
4977,2,5,15016
5021,1,6,14972
5059,1,4,14936
5107,2,3,14888
5137,2,3,14858
5182,2,3,14813
5228,4,2,14766
5270,4,3,14723
5309,3,3,14685
5350,3,4,14643
5398,2,5,14595
5442,0,6,14552
5483,0,4,14513
5526,0,4,14470
5575,0,4,14421
5615,1,4,14380
5659,2,3,14336
5694,2,3,14301
5729,1,4,14266
5765,2,4,14229
5808,5,3,14184
5839,4,3,14154
5884,2,4,14110
5931,2,5,14062
5968,3,6,14023
5994,2,8,13996
6025,3,7,13965
6055,3,8,13934
6087,4,9,13900
6123,5,9,13863
6164,6,8,13822
6193,3,12,13792
6223,6,13,13758
6261,5,13,13721
6300,7,13,13680
6327,11,14,13648
6362,7,19,13612
6404,6,17,13573
6435,5,17,13543
6475,5,15,13505
6506,7,13,13474
6537,7,14,13442
6576,8,15,13401
6616,10,16,13358
6660,7,18,13315
6683,15,15,13287
6710,19,17,13254
6746,18,20,13216
6774,18,22,13186
6811,21,23,13145
6838,22,27,13113
6859,27,32,13082
6882,28,34,13056
6908,33,40,13019
6931,30,48,12991
6943,33,53,12971
6957,33,64,12946
6980,45,61,12914
6993,39,67,12901
6999,49,75,12877
7016,49,83,12852
7024,52,93,12831
7020,68,96,12816
7038,65,101,12796
7045,61,117,12777
7036,72,126,12766
7039,78,129,12754
7021,99,134,12746
7011,109,145,12735
6999,105,164,12732
6989,113,186,12712
6968,126,210,12696
6960,132,225,12683
6941,136,243,12680
6914,155,260,12671
6874,177,273,12676
6859,167,311,12663
6795,197,330,12678
6745,207,373,12675
6681,228,395,12696
6619,237,422,12722
6559,257,433,12751
6483,279,477,12761
6418,278,512,12792
6330,302,547,12821
6237,312,580,12871
6135,338,611,12916
6061,342,640,12957
5953,367,683,12997
5827,404,742,13027
5711,383,828,13078
5568,424,858,13150
5407,486,873,13234
5289,477,924,13310
5153,459,966,13422
5003,487,1002,13508
4888,469,1028,13615
4717,515,1064,13704
4578,524,1097,13801
4432,507,1163,13898
4293,506,1222,13979
4143,502,1228,14127
4008,504,1242,14246
3872,483,1284,14361
3768,463,1259,14510
3643,469,1244,14644
3523,461,1262,14754
3418,482,1246,14854
3313,463,1238,14986
3211,430,1249,15110
3119,402,1277,15202
3018,422,1249,15311
2964,405,1224,15407
2884,380,1230,15506
2843,364,1205,15588
2776,343,1189,15692
2711,316,1182,15791
2668,317,1114,15901
2637,305,1072,15986
2619,275,1064,16042
2588,279,1010,16123
2571,282,963,16184
2541,278,926,16255
2522,269,900,16309
2519,251,876,16354
2527,239,833,16401
2521,227,811,16441
2517,210,796,16477
2520,200,764,16516
2538,201,711,16550
2551,207,676,16566
2574,191,667,16568
2587,159,656,16598
2614,164,623,16599
2625,166,604,16605
2630,178,577,16615
2642,173,552,16633
2671,159,546,16624
2693,145,526,16636
2703,139,514,16644
2744,136,480,16640
2787,142,450,16621
2827,138,441,16594
2852,139,423,16586
2874,139,438,16549
2942,115,428,16515
2966,112,415,16507
3009,109,408,16474
3044,107,392,16457
3092,105,363,16440
3149,90,347,16414
3198,89,327,16386
3251,105,308,16336
3310,96,301,16293
3372,89,292,16247
3427,88,286,16199
3491,86,272,16151
3546,99,272,16083
3573,105,265,16057
3626,110,259,16005
3656,118,271,15955
3694,123,263,15920
3736,114,261,15889
3769,106,273,15852
3806,100,271,15823
3858,100,264,15778
3925,94,266,15715
3988,85,271,15656
4035,105,267,15593
4063,120,264,15553
4100,107,272,15521
4138,106,263,15493
4169,110,275,15446
4198,118,287,15397
4235,113,295,15357
4265,124,291,15320
4296,122,298,15284
4314,142,299,15245
4359,130,319,15192
4390,129,322,15159
4404,145,322,15129
4435,141,338,15086
4488,134,348,15030
4512,142,353,14993
4539,154,347,14960
4568,151,359,14922
4589,162,347,14902
4593,167,363,14877
4598,158,386,14858
4598,163,391,14848
4596,174,400,14830
4620,174,396,14810
4624,163,427,14786
4650,175,442,14733
4638,184,453,14725
4640,197,468,14695
4642,216,477,14665
4622,245,479,14654
4621,228,491,14660
4608,238,493,14661
4621,221,511,14647
4619,213,521,14647
4621,223,520,14636
4597,219,540,14644
4577,230,561,14632
4575,224,583,14618
4559,229,593,14619
4563,231,580,14626
4539,246,587,14628
4528,266,614,14592
4499,282,615,14604
4467,292,622,14619
4450,299,633,14618
4427,271,663,14639
4385,299,676,14640
4360,306,691,14643
4327,331,692,14650
4282,339,715,14664
4219,350,727,14704
4225,301,753,14721
4196,296,753,14755
4142,314,788,14756
4091,335,807,14767
4056,327,826,14791
4024,321,830,14825
3965,319,841,14875
3924,315,862,14899
3885,310,881,14924
3838,343,866,14953
3815,319,871,14995
3765,328,868,15039
3737,337,842,15084
3698,324,884,15094
3654,345,878,15123
3623,358,841,15178
3562,375,841,15222
3551,360,864,15225
3558,330,885,15227
3550,335,873,15242
3512,329,897,15262
3468,334,897,15301
3461,331,879,15329
3453,333,866,15348
3425,320,874,15381
3440,307,873,15380
3446,288,856,15410
3447,262,859,15432
3451,280,831,15438
3453,282,822,15443
3453,287,814,15446
3415,317,809,15459
3390,324,788,15498
3369,320,783,15528
3380,287,823,15510
3355,297,826,15522
3354,287,818,15541
3357,275,812,15556
3356,289,799,15556
3356,274,797,15573
3343,270,805,15582
3369,245,822,15564
3377,246,800,15577
3364,278,766,15592
3360,267,766,15607
3375,266,742,15617
3382,254,744,15620
3382,250,736,15632
3367,263,718,15652
3377,236,727,15660
3397,248,721,15634
3376,266,709,15649
3390,241,710,15659
3368,276,710,15646
3371,272,721,15636
3381,264,717,15638
3400,248,739,15613
3437,235,713,15615
3443,233,682,15642
3468,211,694,15627
3455,226,677,15642
3502,215,679,15604
3525,220,659,15596
3532,232,635,15601
3560,227,641,15572
3563,234,640,15563
3569,241,646,15544
3574,239,638,15549
3591,227,619,15563
3582,227,607,15584
3596,217,604,15583
3628,221,604,15547
3627,244,596,15533
3640,225,596,15539
3654,238,592,15516
3673,242,616,15469
3697,225,632,15446
3718,219,631,15432
3745,219,619,15417
3784,211,622,15383
3791,232,594,15383
3806,222,607,15365
3823,227,591,15359
3869,222,594,15315
3899,230,592,15279
3934,225,593,15248
3946,239,610,15205
3947,231,620,15202
3954,234,641,15171
3955,237,649,15159
3971,232,638,15159
3957,264,618,15161
3955,263,622,15160
3945,268,639,15148
3941,255,648,15156
3949,233,671,15147
3928,245,659,15168
3934,257,657,15152
3912,251,664,15173
3917,259,655,15169
3900,270,659,15171
3902,271,659,15168
3900,245,697,15158
3884,266,675,15175
3898,232,703,15167
3889,246,693,15172
3883,257,689,15171
3882,254,674,15190
3857,261,672,15210
3884,259,672,15185
3883,254,679,15184
3875,261,656,15208
3860,271,654,15215
3867,257,675,15201
3888,256,648,15208
3876,252,665,15207
3877,266,671,15186
3888,236,688,15188
3855,239,694,15212
3842,250,707,15201
3845,262,717,15176
3836,281,733,15150
3810,298,726,15166
3774,309,737,15180
3752,315,740,15193
3725,296,755,15224
3730,299,742,15229
3710,310,735,15245
3684,290,752,15274
3682,287,740,15291
3661,270,746,15323
3661,277,754,15308
3644,294,758,15304
3633,285,752,15330
3648,266,746,15340
