S,E,I,R
19974,6,16,4
19963,18,15,4
19950,24,18,8
19934,30,23,13
19916,34,34,16
19887,51,43,19
19851,67,56,26
19806,88,70,36
19743,115,94,48
19660,158,121,61
19537,210,171,82
19381,290,222,107
19167,391,297,145
18911,498,399,192
18562,649,521,268
18117,833,695,355
17557,1061,917,465
16863,1365,1143,629
16004,1687,1487,822
14993,2052,1881,1074
13733,2513,2411,1343
12364,2911,3024,1701
10835,3362,3619,2184
9249,3678,4310,2763
7646,3870,5066,3418
6198,3769,5851,4182
4888,3669,6460,4983
3745,3388,6964,5903
2871,3011,7266,6852
2214,2539,7411,7836
1709,2090,7393,8808
1313,1694,7232,9761
1003,1379,6948,10670
804,1106,6563,11527
666,877,6097,12360
570,684,5660,13086
515,521,5194,13770
471,416,4706,14407
459,334,4238,14969
449,278,3843,15430
460,222,3442,15876
465,189,3080,16266
465,153,2755,16627
480,124,2478,16918
495,113,2194,17198
512,92,1928,17468
539,97,1680,17684
590,82,1499,17829
625,78,1328,17969
658,82,1170,18090
704,81,1012,18203
736,72,903,18289
781,65,800,18354
807,63,718,18412
859,48,639,18454
909,52,544,18495
965,49,480,18506
1007,43,426,18524
1073,29,386,18512
1142,18,347,18493
1195,22,298,18485
1233,31,262,18474
1286,32,241,18441
1331,27,211,18431
1391,23,184,18402
1464,30,157,18349
1523,24,152,18301
1565,20,143,18272
1617,16,135,18232
1677,16,121,18186
1741,13,106,18140
1811,14,90,18085
1867,15,83,18035
1928,11,80,17981
1983,11,67,17939
2043,12,58,17887
2095,11,55,17839
2145,17,52,17786
2196,13,49,17742
2250,11,45,17694
2300,10,45,17645
2347,11,42,17600
2412,7,37,17544
2464,9,32,17495
2523,8,35,17434
2586,8,33,17373
2646,4,33,17317
2697,6,30,17267
2741,9,29,17221
2788,9,26,17177
2830,10,27,17133
2880,6,25,17089
2931,5,27,17037
2977,4,24,16995
3014,6,19,16961
3070,8,16,16906
3123,5,18,16854
3165,6,17,16812
3210,4,18,16768
3247,3,17,16733
3294,5,14,16687
3329,7,12,16652
3374,7,10,16609
3411,4,13,16572
3460,6,11,16523
3501,8,10,16481
3549,7,11,16433
3600,7,11,16382
3633,9,11,16347
3677,4,16,16303
3715,6,15,16264
3763,8,14,16215
3809,5,15,16171
3859,3,16,16122
3889,8,12,16091
3927,9,13,16051
3975,12,13,16000
4007,8,14,15971
4047,9,14,15930
4091,9,15,15885
4131,7,14,15848
4186,7,17,15790
4224,10,16,15750
4261,11,17,15711
4292,10,17,15681
4326,8,19,15647
4378,6,19,15597
4418,7,20,15555
4457,5,24,15514
4518,7,19,15456
4563,8,20,15409
4601,10,19,15370
4636,10,17,15337
4671,6,21,15302
4703,5,20,15272
4742,8,18,15232
4770,7,22,15201
4819,12,23,15146
4861,11,30,15098
4894,12,26,15068
4925,5,31,15039
4973,4,30,14993
5023,10,25,14942
5073,9,21,14897
5110,12,24,14854
5156,11,22,14811
5198,12,19,14771
5239,12,20,14729
5270,14,16,14700
5304,15,20,14661
5342,12,21,14625
5383,13,21,14583
5416,18,24,14542
5449,17,25,14509
5491,16,25,14468
5513,16,30,14441
5545,21,30,14404
5589,22,35,14354
5630,23,35,14312
5662,18,38,14282
5692,15,40,14253
5716,24,37,14223
5751,26,38,14185
5779,33,40,14148
5813,34,43,14110
5842,31,54,14073
5860,36,58,14046
5874,42,63,14021
5891,43,62,14004
5933,38,65,13964
5952,40,69,13939
5970,44,74,13912
5989,41,80,13890
6008,37,90,13865
6035,48,89,13828
6064,53,86,13797
6098,60,84,13758
6109,60,92,13739
6137,52,111,13700
6142,67,106,13685
6156,67,112,13665
6181,55,133,13631
6189,55,136,13620
6200,62,131,13607
6187,75,144,13594
6176,91,155,13578
6176,96,168,13560
6184,93,186,13537
6182,101,185,13532
6167,116,190,13527
6161,124,202,13513
6148,130,219,13503
6129,148,234,13489
6112,156,248,13484
6100,153,265,13482
6093,155,273,13479
6057,167,293,13483
6033,180,314,13473
5992,179,335,13494
5954,195,361,13490
5903,200,391,13506
5870,200,412,13518
5821,218,432,13529
5775,232,445,13548
5714,239,453,13594
5661,244,493,13602
5600,248,507,13645
5535,263,523,13679
5452,291,563,13694
5362,302,609,13727
5288,300,657,13755
5174,339,658,13829
5098,335,684,13883
5000,336,715,13949
4921,334,734,14011
4825,362,736,14077
4727,378,775,14120
4635,360,825,14180
4535,383,832,14250
4445,375,860,14320
4365,349,897,14389
4294,345,896,14465
4208,351,908,14533
4114,376,907,14603
4026,383,914,14677
3938,375,945,14742
3872,363,937,14828
3788,369,921,14922
3734,348,936,14982
3697,326,957,15020
3612,338,933,15117
3571,317,912,15200
3507,331,916,15246
3473,308,898,15321
3419,298,893,15390
3372,308,894,15426
3336,300,871,15493
3266,317,890,15527
3213,296,886,15605
3172,269,908,15651
3143,264,880,15713
3097,265,859,15779
3051,284,831,15834
3030,257,837,15876
3004,259,800,15937
2993,259,784,15964
2984,237,766,16013
2977,214,755,16054
2958,223,716,16103
2958,221,694,16127
2944,218,649,16189
2952,211,629,16208
2941,200,607,16252
2979,188,597,16236
3010,177,574,16239
3032,176,542,16250
3057,180,528,16235
3088,165,522,16225
3115,165,511,16209
3146,152,493,16209
3181,138,480,16201
3200,156,468,16176
3226,151,447,16176
3251,158,432,16159
3275,154,446,16125
3303,146,446,16105
3345,146,446,16063
3353,152,435,16060
3394,145,419,16042
3422,139,427,16012
3440,136,421,16003
3467,143,418,15972
3518,145,410,15927
3557,134,390,15919
3575,147,378,15900
3593,141,375,15891
3614,132,386,15868
3632,133,387,15848
3657,130,386,15827
3693,137,386,15784
3708,145,385,15762
3743,139,375,15743
3755,143,382,15720
3806,125,386,15683
3835,143,373,15649
3859,149,354,15638
3904,147,355,15594
3924,139,360,15577
3950,147,356,15547
3976,146,354,15524
3997,146,361,15496
4019,154,370,15457
4038,155,369,15438
4061,148,380,15411
4059,153,384,15404
4073,153,396,15378
4108,145,401,15346
4122,145,397,15336
4139,156,390,15315
4173,171,372,15284
4214,189,351,15246
4241,178,367,15214
4261,170,371,15198
4301,157,386,15156
4292,164,393,15151
4333,145,402,15120
4345,156,414,15085
4363,163,418,15056
4372,169,421,15038
4390,168,431,15011
4424,177,426,14973
4428,183,439,14950
4422,183,455,14940
4427,207,452,14914
4435,206,465,14894
4438,204,472,14886
4421,225,479,14875
4422,231,503,14844
4402,225,503,14870
4375,246,503,14876
4373,215,536,14876
4338,256,531,14875
4329,263,532,14876
4356,223,553,14868
4314,248,566,14872
4316,241,567,14876
4303,247,586,14864
4317,233,605,14845
4296,244,585,14875
4289,237,583,14891
4261,252,597,14890
4235,268,601,14896
4229,267,612,14892
4228,253,636,14883
4216,262,639,14883
4221,271,634,14874
4193,275,640,14892
4188,266,654,14892
4166,278,657,14899
4155,281,662,14902
4130,293,663,14914
4111,274,676,14939
4088,264,704,14944
4065,270,696,14969
4040,292,696,14972
4020,291,704,14985
4001,283,720,14996
3999,252,714,15035
3993,259,711,15037
3991,260,698,15051
3976,271,688,15065
3983,266,715,15036
3967,258,710,15065
3926,282,702,15090
3915,270,698,15117
3904,276,689,15131
3893,274,670,15163
3859,286,681,15174
3865,271,700,15164
3865,262,705,15168
3862,266,708,15164
3858,234,722,15186
3840,243,695,15222
3841,251,683,15225
3835,248,688,15229
3832,243,682,15243
3824,253,668,15255
3808,268,662,15262
3803,278,658,15261
3803,290,662,15245
3791,289,669,15251
3797,249,689,15265
3791,247,691,15271
3785,262,702,15251
3784,249,719,15248
3775,249,727,15249
3764,258,734,15244
3760,282,711,15247
3774,250,714,15262
3780,261,691,15268
3789,277,684,15250
3816,251,701,15232
3798,247,706,15249
3783,258,685,15274
3782,258,676,15284
3765,257,690,15288
3747,269,694,15290
3726,266,695,15313
3701,273,701,15325
3689,262,721,15328
3665,275,709,15351
3655,269,706,15370
3648,257,703,15392
3631,244,712,15413
3617,238,710,15435
3635,245,697,15423
3647,236,689,15428
3653,245,655,15447
3646,242,661,15451
3622,268,648,15462
3600,295,622,15483
3612,253,637,15498
3624,241,653,15482
3648,221,666,15465
3635,227,674,15464
3641,225,675,15459
3665,213,663,15459
3655,234,652,15459
3669,239,641,15451
3684,236,635,15445
3675,263,620,15442
3710,243,624,15423
3703,263,615,15419
3711,244,646,15399
3718,247,622,15413
3715,256,631,15398
3726,240,670,15364
3727,227,682,15364
3709,248,666,15377
3678,268,661,15393
3683,267,647,15403
3683,259,655,15403
3687,242,673,15398
3699,243,669,15389
3705,244,666,15385
3693,242,675,15390
3671,263,672,15394
3677,256,685,15382
3683,259,670,15388
3691,259,659,15391
3681,254,664,15401
3666,273,655,15406
3658,266,654,15422
3663,256,642,15439
3676,252,631,15441
3683,254,645,15418
3693,255,648,15404
3695,277,656,15372
3702,285,667,15346
3733,288,663,15316
3759,270,662,15309
3746,280,663,15311
3721,282,677,15320
3739,263,698,15300
3734,254,708,15304
3732,232,725,15311
3714,245,698,15343
3699,253,715,15333
3688,252,719,15341
3685,254,680,15381
3713,245,674,15368
3716,254,675,15355
3729,252,659,15360
3711,266,660,15363
3708,252,660,15380
3718,236,663,15383
3741,229,658,15372
3733,225,648,15394
3730,232,652,15386
3728,236,634,15402
3726,249,619,15406
3742,231,636,15391
3746,225,635,15394
3738,243,619,15400
3752,235,616,15397
3767,225,605,15403
3747,242,604,15407
3766,245,611,15378
3775,232,606,15387
3785,221,625,15369
3791,238,606,15365
3786,237,621,15356
3786,232,619,15363
3818,214,607,15361
3813,218,600,15369
3828,208,592,15372
3841,203,581,15375
3858,206,590,15346
3844,214,596,15346
3844,225,588,15343
3852,227,580,15341
3836,225,589,15350
3837,229,599,15335
3835,245,594,15326
3825,244,599,15332
3824,246,601,15329
3801,243,611,15345
3803,235,626,15336
3795,240,626,15339
3819,219,630,15332
3809,222,634,15335
3831,223,635,15311
3852,217,617,15314
3886,218,607,15289
3877,223,601,15299
3878,219,596,15307
3880,232,599,15289
3882,239,604,15275
3880,237,607,15276
3895,224,601,15280
3890,225,604,15281
3906,221,603,15270
3900,223,599,15278
3894,234,583,15289
3895,245,579,15281
3889,243,581,15287
3892,226,570,15312
3879,253,546,15322
3889,238,552,15321
3908,226,584,15282
3933,235,576,15256
3936,233,589,15242
3944,240,572,15244
3961,225,580,15234
3955,226,571,15248
3926,236,582,15256
3944,214,590,15252
3944,224,565,15267
3939,243,573,15245
3946,232,606,15216
3955,234,583,15228
3953,221,590,15236
3955,244,583,15218
3980,230,589,15201
3996,232,576,15196
4007,223,592,15178
4008,231,580,15181
4003,210,606,15181
3999,227,598,15176
3992,235,592,15181
4008,250,595,15147
4004,233,619,15144
4001,246,603,15150
4019,230,631,15120
4033,209,644,15114
4021,236,627,15116
4016,255,618,15111
3988,270,619,15123
3978,283,625,15114
3985,257,649,15109
3994,263,651,15092
3989,252,669,15090
3979,256,682,15083
3973,258,674,15095
3952,280,665,15103
3936,270,691,15103
3902,276,704,15118
3889,265,730,15116
3866,268,716,15150
3853,276,717,15154
3829,270,718,15183
3833,261,707,15199
3805,271,696,15228
3808,269,689,15234
3805,251,694,15250
3792,250,711,15247
3802,232,719,15247
3781,271,705,15243
3773,279,713,15235
3763,247,735,15255
3769,254,699,15278
3747,254,705,15294
3734,256,704,15306
3732,261,683,15324
3718,250,680,15352
3713,270,660,15357
3704,266,654,15376
