S,E,I,R
19964,16,17,3
19951,20,25,4
19939,24,29,8
19912,39,37,12
19884,54,44,18
19856,64,53,27
19818,78,71,33
19740,124,89,47
19664,151,123,62
19545,211,159,85
19387,281,218,114
19180,371,292,157
18947,463,375,215
18675,574,488,263
18251,756,660,333
17719,1012,841,428
17040,1315,1065,580
16246,1637,1371,746
15228,2030,1784,958
14065,2431,2260,1244
12785,2794,2830,1591
11326,3199,3452,2023
9849,3548,4049,2554
8272,3775,4788,3165
6785,3809,5524,3882
5368,3814,6121,4697
4173,3573,6733,5521
3174,3222,7159,6445
2397,2773,7413,7417
1838,2303,7504,8355
1413,1919,7365,9303
1109,1545,7135,10211
866,1222,6836,11076
696,979,6418,11907
578,760,5982,12680
500,620,5503,13377
438,512,5014,14036
406,380,4543,14671
379,298,4141,15182
389,241,3756,15614
394,187,3393,16026
411,153,2998,16438
426,139,2673,16762
457,112,2416,17015
481,123,2124,17272
502,128,1893,17477
532,108,1664,17696
558,97,1499,17846
606,81,1329,17984
614,91,1195,18100
658,83,1064,18195
682,65,947,18306
724,53,822,18401
778,45,736,18441
838,40,651,18471
891,41,567,18501
928,44,501,18527
986,41,431,18542
1023,42,384,18551
1089,38,332,18541
1136,38,298,18528
1193,29,258,18520
1249,23,230,18498
1299,21,205,18475
1348,15,187,18450
1408,16,165,18411
1459,22,145,18374
1520,15,136,18329
1566,17,119,18298
1631,15,112,18242
1690,17,101,18192
1759,13,91,18137
1816,9,87,18088
1866,14,73,18047
1931,14,71,17984
1980,11,64,17945
2055,13,53,17879
2108,13,53,17826
2167,13,45,17775
2218,10,42,17730
2273,8,41,17678
2328,11,32,17629
2392,12,33,17563
2440,11,37,17512
2486,7,32,17475
2542,6,27,17425
2584,9,29,17378
2624,9,27,17340
2664,10,22,17304
2710,5,24,17261
2767,4,23,17206
2815,4,21,17160
2866,6,13,17115
2922,6,10,17062
2983,4,11,17002
3040,4,10,16946
3093,5,8,16894
3145,4,9,16842
3188,4,10,16798
3224,4,11,16761
3276,5,10,16709
3335,3,12,16650
3389,3,9,16599
3429,6,9,16556
3471,4,10,16515
3520,4,11,16465
3576,3,7,16414
3610,3,6,16381
3656,3,6,16335
3700,4,7,16289
3734,5,6,16255
3787,5,7,16201
3826,4,9,16161
3863,4,6,16127
3896,6,5,16093
3937,3,7,16053
3975,5,5,16015
4029,3,6,15962
4079,3,6,15912
4134,3,6,15857
4174,1,8,15817
4215,2,8,15775
4261,1,7,15731
4301,0,7,15692
4339,2,7,15652
4373,3,6,15618
4422,1,6,15571
4468,1,5,15526
4503,1,5,15491
4544,3,5,15448
4581,5,5,15409
4618,4,6,15372
4664,5,6,15325
4695,5,6,15294
4731,4,7,15258
4766,7,8,15219
4818,5,9,15168
4858,5,10,15127
4910,5,11,15074
4940,4,12,15044
4982,3,15,15000
5030,7,13,14950
5063,5,13,14919
5099,4,16,14881
5140,6,14,14840
5179,7,12,14802
5219,6,12,14763
5263,3,13,14721
5306,4,12,14678
5347,6,10,14637
5395,6,10,14589
5434,4,11,14551
