S,E,I,R
19966,14,18,2
19951,22,24,3
19937,27,27,9
19921,34,28,17
19894,44,41,21
19855,64,59,22
19802,97,66,35
19746,108,101,45
19639,169,122,70
19522,224,166,88
19370,303,213,114
19150,411,298,141
18900,511,400,189
18564,649,538,249
18113,856,688,343
17539,1095,908,458
16858,1381,1165,596
15959,1735,1518,788
14920,2107,1948,1025
13661,2586,2391,1362
12325,2929,3015,1731
10801,3286,3744,2169
9157,3671,4460,2712
7582,3834,5202,3382
6168,3822,5849,4161
4886,3700,6415,4999
3772,3477,6867,5884
2917,2981,7287,6815
2215,2572,7438,7775
1685,2136,7458,8721
1301,1766,7251,9682
1034,1368,7000,10598
857,1060,6631,11452
703,853,6191,12253
618,665,5676,13041
526,549,5175,13750
468,436,4697,14399
436,352,4258,14954
438,258,3830,15474
450,220,3443,15887
446,205,3092,16257
470,165,2769,16596
488,142,2468,16902
501,128,2197,17174
515,110,1982,17393
533,104,1749,17614
573,90,1558,17779
607,71,1372,17950
648,71,1228,18053
686,77,1088,18149
740,61,975,18224
764,66,867,18303
796,64,786,18354
850,54,692,18404
879,59,610,18452
945,46,536,18473
1012,42,482,18464
1070,40,428,18462
1123,45,381,18451
1192,28,349,18431
1254,31,305,18410
1319,25,268,18388
1385,26,238,18351
1430,27,211,18332
1475,25,201,18299
1532,28,172,18268
1599,25,157,18219
1656,23,138,18183
1702,23,123,18152
1761,19,113,18107
1816,18,100,18066
1881,12,94,18013
1932,13,85,17970
1985,16,79,17920
2041,16,68,17875
2101,17,69,17813
2167,14,67,17752
2231,17,59,17693
2268,14,59,17659
2314,11,58,17617
2371,11,56,17562
2408,12,55,17525
2461,13,49,17477
2508,16,45,17431
2552,17,43,17388
2620,7,51,17322
2665,10,47,17278
2704,13,44,17239
2747,16,43,17194
2811,17,39,17133
2868,14,39,17079
2914,12,40,17034
2961,7,42,16990
3004,12,35,16949
3049,14,28,16909
3106,14,30,16850
3150,11,30,16809
3195,12,32,16761
3243,10,38,16709
3304,8,36,16652
3351,7,35,16607
3402,6,32,16560
3449,7,30,16514
3495,9,29,16467
3540,8,25,16427
3573,9,22,16396
3604,15,20,16361
3651,11,24,16314
3698,13,25,16264
3746,10,27,16217
3792,6,26,16176
3841,4,25,16130
3897,6,23,16074
3940,6,21,16033
3988,5,18,15989
4030,7,19,15944
4075,7,19,15899
4119,7,16,15858
4166,7,16,15811
4217,5,16,15762
4257,4,14,15725
4300,5,11,15684
4340,7,10,15643
4373,6,12,15609
4433,1,17,15549
4478,1,17,15504
4526,1,15,15458
4566,3,15,15416
4610,5,15,15370
4654,3,16,15327
4696,5,16,15283
4730,5,16,15249
4778,6,14,15202
4817,9,12,15162
4861,8,12,15119
4898,7,13,15082
4954,8,14,15024
4987,9,18,14986
5018,10,20,14952
5053,9,20,14918
5099,2,23,14876
5141,10,23,14826
5173,9,26,14792
5199,6,28,14767
5236,11,31,14722
5282,7,30,14681
5309,10,32,14649
5345,9,35,14611
5367,17,33,14583
5414,15,37,14534
5442,17,37,14504
5477,18,38,14467
5515,21,32,14432
5533,22,38,14407
5568,24,39,14369
5590,27,45,14338
5627,24,49,14300
5647,31,48,14274
5674,29,45,14252
5698,26,53,14223
5730,23,58,14189
5762,26,58,14154
5784,35,53,14128
5810,39,55,14096
5837,41,61,14061
5867,40,63,14030
5891,38,76,13995
5906,42,82,13970
5927,43,85,13945
5947,48,85,13920
5974,46,84,13896
5988,48,78,13886
6009,50,81,13860
6038,46,98,13818
6053,52,102,13793
6072,54,97,13777
6088,44,113,13755
6109,47,121,13723
6117,53,133,13697
6127,60,137,13676
6149,64,141,13646
6160,64,145,13631
6161,66,155,13618
6169,86,151,13594
6171,95,153,13581
6173,95,173,13559
6161,108,178,13553
6170,106,192,13532
6162,100,207,13531
6167,105,207,13521
6156,104,218,13522
6158,100,234,13508
6133,118,247,13502
6109,137,261,13493
6093,150,268,13489
6084,151,278,13487
6069,153,293,13485
6039,160,298,13503
5995,181,302,13522
5961,180,324,13535
5910,191,356,13543
5858,207,380,13555
5805,221,400,13574
5765,226,418,13591
5722,218,447,13613
5658,241,472,13629
5592,247,505,13656
5539,259,523,13679
5468,277,544,13711
5408,288,577,13727
5345,277,615,13763
5249,310,641,13800
5169,334,649,13848
5055,363,664,13918
4982,336,712,13970
4885,357,721,14037
4786,364,750,14100
4684,369,803,14144
4560,397,865,14178
4419,435,890,14256
4308,435,928,14329
4238,421,952,14389
4131,421,953,14495
4061,401,991,14547
3944,412,1003,14641
3850,399,1033,14718
3771,406,1006,14817
3683,390,1013,14914
3576,409,1029,14986
3491,400,1039,15070
3440,377,1030,15153
3371,345,1036,15248
3283,370,1011,15336
3228,338,1037,15397
3177,337,1011,15475
3136,322,991,15551
3092,305,972,15631
3026,316,954,15704
2990,299,940,15771
2970,256,947,15827
2928,254,934,15884
2886,269,907,15938
2843,250,890,16017
2812,269,843,16076
2769,279,817,16135
2768,260,810,16162
2751,248,796,16205
2740,219,806,16235
2728,227,767,16278
2732,238,730,16300
2737,204,731,16328
2741,205,714,16340
2746,205,697,16352
2745,206,672,16377
2777,187,654,16382
2787,172,643,16398
2796,186,628,16390
2820,172,604,16404
2855,162,595,16388
2887,148,586,16379
2908,145,547,16400
2936,155,514,16395
2941,170,484,16405
2961,180,477,16382
2991,152,482,16375
3013,160,465,16362
3042,153,464,16341
3066,159,454,16321
3095,135,458,16312
3112,146,437,16305
3159,147,426,16268
3213,136,412,16239
3242,128,400,16230
3282,127,384,16207
3318,131,374,16177
3335,135,373,16157
3372,120,372,16136
3422,120,354,16104
3477,115,340,16068
3528,112,326,16034
3578,108,303,16011
3625,107,296,15972
3678,112,285,15925
3713,109,291,15887
3763,121,295,15821
3798,119,292,15791
3818,117,298,15767
3866,118,294,15722
3910,118,286,15686
3946,124,287,15643
3988,122,295,15595
4028,132,296,15544
4064,113,305,15518
4084,126,302,15488
4133,118,311,15438
4171,112,326,15391
4190,134,323,15353
4213,143,319,15325
4235,155,330,15280
4260,144,355,15241
4290,137,372,15201
4303,143,365,15189
4338,156,361,15145
4368,152,370,15110
4394,143,361,15102
4418,134,374,15074
4437,151,368,15044
4450,164,357,15029
4477,155,384,14984
4508,151,382,14959
4520,177,387,14916
4561,175,401,14863
4573,180,401,14846
4577,181,416,14826
4592,176,424,14808
4610,181,431,14778
4608,192,435,14765
4606,201,455,14738
4609,215,472,14704
4609,209,476,14706
4615,210,477,14698
4625,206,488,14681
4617,191,505,14687
4593,203,532,14672
4569,223,531,14677
4570,203,551,14676
4542,224,543,14691
4534,242,546,14678
4502,251,572,14675
4498,236,611,14655
4469,242,626,14663
4456,242,620,14682
4438,252,614,14696
4409,268,628,14695
4380,284,655,14681
4375,262,690,14673
4317,304,681,14698
4271,294,722,14713
4238,310,720,14732
4191,330,729,14750
4161,343,733,14763
4166,338,735,14761
4141,346,752,14761
4115,325,783,14777
4081,309,800,14810
4048,338,778,14836
3989,342,788,14881
3941,355,803,14901
3889,329,840,14942
3848,329,857,14966
3812,325,858,15005
3810,286,875,15029
3779,304,845,15072
3760,293,840,15107
3719,311,850,15120
3717,300,845,15138
3691,311,822,15176
3682,288,828,15202
3666,299,820,15215
3647,282,825,15246
3590,303,822,15285
3554,291,839,15316
3543,292,832,15333
3529,283,834,15354
3544,289,810,15357
3518,292,821,15369
3491,305,804,15400
3463,301,802,15434
3462,281,812,15445
3451,276,802,15471
3435,296,782,15487
3444,293,784,15479
3447,301,769,15483
3418,295,786,15501
3388,284,824,15504
3357,293,791,15559
3358,287,789,15566
3372,267,775,15586
3361,276,767,15596
3356,269,764,15611
3347,269,760,15624
3340,260,769,15631
3324,269,742,15665
3313,261,731,15695
3339,245,719,15697
3345,228,723,15704
3364,237,708,15691
3394,247,681,15678
3428,236,659,15677
3437,227,663,15673
3426,251,668,15655
3443,223,671,15663
3463,218,659,15660
3492,215,660,15633
3523,205,659,15613
3541,232,635,15592
3541,244,618,15597
3564,225,643,15568
3557,222,665,15556
3578,230,647,15545
3596,229,638,15537
3612,216,646,15526
3646,206,641,15507
3656,234,642,15468
3661,230,642,15467
3669,214,653,15464
3706,206,635,15453
3739,213,601,15447
3755,226,586,15433
3752,248,580,15420
3751,222,608,15419
3776,213,588,15423
3807,235,563,15395
3821,218,570,15391
3835,220,577,15368
3850,233,586,15331
3833,245,600,15322
3826,235,613,15326
3835,233,604,15328
3836,249,611,15304
3833,266,610,15291
3845,256,620,15279
3833,267,617,15283
3826,261,616,15297
3828,263,631,15278
3847,241,652,15260
3861,254,660,15225
3875,234,669,15222
3865,255,666,15214
3859,249,665,15227
3843,259,659,15239
3825,275,656,15244
3840,271,649,15240
3850,244,655,15251
3849,261,631,15259
3854,258,644,15244
3877,226,672,15225
3862,252,660,15226
3858,266,645,15231
3864,254,640,15242
3868,243,654,15235
3869,228,689,15214
3853,246,690,15211
3839,247,694,15220
3846,241,687,15226
3834,255,653,15258
3836,249,664,15251
3825,265,651,15259
3828,244,670,15258
3819,242,672,15267
3826,234,675,15265
3812,246,650,15292
3810,255,652,15283
3809,237,678,15276
3806,239,681,15274
3820,233,670,15277
3800,248,671,15281
3801,250,682,15267
3816,246,686,15252
3804,257,675,15264
3791,252,681,15276
3814,248,675,15263
3833,232,653,15282
3837,238,648,15277
3835,238,659,15268
3851,224,651,15274
3841,242,635,15282
3834,235,654,15277
3846,236,650,15268
3833,231,679,15257
3841,236,667,15256
3820,259,660,15261
3819,241,675,15265
3827,235,679,15259
3795,241,680,15284
3792,248,678,15282
3785,267,678,15270
3760,290,678,15272
3740,291,670,15299
3720,286,679,15315
3720,265,700,15315
3728,245,694,15333
3718,268,671,15343
3713,259,659,15369
3718,265,654,15363
3728,227,665,15380
3720,235,664,15381
3727,235,647,15391
3709,234,650,15407
3706,226,665,15403
3700,232,653,15415
3699,237,668,15396
3697,235,659,15409
3699,252,637,15412
3724,243,616,15417
3733,254,631,15382
3742,229,637,15392
3753,215,647,15385
3733,223,640,15404
3730,212,652,15406
3748,215,644,15393
3747,227,645,15381
3740,249,630,15381
3736,234,652,15378
3726,244,640,15390
3734,243,642,15381
3743,236,621,15400
3751,240,589,15420
3748,240,610,15402
3755,239,613,15393
3760,225,611,15404
3754,248,586,15412
3749,249,608,15394
3785,222,618,15375
3774,233,602,15391
3774,231,615,15380
3792,223,618,15367
3768,247,601,15384
3743,256,621,15380
3752,254,640,15354
3747,254,657,15342
3720,267,665,15348
3692,269,684,15355
3680,258,698,15364
3694,229,704,15373
3668,248,685,15399
3703,218,670,15409
3716,235,647,15402
3717,236,646,15401
3719,221,636,15424
3713,227,631,15429
3747,238,625,15390
3749,228,623,15400
3765,228,649,15358
3782,219,652,15347
3756,231,652,15361
3758,232,652,15358
3755,237,648,15360
3742,245,651,15362
3740,245,654,15361
3739,239,668,15354
3738,230,683,15349
3718,242,673,15367
3708,244,650,15398
3697,240,641,15422
3692,252,637,15419
3689,249,662,15400
3686,243,674,15397
3677,237,681,15405
3690,246,641,15423
3696,214,648,15442
3672,252,641,15435
3653,276,625,15446
3649,259,651,15441
3646,250,660,15444
3633,242,673,15452
3621,245,672,15462
3635,252,670,15443
3641,249,672,15438
3641,250,663,15446
3648,238,676,15438
3653,238,676,15433
3643,248,655,15454
3649,233,641,15477
3690,204,644,15462
3681,246,619,15454
3691,241,637,15431
3704,230,634,15432
3741,213,624,15422
3744,225,634,15397
3771,209,648,15372
3779,218,631,15372
3767,243,612,15378
3749,244,620,15387
3761,251,601,15387
3762,245,609,15384
3769,253,596,15382
3772,236,602,15390
3800,239,617,15344
3818,243,623,15316
3833,248,636,15283
3870,247,635,15248
3895,230,643,15232
3894,247,623,15236
3908,245,628,15219
3917,250,631,15202
3938,247,635,15180
3915,278,623,15184
3922,274,635,15169
3933,262,648,15157
3927,258,676,15139
3933,243,680,15144
3936,238,676,15150
3933,252,679,15136
3958,241,675,15126
3943,249,656,15152
3939,255,648,15158
3953,264,642,15141
3968,247,647,15138
3977,239,682,15102
3973,245,668,15114
3990,237,655,15118
4012,241,633,15114
4019,238,636,15107
3997,267,627,15109
3995,257,638,15110
3993,259,646,15102
3985,253,673,15089
3968,268,670,15094
3987,267,654,15092
3986,254,667,15093
3996,255,667,15082
4018,250,676,15056
4009,261,664,15066
4015,252,666,15067
3992,263,669,15076
3988,277,691,15044
3993,261,704,15042
3980,281,701,15038
3966,277,716,15041
3947,276,734,15043
3945,255,751,15049
3919,282,748,15051
3891,285,767,15057
3899,273,755,15073
3885,281,730,15104
3887,274,738,15101
3882,274,718,15126
3863,282,715,15140
3844,297,727,15132
3836,275,731,15158
3829,277,721,15173
3825,270,709,15196
3814,283,703,15200
3817,271,705,15207
3806,264,742,15188
3794,267,717,15222
3795,291,702,15212
3809,269,723,15199
3790,270,720,15220
3773,291,717,15219
3752,297,727,15224
3729,308,731,15232
3743,283,768,15206
3738,296,757,15209
3715,274,780,15231
3693,273,777,15257
3705,273,756,15266
3693,270,756,15281
3663,289,755,15293
3611,313,763,15313
3604,300,774,15322
3586,314,760,15340
3603,260,787,15350
3629,232,790,15349
3623,248,779,15350
3580,290,744,15386
3563,270,765,15402
3541,281,751,15427
3539,270,739,15452
3542,263,733,15462
3543,273,727,15457
3553,272,730,15445
3556,263,729,15452
3552,262,720,15466
3536,270,725,15469
3540,256,743,15461
3551,245,722,15482
3543,242,717,15498
3541,257,726,15476
3547,247,740,15466
3538,249,741,15472
3559,250,734,15457
3567,241,724,15468
3551,255,714,15480
3524,269,709,15498
3525,252,694,15529
3510,275,696,15519
3527,261,699,15513
3553,255,657,15535
3559,254,651,15536
3550,252,663,15535
3555,233,663,15549
3581,247,637,15535
3621,223,667,15489
3613,217,652,15518
3618,224,611,15547
3614,234,615,15537
3627,218,622,15533
3635,243,611,15511
3643,236,635,15486
3677,224,634,15465
3692,218,624,15466
3674,254,632,15440
3678,235,642,15445
3700,227,631,15442
3717,228,626,15429
3747,222,617,15414
3768,213,618,15401
3772,224,618,15386
3774,222,621,15383
3787,230,606,15377
3802,214,617,15367
3829,219,614,15338
3831,225,603,15341
3837,219,602,15342
3826,230,597,15347
3826,236,609,15329
3832,241,602,15325
3867,227,592,15314
3875,223,588,15314
3893,238,604,15265
3878,252,603,15267
3890,251,607,15252
3917,238,600,15245
