S,E,I,R
19965,15,18,2
19952,25,18,5
19947,24,16,13
19928,35,22,15
19905,42,36,17
19878,52,47,23
19848,65,59,28
19798,92,70,40
19741,110,92,57
19671,135,115,79
19581,175,152,92
19443,247,193,117
19293,315,251,141
19080,399,329,192
18816,515,430,239
18455,692,539,314
18035,846,719,400
17384,1165,913,538
16704,1400,1224,672
15855,1725,1563,857
14792,2109,2013,1086
13520,2583,2491,1406
12143,2998,3058,1801
10673,3344,3694,2289
9070,3694,4384,2852
7516,3886,5107,3491
6004,3911,5827,4258
4742,3670,6530,5058
3682,3329,7019,5970
2789,2966,7355,6890
2085,2606,7440,7869
1591,2161,7424,8824
1244,1749,7217,9790
944,1446,6907,10703
774,1091,6615,11520
650,846,6190,12314
569,636,5726,13069
498,511,5246,13745
454,400,4841,14305
411,324,4375,14890
395,262,3947,15396
391,217,3572,15820
384,171,3193,16252
406,149,2840,16605
445,115,2523,16917
463,115,2235,17187
497,107,1966,17430
525,89,1714,17672
552,82,1528,17838
581,73,1365,17981
632,72,1215,18081
671,72,1071,18186
713,69,940,18278
751,77,838,18334
803,79,737,18381
843,74,659,18424
899,67,605,18429
936,56,543,18465
986,49,486,18479
1035,48,426,18491
1094,46,397,18463
1153,35,358,18454
1202,31,309,18458
1266,30,281,18423
1320,29,250,18401
1380,24,231,18365
1447,21,205,18327
1497,18,193,18292
1540,24,158,18278
1594,18,143,18245
1650,16,126,18208
1708,15,114,18163
1759,16,97,18128
1814,19,78,18089
1872,21,72,18035
1927,20,70,17983
1989,17,71,17923
2046,16,67,17871
2103,13,64,17820
2141,15,58,17786
2178,10,60,17752
2235,12,54,17699
2280,11,50,17659
2329,13,42,17616
2377,12,37,17574
2442,11,31,17516
2490,9,28,17473
2541,7,29,17423
2591,7,28,17374
2655,9,26,17310
2705,2,27,17266
2744,4,21,17231
2805,3,22,17170
2868,2,19,17111
2918,4,13,17065
2960,4,15,17021
3017,5,12,16966
3070,4,13,16913
3120,5,10,16865
3188,6,10,16796
3236,4,10,16750
3303,2,11,16684
3341,3,10,16646
3381,3,10,16606
3435,3,7,16555
3468,5,7,16520
3525,4,6,16465
3576,3,8,16413
3613,4,7,16376
3659,3,7,16331
3694,1,8,16297
3744,3,7,16246
3783,4,7,16206
3827,2,8,16163
3876,3,7,16114
3916,2,9,16073
3947,2,9,16042
3998,4,8,15990
4040,1,9,15950
4083,2,7,15908
4137,2,7,15854
4184,4,4,15808
4231,3,3,15763
4275,1,5,15719
4307,2,4,15687
4356,1,3,15640
4396,1,3,15600
4437,1,3,15559
4470,1,3,15526
4521,0,4,15475
4564,1,4,15431
4613,0,5,15382
4657,0,5,15338
4699,1,5,15295
4752,1,5,15242
4791,3,3,15203
4839,2,5,15154
4876,2,3,15119
4913,2,4,15081
4949,7,3,15041
4987,4,5,15004
5039,3,6,14952
5075,3,6,14916
5118,3,6,14873
5154,4,6,14836
5194,4,5,14797
5233,4,4,14759
5278,5,4,14713
5317,5,4,14674
5351,4,5,14640
5391,3,7,14599
5428,4,8,14560
5470,5,9,14516
5519,5,8,14468
5561,9,9,14421
5611,6,13,14370
5658,4,14,14324
5681,5,15,14299
5715,4,17,14264
5755,6,17,14222
5788,8,18,14186
5818,7,21,14154
5853,6,22,14119
5877,12,18,14093
5908,15,20,14057
5938,13,18,14031
5980,12,17,13991
6022,13,21,13944
6058,14,19,13909
6095,15,19,13871
6131,10,24,13835
6167,11,27,13795
6200,13,28,13759
6231,14,29,13726
6258,17,34,13691
6289,17,31,13663
6324,22,34,13620
6351,22,36,13591
6383,22,36,13559
6398,26,34,13542
6425,21,39,13515
6459,20,46,13475
6480,23,45,13452
6498,28,47,13427
6529,33,49,13389
6553,32,53,13362
6574,35,57,13334
6589,42,60,13309
6604,47,63,13286
6615,55,73,13257
6636,50,82,13232
6667,43,89,13201
6679,52,87,13182
6705,45,102,13148
6711,56,98,13135
6716,69,100,13115
6718,76,106,13100
6723,73,129,13075
6716,85,133,13066
6720,85,147,13048
6717,88,162,13033
6720,86,170,13024
6718,86,190,13006
6695,111,192,13002
6694,102,209,12995
6674,103,218,13005
6654,130,229,12987
6623,152,229,12996
6598,157,257,12988
6586,164,278,12972
6542,176,309,12973
6499,209,315,12977
6466,202,344,12988
6404,224,363,13009
6365,220,395,13020
6312,229,420,13039
6234,249,443,13074
6161,281,474,13084
6078,289,521,13112
5990,302,575,13133
5893,328,615,13164
5779,338,685,13198
5667,369,714,13250
5537,403,751,13309
5415,414,799,13372
5292,410,862,13436
5156,415,898,13531
5031,431,932,13606
4902,427,970,13701
4750,448,1000,13802
4599,482,1012,13907
4488,471,1043,13998
4356,482,1054,14108
4236,476,1089,14199
4099,502,1104,14295
3956,510,1116,14418
3860,497,1143,14500
3747,492,1144,14617
3639,485,1166,14710
3529,435,1212,14824
3423,428,1218,14931
3279,465,1195,15061
3162,438,1218,15182
3068,431,1197,15304
2991,399,1180,15430
2933,366,1159,15542
2883,361,1097,15659
2823,348,1109,15720
2758,355,1090,15797
2726,315,1096,15863
2686,307,1053,15954
2652,314,996,16038
2612,313,953,16122
2580,291,958,16171
2551,267,947,16235
2534,261,908,16297
2519,235,885,16361
2526,229,854,16391
2505,218,832,16445
2521,205,783,16491
2526,212,747,16515
2539,210,719,16532
2539,202,695,16564
2546,199,668,16587
2572,183,657,16588
2600,176,636,16588
2597,169,611,16623
2623,160,583,16634
2637,171,552,16640
2673,161,546,16620
2702,147,536,16615
2739,142,518,16601
2780,136,496,16588
2837,126,473,16564
2881,117,460,16542
2897,126,441,16536
2908,136,433,16523
2957,117,442,16484
2991,126,424,16459
3018,136,396,16450
3061,134,390,16415
3096,136,371,16397
3132,140,352,16376
3189,116,364,16331
3197,125,364,16314
3214,130,362,16294
3264,111,357,16268
3304,111,356,16229
3344,113,340,16203
3379,118,315,16188
3441,110,322,16127
3479,96,312,16113
3537,85,304,16074
3576,101,284,16039
3640,98,277,15985
3697,88,277,15938
3728,93,278,15901
3785,93,274,15848
3826,103,261,15810
3889,112,259,15740
3937,106,260,15697
3969,117,271,15643
3995,112,280,15613
4031,114,282,15573
4087,101,294,15518
4122,115,280,15483
4186,106,278,15430
4237,97,278,15388
4267,95,289,15349
4314,98,287,15301
4337,116,291,15256
4374,126,289,15211
4401,132,293,15174
4443,119,310,15128
4479,131,313,15077
4498,133,334,15035
4519,150,329,15002
4547,139,337,14977
4577,138,358,14927
4590,147,362,14901
4605,158,360,14877
4630,157,372,14841
4623,172,379,14826
4616,182,399,14803
4617,186,417,14780
4606,200,431,14763
4602,199,443,14756
4604,215,439,14742
4610,201,460,14729
4616,204,491,14689
4627,209,492,14672
4639,207,494,14660
4646,215,492,14647
4652,209,518,14621
4655,225,504,14616
4630,239,517,14614
4599,252,525,14624
4598,241,552,14609
4561,250,572,14617
4576,235,574,14615
4559,237,577,14627
4527,251,585,14637
4503,258,589,14650
4483,271,594,14652
4470,266,614,14650
4455,273,608,14664
4449,264,620,14667
4420,261,635,14684
4377,266,661,14696
4331,284,666,14719
4309,280,687,14724
4286,288,706,14720
4260,281,716,14743
4232,302,708,14758
4213,281,738,14768
4184,277,735,14804
4175,305,714,14806
4181,281,719,14819
4171,276,724,14829
4136,279,728,14857
4092,287,741,14880
4076,277,753,14894
4045,286,764,14905
4018,293,755,14934
3974,299,751,14976
3947,302,759,14992
3917,297,757,15029
3879,313,766,15042
3869,284,783,15064
3841,311,766,15082
3840,294,784,15082
3845,286,759,15110
3819,289,762,15130
3819,304,753,15124
3806,288,752,15154
3807,273,771,15149
3782,296,755,15167
3751,312,754,15183
3759,296,782,15163
3734,305,800,15161
3731,287,818,15164
3703,312,791,15194
3700,297,801,15202
3682,284,790,15244
3680,289,802,15229
3672,257,813,15258
3670,264,789,15277
3650,281,767,15302
3611,304,748,15337
3613,292,750,15345
3611,290,754,15345
3591,285,758,15366
3576,291,753,15380
3571,285,754,15390
3570,269,741,15420
3559,286,722,15433
3546,265,743,15446
3548,268,731,15453
3537,270,750,15443
3546,290,722,15442
3538,286,727,15449
3558,283,727,15432
3538,265,736,15461
3519,263,736,15482
3514,249,733,15504
3505,248,730,15517
3498,260,725,15517
3497,254,728,15521
3509,245,725,15521
3516,250,699,15535
3535,234,692,15539
3555,238,686,15521
3548,235,679,15538
3527,257,666,15550
3535,259,666,15540
3545,259,672,15524
3578,230,694,15498
3592,235,684,15489
3609,246,666,15479
3604,250,667,15479
3609,266,638,15487
3612,254,653,15481
3622,253,641,15484
3638,242,641,15479
3654,231,634,15481
3657,249,618,15476
3684,241,624,15451
3693,243,627,15437
3701,235,638,15426
3699,239,642,15420
3675,264,647,15414
3690,242,648,15420
3713,220,643,15424
3716,227,641,15416
3746,209,634,15411
3747,232,608,15413
3768,236,609,15387
3760,245,601,15394
3768,248,574,15410
3779,251,568,15402
3774,260,558,15408
3782,240,587,15391
3817,232,610,15341
3831,229,614,15326
3831,235,611,15323
3842,233,613,15312
3839,218,630,15313
3865,210,638,15287
3872,219,631,15278
3879,236,616,15269
3875,237,621,15267
3888,232,625,15255
3913,215,621,15251
3919,218,603,15260
3898,243,596,15263
3922,238,579,15261
3921,241,586,15252
3930,236,596,15238
3931,224,614,15231
3961,225,615,15199
3960,245,604,15191
3948,252,615,15185
3956,242,621,15181
3961,239,628,15172
3958,240,631,15171
3937,261,612,15190
3927,248,624,15201
3925,254,627,15194
3954,240,622,15184
3953,214,630,15203
3950,222,619,15209
3956,241,599,15204
3943,254,614,15189
3935,267,612,15186
3921,273,615,15191
3919,285,616,15180
3910,278,646,15166
3899,251,672,15178
3890,258,677,15175
3869,260,692,15179
3841,275,683,15201
3847,250,696,15207
3841,274,662,15223
3831,261,693,15215
3783,273,709,15235
3770,275,719,15236
3739,284,699,15278
3733,280,695,15292
3734,270,701,15295
3731,292,686,15291
3726,276,692,15306
3733,266,682,15319
3718,273,700,15309
3693,279,687,15341
3675,256,711,15358
3658,267,693,15382
3642,280,691,15387
3639,271,693,15397
3649,259,685,15407
3626,261,700,15413
3622,266,690,15422
3615,268,689,15428
3627,258,706,15409
3618,261,696,15425
3607,262,693,15438
3611,256,713,15420
3619,261,701,15419
3649,252,698,15401
3615,256,724,15405
3618,246,718,15418
3605,245,717,15433
3619,229,729,15423
3613,233,716,15438
3617,238,715,15430
3608,248,711,15433
3593,247,713,15447
3577,251,717,15455
3579,244,715,15462
3581,229,709,15481
3559,244,711,15486
3545,229,698,15528
3526,242,673,15559
3534,247,653,15566
3509,249,651,15591
3505,249,656,15590
3514,237,657,15592
3492,233,673,15602
3474,257,669,15600
3478,243,662,15617
3506,229,668,15597
3514,244,642,15600
3517,251,630,15602
3522,247,631,15600
3536,230,623,15611
3580,212,627,15581
3594,227,636,15543
3588,248,610,15554
3601,237,610,15552
3601,227,603,15569
3623,226,600,15551
3624,223,600,15553
3624,210,628,15538
3646,225,602,15527
3670,210,606,15514
3679,214,594,15513
3672,242,589,15497
3661,237,605,15497
3673,232,623,15472
3689,234,631,15446
3686,245,624,15445
3679,232,630,15459
3701,227,613,15459
3707,242,605,15446
3697,252,610,15441
3675,263,624,15438
3658,279,631,15432
3646,269,669,15416
3634,260,651,15455
