S,E,I,R
19966,14,15,5
19947,26,22,5
19926,33,31,10
19905,42,40,13
19851,76,52,21
19798,104,72,26
19731,125,108,36
19624,181,148,47
19476,254,201,69
19275,364,255,106
19073,434,351,142
18764,573,439,224
18404,722,575,299
17941,880,788,391
17346,1151,972,531
16619,1428,1247,706
15706,1802,1591,901
14646,2197,2016,1141
13448,2536,2540,1476
12041,2957,3132,1870
10555,3359,3747,2339
9011,3663,4479,2847
7439,3895,5183,3483
6077,3825,5813,4285
4791,3629,6461,5119
3688,3384,6944,5984
2808,2988,7284,6920
2068,2609,7435,7888
1593,2106,7475,8826
1259,1683,7321,9737
977,1362,7017,10644
777,1058,6676,11489
653,833,6240,12274
568,635,5795,13002
511,482,5312,13695
482,374,4837,14307
455,313,4353,14879
443,259,3925,15373
423,233,3525,15819
438,194,3173,16195
441,173,2827,16559
456,147,2475,16922
479,126,2201,17194
490,117,1950,17443
512,109,1704,17675
550,98,1526,17826
602,89,1364,17945
623,95,1224,18058
662,81,1086,18171
701,74,948,18277
750,65,836,18349
780,60,745,18415
830,62,657,18451
875,56,584,18485
924,45,530,18501
989,29,485,18497
1046,33,416,18505
1087,37,376,18500
1132,38,332,18498
1188,35,300,18477
1244,29,271,18456
1297,36,236,18431
1349,42,214,18395
1399,34,195,18372
1459,27,184,18330
1511,29,164,18296
1571,25,141,18263
1617,16,126,18241
1669,19,107,18205
1733,18,90,18159
1784,15,89,18112
1841,17,78,18064
1895,17,65,18023
1960,8,66,17966
2020,7,64,17909
2094,11,54,17841
2160,5,50,17785
2212,5,39,17744
2277,8,35,17680
2354,6,31,17609
2409,4,31,17556
2479,4,27,17490
2539,6,27,17428
2588,3,27,17382
2637,3,22,17338
2681,2,20,17297
2731,3,16,17250
2787,3,12,17198
2839,7,8,17146
2883,7,11,17099
2937,3,13,17047
2990,2,12,16996
3039,0,10,16951
3089,3,8,16900
3151,2,8,16839
3199,2,8,16791
3239,6,6,16749
3285,5,6,16704
3332,4,5,16659
3387,4,6,16603
3430,4,4,16562
3471,2,5,16522
3521,3,5,16471
3561,3,6,16430
3613,3,6,16378
3651,2,8,16339
3698,4,7,16291
3761,3,9,16227
3809,3,8,16180
3845,4,8,16143
3889,7,9,16095
3921,6,13,16060
3971,8,13,16008
4012,6,16,15966
4059,6,16,15919
4102,5,17,15876
4140,4,16,15840
4179,7,17,15797
4221,9,14,15756
4260,6,17,15717
4300,4,18,15678
4353,5,15,15627
4399,3,14,15584
4437,8,14,15541
4475,5,13,15507
4521,4,12,15463
4562,3,13,15422
4596,1,12,15391
4635,2,12,15351
4690,1,13,15296
4733,3,10,15254
4768,4,10,15218
4808,5,10,15177
4845,3,10,15142
4874,4,9,15113
4907,4,6,15083
4946,5,8,15041
4986,5,6,15003
5036,4,9,14951
5066,3,10,14921
5106,3,7,14884
5142,3,7,14848
5180,4,7,14809
5224,2,8,14766
5276,3,9,14712
5312,5,11,14672
5360,4,9,14627
5401,3,11,14585
5437,5,11,14547
5472,8,8,14512
5514,4,10,14472
5555,4,9,14432
5598,6,9,14387
5640,2,12,14346
5668,8,9,14315
5705,6,10,14279
5739,7,14,14240
5769,8,16,14207
5804,6,15,14175
5848,6,15,14131
5880,8,16,14096
5913,6,17,14064
5950,4,20,14026
5993,8,16,13983
6024,9,19,13948
6049,13,20,13918
6085,10,20,13885
6115,7,21,13857
6148,6,16,13830
6177,8,18,13797
6202,11,19,13768
6233,12,20,13735
6268,12,25,13695
6305,15,26,13654
6341,18,25,13616
6377,19,29,13575
6413,17,34,13536
6445,15,37,13503
6481,17,41,13461
6508,20,39,13433
6535,19,39,13407
6555,20,37,13388
6588,19,37,13356
6602,28,36,13334
6617,36,41,13306
6640,25,57,13278
6660,27,59,13254
6682,30,56,13232
6707,32,62,13199
6728,39,67,13166
6739,45,68,13148
6751,47,82,13120
6767,57,82,13094
6774,57,92,13077
6789,65,102,13044
6795,68,112,13025
6802,66,123,13009
6808,78,122,12992
6813,79,136,12972
6816,92,140,12952
6815,98,155,12932
6800,105,173,12922
6783,115,188,12914
6761,125,210,12904
6731,132,232,12905
6725,141,241,12893
6701,148,262,12889
6657,165,291,12887
6617,173,310,12900
6574,191,330,12905
6541,199,351,12909
6490,213,377,12920
6438,213,426,12923
6365,250,444,12941
6289,262,494,12955
6220,265,528,12987
6135,289,545,13031
6050,299,582,13069
5948,333,601,13118
5838,352,633,13177
5730,372,672,13226
5611,387,720,13282
5464,446,749,13341
5362,430,795,13413
5233,425,861,13481
5101,460,875,13564
4960,469,920,13651
4844,455,973,13728
4704,469,1000,13827
4572,481,1044,13903
4434,491,1053,14022
4287,511,1087,14115
4160,471,1149,14220
4015,497,1195,14293
3896,483,1217,14404
3778,474,1222,14526
3673,469,1220,14638
3554,461,1259,14726
3433,466,1276,14825
3310,448,1278,14964
3207,449,1269,15075
3081,458,1261,15200
3002,412,1283,15303
2921,412,1250,15417
2853,388,1250,15509
2784,367,1207,15642
2745,325,1174,15756
2711,321,1142,15826
2665,300,1102,15933
2624,311,1040,16025
2626,283,993,16098
2588,292,943,16177
2550,273,936,16241
2553,257,903,16287
2542,251,858,16349
2515,241,866,16378
2512,233,846,16409
2503,216,809,16472
2496,228,753,16523
2489,216,735,16560
2510,184,715,16591
2500,205,674,16621
2524,190,664,16622
2552,164,662,16622
2575,176,599,16650
2598,169,578,16655
2633,161,561,16645
2641,147,557,16655
2672,144,530,16654
2701,139,511,16649
2713,153,482,16652
2745,145,464,16646
2771,159,436,16634
2803,129,426,16642
2835,123,419,16623
2897,116,413,16574
2940,114,391,16555
2974,110,381,16535
3023,103,376,16498
3060,113,354,16473
3119,93,351,16437
3163,105,326,16406
3205,110,321,16364
3266,105,313,16316
3305,110,293,16292
3357,115,290,16238
3404,106,295,16195
3442,100,304,16154
3493,97,310,16100
3540,112,295,16053
3577,118,301,16004
3628,98,290,15984
3690,86,286,15938
3722,107,275,15896
