S,E,I,R
19964,16,19,1
19948,28,21,3
19929,36,27,8
19899,53,33,15
19874,55,51,20
19835,72,61,32
19770,109,87,34
19687,153,115,45
19566,215,152,67
19431,280,202,87
19269,337,276,118
19024,463,358,155
18729,589,481,201
18303,769,645,283
17783,1014,814,389
17195,1248,1046,511
16438,1558,1322,682
15504,1880,1734,882
14306,2380,2142,1172
13035,2760,2683,1522
11642,3068,3319,1971
10013,3599,3940,2448
8491,3757,4684,3068
7022,3822,5380,3776
5670,3676,6096,4558
4425,3512,6638,5425
3442,3188,7047,6323
2634,2719,7350,7297
2022,2307,7416,8255
1547,1925,7353,9175
1201,1553,7161,10085
949,1258,6780,11013
792,961,6392,11855
674,762,5919,12645
594,609,5463,13334
556,465,4979,14000
529,378,4543,14550
495,317,4136,15052
485,258,3704,15553
19980,0,20,0
