S,E,I,R
19974,6,17,3
19965,13,15,7
19953,22,15,10
19939,28,19,14
19920,37,27,16
19889,52,40,19
19866,54,53,27
19830,64,70,36
19774,100,75,51
19712,131,94,63
19629,171,123,77
19530,201,167,102
19377,284,213,126
19191,360,294,155
18947,467,376,210
18593,630,502,275
18161,807,676,356
17617,1045,879,459
16947,1303,1125,625
16115,1632,1417,836
15192,1958,1779,1071
14058,2367,2231,1344
12799,2728,2742,1731
11394,3163,3317,2126
9887,3470,4026,2617
8315,3730,4738,3217
6868,3781,5452,3899
5533,3690,6097,4680
4367,3490,6587,5556
3397,3124,6981,6498
2568,2757,7243,7432
1920,2382,7290,8408
1458,1976,7254,9312
1107,1614,7052,10227
889,1222,6806,11083
741,952,6408,11899
613,766,5928,12693
543,573,5496,13388
478,470,4988,14064
445,367,4554,14634
438,300,4140,15122
437,251,3718,15594
445,188,3343,16024
458,158,3028,16356
470,145,2660,16725
484,130,2406,16980
499,128,2163,17210
531,112,1929,17428
550,100,1700,17650
586,94,1522,17798
633,78,1354,17935
672,73,1212,18043
712,72,1070,18146
744,74,951,18231
769,75,835,18321
816,64,752,18368
860,66,659,18415
903,54,602,18441
942,61,533,18464
1001,57,466,18476
1051,48,410,18491
1115,37,380,18468
1148,36,338,18478
1209,37,298,18456
1269,29,262,18440
1329,21,228,18422
1367,23,196,18414
1426,24,171,18379
1485,24,151,18340
1542,26,134,18298
1599,23,118,18260
1660,16,104,18220
1708,14,97,18181
1761,13,87,18139
1842,11,75,18072
1897,15,64,18024
1951,9,64,17976
2000,13,55,17932
2058,8,56,17878
2106,9,51,17834
2173,5,50,17772
2231,5,42,17722
2280,10,41,17669
2341,7,40,17612
2411,7,33,17549
2462,7,27,17504
2506,5,22,17467
2553,3,22,17422
2607,2,19,17372
2659,1,18,17322
2707,4,12,17277
2772,2,11,17215
2818,2,4,17176
2863,2,3,17132
2909,2,4,17085
2974,2,4,17020
3013,1,4,16982
3067,2,5,16926
3118,1,7,16874
3165,3,5,16827
3227,0,7,16766
3273,1,5,16721
3315,2,3,16680
3362,1,5,16632
3417,0,6,16577
3471,1,5,16523
3519,0,6,16475
3565,0,5,16430
3609,1,4,16386
3659,1,3,16337
3703,0,3,16294
3747,0,2,16251
3793,0,2,16205
3848,1,2,16149
3898,0,3,16099
3958,0,2,16040
4009,0,2,15989
4053,1,2,15944
4096,1,1,15902
4150,1,1,15848
4196,0,2,15802
4249,0,2,15749
4284,0,2,15714
4330,0,1,15669
4365,0,1,15634
4410,0,1,15589
4457,0,0,15543
4501,0,0,15499
4542,0,0,15458
4596,0,0,15404
4647,0,0,15353
4692,0,0,15308
4734,0,0,15266
4778,0,0,15222
4816,0,0,15184
4869,0,0,15131
4904,0,0,15096
4951,0,0,15049
4996,0,0,15004
5036,0,0,14964
5072,0,0,14928
5100,0,0,14900
5135,0,0,14865
5182,0,0,14818
5213,0,0,14787
5252,0,0,14748
5292,0,0,14708
5333,0,0,14667
5367,0,0,14633
5416,0,0,14584
5468,0,0,14532
5509,0,0,14491
5558,0,0,14442
5608,0,0,14392
5658,0,0,14342
5712,0,0,14288
5757,0,0,14243
5796,0,0,14204
5838,0,0,14162
5869,0,0,14131
5900,0,0,14100
5950,0,0,14050
5990,0,0,14010
6033,0,0,13967
6070,0,0,13930
6110,0,0,13890
6149,0,0,13851
6186,0,0,13814
6209,0,0,13791
6249,0,0,13751
6286,0,0,13714
6337,0,0,13663
6369,0,0,13631
6397,0,0,13603
6436,0,0,13564
6472,0,0,13528
6503,0,0,13497
6534,0,0,13466
6566,0,0,13434
6604,0,0,13396
6637,0,0,13363
6673,0,0,13327
6712,0,0,13288
6745,0,0,13255
6778,0,0,13222
6817,0,0,13183
6851,0,0,13149
6887,0,0,13113
6918,0,0,13082
6950,0,0,13050
6995,0,0,13005
7035,0,0,12965
7062,0,0,12938
7110,0,0,12890
7145,0,0,12855
7180,0,0,12820
7212,0,0,12788
7248,0,0,12752
7280,0,0,12720
7310,0,0,12690
7356,0,0,12644
7402,0,0,12598
7442,0,0,12558
7481,0,0,12519
7512,0,0,12488
7550,0,0,12450
7577,0,0,12423
7608,0,0,12392
7636,0,0,12364
7664,0,0,12336
7694,0,0,12306
7725,0,0,12275
7751,0,0,12249
7784,0,0,12216
7820,0,0,12180
7850,0,0,12150
7880,0,0,12120
7904,0,0,12096
7940,0,0,12060
7969,0,0,12031
8002,0,0,11998
8034,0,0,11966
8071,0,0,11929
8101,0,0,11899
8142,0,0,11858
8178,0,0,11822
8206,0,0,11794
8251,0,0,11749
8284,0,0,11716
8332,0,0,11668
8358,0,0,11642
8392,0,0,11608
8435,0,0,11565
8461,0,0,11539
8494,0,0,11506
8527,0,0,11473
8565,0,0,11435
8597,0,0,11403
8633,0,0,11367
8668,0,0,11332
8699,0,0,11301
8729,0,0,11271
8761,0,0,11239
8795,0,0,11205
8827,0,0,11173
8861,0,0,11139
8882,0,0,11118
8906,0,0,11094
8939,0,0,11061
8968,0,0,11032
8998,0,0,11002
9037,0,0,10963
9069,0,0,10931
9102,0,0,10898
9130,0,0,10870
9166,0,0,10834
9193,0,0,10807
9223,0,0,10777
9253,0,0,10747
9288,0,0,10712
9316,0,0,10684
9352,0,0,10648
9376,0,0,10624
9394,0,0,10606
9413,0,0,10587
9434,0,0,10566
9469,0,0,10531
9494,0,0,10506
9525,0,0,10475
9547,0,0,10453
9565,0,0,10435
9611,0,0,10389
9638,0,0,10362
9665,0,0,10335
9695,0,0,10305
9720,0,0,10280
9744,0,0,10256
9770,0,0,10230
9807,0,0,10193
9844,0,0,10156
9871,0,0,10129
9900,0,0,10100
9929,0,0,10071
9963,0,0,10037
9989,0,0,10011
10024,0,0,9976
10044,0,0,9956
10072,0,0,9928
10092,0,0,9908
10116,0,0,9884
10152,0,0,9848
10179,0,0,9821
10198,0,0,9802
10221,0,0,9779
10245,0,0,9755
10280,0,0,9720
10310,0,0,9690
10342,0,0,9658
10362,0,0,9638
10386,0,0,9614
10403,0,0,9597
10429,0,0,9571
10451,0,0,9549
10478,0,0,9522
10507,0,0,9493
10526,0,0,9474
10554,0,0,9446
10575,0,0,9425
10598,0,0,9402
10624,0,0,9376
10648,0,0,9352
10675,0,0,9325
10708,0,0,9292
10740,0,0,9260
10767,0,0,9233
10795,0,0,9205
10818,0,0,9182
10835,0,0,9165
10866,0,0,9134
10890,0,0,9110
10916,0,0,9084
10935,0,0,9065
10959,0,0,9041
10985,0,0,9015
11010,0,0,8990
11024,0,0,8976
11050,0,0,8950
11078,0,0,8922
11105,0,0,8895
11125,0,0,8875
11151,0,0,8849
11174,0,0,8826
11183,0,0,8817
11202,0,0,8798
11233,0,0,8767
11254,0,0,8746
11274,0,0,8726
11294,0,0,8706
11315,0,0,8685
11334,0,0,8666
11356,0,0,8644
11391,0,0,8609
11409,0,0,8591
11432,0,0,8568
11455,0,0,8545
11491,0,0,8509
11511,0,0,8489
11536,0,0,8464
11555,0,0,8445
11575,0,0,8425
11600,0,0,8400
11616,0,0,8384
11643,0,0,8357
11670,0,0,8330
11688,0,0,8312
11712,0,0,8288
11731,0,0,8269
11756,0,0,8244
11784,0,0,8216
11816,0,0,8184
11841,0,0,8159
11871,0,0,8129
11890,0,0,8110
11906,0,0,8094
11934,0,0,8066
11952,0,0,8048
11974,0,0,8026
12000,0,0,8000
12017,0,0,7983
12050,0,0,7950
12071,0,0,7929
12103,0,0,7897
12132,0,0,7868
12148,0,0,7852
12176,0,0,7824
12193,0,0,7807
12212,0,0,7788
12229,0,0,7771
12255,0,0,7745
12283,0,0,7717
12312,0,0,7688
12329,0,0,7671
12356,0,0,7644
12383,0,0,7617
12400,0,0,7600
12421,0,0,7579
12435,0,0,7565
12453,0,0,7547
12478,0,0,7522
12498,0,0,7502
12519,0,0,7481
12546,0,0,7454
12562,0,0,7438
12585,0,0,7415
12613,0,0,7387
12633,0,0,7367
12653,0,0,7347
12673,0,0,7327
12687,0,0,7313
12715,0,0,7285
12731,0,0,7269
12748,0,0,7252
12766,0,0,7234
12785,0,0,7215
12809,0,0,7191
12827,0,0,7173
12837,0,0,7163
12852,0,0,7148
12878,0,0,7122
12888,0,0,7112
12900,0,0,7100
12910,0,0,7090
12931,0,0,7069
12954,0,0,7046
12971,0,0,7029
12983,0,0,7017
13002,0,0,6998
13021,0,0,6979
13041,0,0,6959
13060,0,0,6940
13071,0,0,6929
13084,0,0,6916
13097,0,0,6903
13119,0,0,6881
13137,0,0,6863
13163,0,0,6837
13184,0,0,6816
13198,0,0,6802
13212,0,0,6788
13230,0,0,6770
13253,0,0,6747
13274,0,0,6726
13301,0,0,6699
13321,0,0,6679
13338,0,0,6662
13355,0,0,6645
13373,0,0,6627
13400,0,0,6600
13420,0,0,6580
13434,0,0,6566
13455,0,0,6545
13475,0,0,6525
13492,0,0,6508
13512,0,0,6488
13530,0,0,6470
13546,0,0,6454
13567,0,0,6433
13583,0,0,6417
13599,0,0,6401
13616,0,0,6384
13631,0,0,6369
13646,0,0,6354
13659,0,0,6341
13684,0,0,6316
13699,0,0,6301
13710,0,0,6290
13724,0,0,6276
13735,0,0,6265
13745,0,0,6255
13756,0,0,6244
13777,0,0,6223
13798,0,0,6202
13818,0,0,6182
13836,0,0,6164
13852,0,0,6148
13869,0,0,6131
13887,0,0,6113
13899,0,0,6101
13912,0,0,6088
13933,0,0,6067
13946,0,0,6054
13968,0,0,6032
13974,0,0,6026
13988,0,0,6012
14002,0,0,5998
14011,0,0,5989
14028,0,0,5972
14046,0,0,5954
14059,0,0,5941
14078,0,0,5922
14098,0,0,5902
14113,0,0,5887
14127,0,0,5873
14139,0,0,5861
14157,0,0,5843
14178,0,0,5822
14193,0,0,5807
14205,0,0,5795
14221,0,0,5779
14235,0,0,5765
14246,0,0,5754
14256,0,0,5744
14277,0,0,5723
14295,0,0,5705
14313,0,0,5687
14325,0,0,5675
