S,E,I,R
19963,17,19,1
19940,33,22,5
19913,49,29,9
19886,57,45,12
19843,83,55,19
19808,93,71,28
19751,123,84,42
19665,159,124,52
19549,213,167,71
19381,302,220,97
19194,384,287,135
18934,472,415,179
18568,651,529,252
18128,848,694,330
17585,1070,917,428
16854,1395,1180,571
15992,1753,1486,769
15021,2062,1931,986
13815,2503,2381,1301
12455,2903,3020,1622
10976,3292,3645,2087
9362,3641,4357,2640
7802,3840,5098,3260
6283,3846,5885,3986
4978,3670,6556,4796
3754,3476,7095,5675
2829,3150,7337,6684
2180,2580,7542,7698
1669,2099,7489,8743
1259,1719,7289,9733
991,1370,7000,10639
823,1077,6564,11536
698,862,6065,12375
603,648,5618,13131
523,517,5180,13780
485,409,4714,14392
444,343,4300,14913
429,277,3905,15389
413,227,3519,15841
425,193,3139,16243
441,153,2812,16594
460,134,2528,16878
487,106,2270,17137
510,102,2001,17387
552,96,1749,17603
597,78,1554,17771
613,84,1385,17918
631,80,1213,18076
663,83,1052,18202
703,77,912,18308
742,71,811,18376
794,54,727,18425
853,60,629,18458
917,48,565,18470
963,36,511,18490
1022,43,445,18490
1063,47,401,18489
1124,29,366,18481
1179,34,316,18471
1247,30,280,18443
1310,25,254,18411
1371,24,216,18389
1442,24,183,18351
1510,20,167,18303
1556,23,153,18268
1616,27,136,18221
1686,27,124,18163
1738,26,119,18117
1797,27,106,18070
1858,24,95,18023
1915,19,97,17969
1976,13,91,17920
2009,14,88,17889
2053,19,83,17845
2110,15,80,17795
2175,15,78,17732
2217,22,70,17691
2278,13,64,17645
2319,13,63,17605
2373,16,55,17556
2410,17,53,17520
2463,14,53,17470
2530,14,44,17412
2587,11,43,17359
2650,9,37,17304
2696,9,28,17267
2754,5,30,17211
2802,6,29,17163
2849,5,27,17119
2890,6,26,17078
2937,6,22,17035
2996,5,22,16977
3049,3,25,16923
3093,6,21,16880
3144,6,20,16830
3190,6,22,16782
3235,6,19,16740
3289,6,20,16685
3332,3,21,16644
3385,1,18,16596
3429,4,16,16551
3473,4,15,16508
3520,3,11,16466
3565,5,10,16420
3606,5,11,16378
3658,4,11,16327
3704,3,10,16283
3748,5,10,16237
3788,3,11,16198
3845,3,12,16140
3892,6,11,16091
3937,5,11,16047
3974,5,12,16009
4037,4,12,15947
4078,4,7,15911
4116,4,7,15873
4164,5,6,15825
4213,4,8,15775
4259,2,9,15730
4290,6,8,15696
4332,5,10,15653
4373,9,9,15609
4417,8,9,15566
4455,6,9,15530
4489,5,11,15495
4531,4,10,15455
4566,6,11,15417
4605,8,13,15374
4638,9,13,15340
4676,4,17,15303
4721,8,15,15256
4768,12,13,15207
4814,10,16,15160
4852,8,21,15119
4886,8,19,15087
4936,13,19,15032
4971,11,22,14996
5004,13,23,14960
5044,14,27,14915
5078,13,26,14883
5114,14,27,14845
5149,8,29,14814
5189,9,27,14775
5225,8,28,14739
5258,10,30,14702
5296,17,25,14662
5336,16,28,14620
5369,19,30,14582
5413,15,35,14537
5444,19,29,14508
5488,14,33,14465
5517,12,36,14435
5553,16,36,14395
5584,17,37,14362
5619,21,41,14319
5648,22,43,14287
5686,26,43,14245
5727,31,43,14199
5771,28,47,14154
5796,22,55,14127
5828,24,56,14092
5851,27,55,14067
5887,25,58,14030
5922,25,58,13995
5935,38,61,13966
5975,33,69,13923
5994,33,74,13899
6013,43,74,13870
6029,47,76,13848
6048,50,83,13819
6073,55,91,13781
6089,61,99,13751
6097,74,109,13720
6112,79,114,13695
6127,83,112,13678
6141,82,122,13655
6153,83,135,13629
6154,90,149,13607
6157,90,164,13589
6158,92,176,13574
6134,125,179,13562
6119,125,206,13550
6111,127,220,13542
6106,122,250,13522
6075,132,274,13519
6043,151,283,13523
6003,175,294,13528
5995,171,315,13519
5969,160,341,13530
5916,194,348,13542
5893,181,376,13550
5833,217,381,13569
5778,225,402,13595
5727,250,422,13601
5655,257,475,13613
5608,263,486,13643
5566,261,494,13679
5518,252,518,13712
5449,262,550,13739
5350,292,581,13777
5291,278,632,13799
5219,301,647,13833
5143,302,694,13861
5030,331,708,13931
4921,336,751,13992
4804,382,768,14046
4696,388,826,14090
4571,408,851,14170
4453,422,875,14250
4341,415,912,14332
4223,427,948,14402
4118,424,949,14509
4013,435,966,14586
3914,406,1000,14680
3817,408,1026,14749
3738,367,1081,14814
3643,363,1079,14915
3547,381,1046,15026
3469,390,1030,15111
