S,E,I,R
19969,11,18,2
19945,30,22,3
19927,37,31,5
19902,48,42,8
19853,83,47,17
19817,95,60,28
19760,118,82,40
19704,129,116,51
19599,191,138,72
19491,240,180,89
19343,305,236,116
19095,431,323,151
18813,554,427,206
18464,697,565,274
18005,869,749,377
17451,1096,956,497
16734,1403,1230,633
15766,1832,1587,815
14714,2181,2050,1055
13493,2596,2512,1399
12001,3087,3136,1776
10466,3455,3842,2237
8839,3727,4623,2811
7256,3857,5376,3511
5827,3813,6069,4291
4551,3642,6648,5159
3445,3377,7038,6140
2627,2878,7435,7060
2012,2399,7538,8051
1513,2040,7446,9001
1133,1682,7198,9987
876,1267,6992,10865
737,980,6575,11708
626,767,6125,12482
534,601,5661,13204
481,487,5173,13859
436,380,4731,14453
429,305,4260,15006
421,248,3835,15496
418,186,3429,15967
407,179,3048,16366
423,152,2741,16684
454,136,2452,16958
481,118,2181,17220
502,104,1930,17464
533,87,1713,17667
570,82,1518,17830
609,75,1352,17964
652,82,1208,18058
697,86,1061,18156
733,79,927,18261
777,69,836,18318
831,65,751,18353
893,57,679,18371
939,53,603,18405
998,41,556,18405
1036,49,481,18434
1094,46,435,18425
1145,48,379,18428
1192,43,337,18428
1260,35,299,18406
1336,31,262,18371
1382,30,239,18349
1436,32,210,18322
1482,29,189,18300
1528,29,180,18263
1581,36,145,18238
1642,32,136,18190
1681,36,125,18158
1740,26,120,18114
1805,22,115,18058
1858,22,103,18017
1890,19,102,17989
1958,13,91,17938
1997,12,77,17914
2066,13,63,17858
2123,12,58,17807
2173,8,62,17757
2238,8,54,17700
2282,7,49,17662
2338,10,41,17611
2401,8,37,17554
2458,10,36,17496
2495,12,33,17460
2550,10,33,17407
2604,10,26,17360
2662,8,20,17310
2727,9,17,17247
2767,5,19,17209
2815,5,18,17162
2868,4,20,17108
2912,4,22,17062
2963,4,20,17013
3021,8,18,16953
3058,11,17,16914
3104,6,21,16869
3156,5,17,16822
3218,3,14,16765
3264,5,13,16718
3312,5,12,16671
3360,2,13,16625
3408,0,12,16580
3451,3,12,16534
3500,1,13,16486
3545,2,11,16442
3587,4,10,16399
3633,4,12,16351
3672,5,10,16313
3728,5,12,16255
3765,3,13,16219
3806,4,11,16179
3849,6,12,16133
3901,4,12,16083
3951,4,11,16034
4006,3,10,15981
4057,4,10,15929
4090,6,10,15894
4139,4,14,15843
4191,3,14,15792
4236,2,15,15747
4273,3,13,15711
4309,3,14,15674
4358,5,14,15623
4400,4,17,15579
4447,5,11,15537
4486,2,13,15499
4527,4,10,15459
4558,7,9,15426
4597,8,9,15386
4636,8,10,15346
4672,8,8,15312
4711,5,11,15273
4759,7,11,15223
4816,6,12,15166
4854,6,10,15130
4895,6,12,15087
4932,5,13,15050
4989,2,14,14995
5027,3,15,14955
5055,4,12,14929
5094,4,13,14889
5144,4,14,14838
5171,5,11,14813
5203,9,12,14776
5247,8,13,14732
5279,9,13,14699
5314,12,15,14659
5353,7,22,14618
5386,8,21,14585
5424,10,20,14546
5451,9,23,14517
5480,7,23,14490
5512,10,25,14453
5555,10,22,14413
5587,5,24,14384
5634,9,20,14337
5667,12,19,14302
5702,12,23,14263
5730,14,26,14230
5753,12,27,14208
5789,15,31,14165
5838,15,33,14114
5873,19,34,14074
5901,20,41,14038
5936,19,35,14010
5962,19,38,13981
5988,20,39,13953
6013,23,43,13921
6046,25,49,13880
