S,E,I,R
19961,19,19,1
19938,32,23,7
19914,48,29,9
19882,67,36,15
19843,87,49,21
19790,106,73,31
19710,147,102,41
19613,187,147,53
19506,214,202,78
19334,306,256,104
19111,416,334,139
18833,547,429,191
18477,690,564,269
18009,899,742,350
17423,1123,989,465
16679,1465,1215,641
15822,1784,1560,834
14790,2134,1989,1087
13516,2608,2489,1387
12180,2951,3083,1786
10742,3342,3661,2255
9182,3638,4356,2824
7658,3799,5063,3480
6229,3823,5695,4253
4903,3728,6266,5103
3826,3400,6825,5949
2906,3047,7208,6839
2189,2590,7446,7775
1682,2129,7440,8749
1288,1724,7260,9728
994,1416,6921,10669
813,1076,6556,11555
657,832,6111,12400
565,660,5652,13123
510,507,5215,13768
463,407,4727,14403
431,313,4334,14922
434,239,3884,15443
431,215,3454,15900
450,174,3078,16298
451,153,2730,16666
469,134,2417,16980
495,115,2157,17233
517,106,1898,17479
551,91,1697,17661
567,95,1499,17839
606,89,1325,17980
637,77,1171,18115
679,76,1029,18216
710,82,885,18323
775,56,786,18383
829,55,686,18430
884,49,609,18458
919,50,555,18476
986,47,477,18490
1042,40,435,18483
1085,32,398,18485
1133,39,356,18472
1182,38,316,18464
1253,33,278,18436
1316,29,244,18411
1396,19,219,18366
1447,23,188,18342
1494,30,162,18314
1539,31,137,18293
1590,25,125,18260
1651,26,107,18216
1713,22,106,18159
1769,20,103,18108
1838,21,90,18051
1900,15,90,17995
1957,12,82,17949
2006,6,72,17916
2065,13,56,17866
2107,10,55,17828
2164,9,51,17776
2228,7,46,17719
2272,11,39,17678
2327,10,36,17627
2394,9,34,17563
2457,9,31,17503
2509,6,26,17459
2571,6,26,17397
2626,4,28,17342
2669,8,25,17298
2729,5,28,17238
2779,8,25,17188
2818,10,25,17147
2874,9,24,17093
2929,7,23,17041
2978,5,21,16996
3024,9,21,16946
3059,5,23,16913
3106,5,21,16868
3155,5,18,16822
3204,8,17,16771
3253,7,19,16721
3293,7,19,16681
3337,7,16,16640
3391,7,17,16585
3435,5,17,16543
3472,2,20,16506
3515,3,17,16465
3553,2,15,16430
3603,3,12,16382
3653,2,11,16334
3695,5,10,16290
3738,5,10,16247
3786,7,8,16199
3830,6,9,16155
3875,4,11,16110
3919,5,11,16065
3961,3,11,16025
4008,4,10,15978
4053,5,6,15936
4092,4,6,15898
4137,2,7,15854
4181,1,6,15812
4213,2,5,15780
4260,1,5,15734
4314,1,5,15680
4352,1,6,15641
4394,3,6,15597
4436,5,7,15552
4485,4,9,15502
4532,4,10,15454
4568,5,12,15415
4599,3,13,15385
4638,6,10,15346
4678,3,10,15309
4715,6,8,15271
4745,6,10,15239
4789,5,10,15196
4836,3,11,15150
4879,1,12,15108
4912,5,10,15073
4953,8,11,15028
4982,7,13,14998
5032,6,12,14950
5061,5,13,14921
5111,5,14,14870
5161,7,16,14816
5197,7,15,14781
5240,3,18,14739
5276,6,12,14706
5316,6,10,14668
5340,9,10,14641
5383,5,15,14597
5418,5,14,14563
5460,7,14,14519
5506,8,12,14474
5540,9,14,14437
5577,9,13,14401
5618,9,16,14357
5659,11,19,14311
5692,12,17,14279
5724,18,18,14240
