S,E,I,R
19970,10,17,3
19961,18,18,3
19942,29,24,5
19923,40,27,10
19890,53,43,14
19857,61,58,24
19797,95,71,37
19743,112,98,47
19656,146,140,58
19521,230,175,74
19374,281,239,106
19166,383,307,144
18888,512,412,188
18540,659,547,254
18106,862,690,342
17542,1086,932,440
16844,1403,1155,598
16018,1676,1507,799
14977,2099,1873,1051
13783,2506,2374,1337
12458,2887,2986,1669
10967,3341,3587,2105
9366,3687,4282,2665
7868,3787,5062,3283
6422,3782,5766,4030
5103,3668,6403,4826
3980,3446,6832,5742
3048,3081,7193,6678
2281,2693,7366,7660
1725,2276,7390,8609
1308,1884,7254,9554
1027,1479,7071,10423
823,1165,6749,11263
668,918,6334,12080
560,727,5895,12818
489,555,5447,13509
451,430,4964,14155
416,347,4485,14752
406,272,4031,15291
395,223,3628,15754
409,186,3249,16156
458,151,2914,16477
460,125,2595,16820
492,115,2294,17099
504,122,2050,17324
518,114,1840,17528
564,85,1652,17699
608,78,1454,17860
645,86,1283,17986
676,75,1158,18091
719,73,1016,18192
757,73,886,18284
808,50,792,18350
854,53,710,18383
898,64,620,18418
946,53,548,18453
989,52,479,18480
1026,47,441,18486
1072,41,390,18497
1122,43,341,18494
1168,42,310,18480
1218,31,281,18470
1274,29,247,18450
1313,29,212,18446
1382,31,194,18393
1441,31,164,18364
1474,28,153,18345
1520,24,140,18316
1570,23,124,18283
1628,23,109,18240
1680,24,91,18205
1734,16,83,18167
1796,16,68,18120
1871,11,66,18052
1938,10,61,17991
2012,12,52,17924
2073,12,51,17864
2123,10,44,17823
2177,10,39,17774
2226,6,38,17730
2289,3,35,17673
2347,8,36,17609
2410,8,32,17550
2455,8,28,17509
2528,9,23,17440
2569,8,21,17402
2631,6,20,17343
2682,8,19,17291
2734,11,20,17235
2784,10,21,17185
2846,11,20,17123
2894,10,25,17071
2954,8,24,17014
2991,9,21,16979
3029,7,21,16943
3081,8,22,16889
3140,7,22,16831
3181,7,21,16791
3228,5,18,16749
3288,5,18,16689
3344,3,15,16638
3393,3,16,16588
3433,3,16,16548
3473,7,17,16503
3520,6,19,16455
3554,7,18,16421
3600,8,16,16376
3645,6,15,16334
3691,8,16,16285
3740,7,14,16239
3763,9,13,16215
3811,7,15,16167
3856,7,17,16120
3904,6,19,16071
3941,9,17,16033
3987,11,19,15983
4023,11,17,15949
4065,10,18,15907
4106,13,15,15866
4154,13,16,15817
4196,12,20,15772
4239,10,23,15728
4276,10,26,15688
4319,9,27,15645
4367,11,23,15599
4414,10,24,15552
4468,9,28,15495
4504,15,24,15457
4547,12,24,15417
4590,11,28,15371
4633,7,31,15329
4671,11,24,15294
4716,6,27,15251
4751,8,23,15218
4789,10,20,15181
4828,8,20,15144
4880,8,19,15093
4923,9,19,15049
4956,10,23,15011
4998,6,23,14973
5039,7,21,14933
5074,11,23,14892
5111,9,25,14855
5147,12,27,14814
5182,18,26,14774
5235,17,28,14720
5262,13,32,14693
5300,14,31,14655
5342,13,30,14615
5383,15,33,14569
5418,18,35,14529
5453,18,34,14495
5495,24,38,14443
5523,24,36,14417
5555,24,41,14380
5596,30,44,14330
5625,28,43,14304
5657,25,50,14268
5694,29,49,14228
5735,26,54,14185
5753,23,59,14165
5772,32,63,14133
5790,35,60,14115
5812,38,64,14086
5865,30,72,14033
5878,40,75,14007
5895,43,83,13979
5920,51,75,13954
5944,52,78,13926
5970,57,80,13893
5987,52,99,13862
6021,51,100,13828
6047,59,102,13792
6070,57,105,13768
6102,53,110,13735
6111,53,107,13729
6134,49,114,13703
6141,54,112,13693
6154,59,117,13670
6158,79,116,13647
6170,77,131,13622
6182,91,142,13585
6177,99,154,13570
6175,98,172,13555
6182,77,194,13547
6165,94,197,13544
6152,123,201,13524
6160,127,217,13496
6149,138,230,13483
