S,E,I,R
19956,24,18,2
19938,35,24,3
19915,47,28,10
19884,58,44,14
19838,78,62,22
19796,99,71,34
19746,111,100,43
19662,151,127,60
19548,201,171,80
19409,261,214,116
19217,356,275,152
18989,433,387,191
18666,600,468,266
18296,750,599,355
17804,962,794,440
17222,1194,1028,556
16465,1508,1310,717
15564,1839,1661,936
14489,2206,2105,1200
13166,2688,2624,1522
11716,3091,3258,1935
10149,3465,3965,2421
8525,3781,4646,3048
6979,3929,5324,3768
5512,3991,5948,4549
4343,3610,6644,5403
3310,3276,7096,6318
2525,2849,7379,7247
1894,2418,7458,8230
1451,1913,7503,9133
1105,1535,7261,10099
861,1248,6901,10990
699,974,6491,11836
582,724,6117,12577
517,540,5627,13316
459,441,5137,13963
430,359,4656,14555
419,282,4198,15101
402,245,3772,15581
398,202,3397,16003
405,173,3028,16394
430,153,2718,16699
448,124,2423,17005
489,103,2151,17257
508,102,1915,17475
532,87,1707,17674
565,80,1501,17854
604,60,1334,18002
634,53,1187,18126
671,63,1030,18236
715,65,880,18340
757,62,793,18388
802,58,690,18450
868,56,623,18453
910,56,579,18455
969,40,516,18475
1026,46,459,18469
1077,48,388,18487
1127,40,361,18472
1159,54,328,18459
1210,47,300,18443
1265,48,267,18420
1320,46,243,18391
1358,41,222,18379
1413,43,207,18337
1469,34,190,18307
1527,32,173,18268
1573,30,156,18241
1627,29,133,18211
1690,26,131,18153
1749,28,124,18099
1811,21,122,18046
1863,16,113,18008
1926,16,101,17957
1988,14,93,17905
2036,11,85,17868
2094,16,71,17819
2143,18,70,17769
2182,20,69,17729
2234,23,62,17681
2284,18,61,17637
2340,16,62,17582
2389,21,54,17536
2445,14,54,17487
2500,12,52,17436
2574,12,47,17367
2618,12,44,17326
2663,10,43,17284
2717,7,41,17235
2763,7,41,17189
2819,5,35,17141
2865,3,31,17101
2917,4,26,17053
2970,3,25,17002
3026,3,24,16947
3067,4,23,16906
3111,5,18,16866
3159,6,16,16819
3219,4,14,16763
3270,4,13,16713
3314,1,15,16670
3364,2,12,16622
3423,4,11,16562
3467,5,11,16517
3518,6,10,16466
3565,6,10,16419
3618,7,10,16365
3668,5,12,16315
3721,6,7,16266
3780,5,8,16207
3836,6,6,16152
3878,8,6,16108
3922,7,6,16065
3970,6,7,16017
4016,3,11,15970
4055,5,12,15928
4097,5,11,15887
4135,3,13,15849
4184,4,13,15799
4229,2,12,15757
4282,0,11,15707
4325,1,9,15665
4369,4,8,15619
4399,6,9,15586
4434,10,10,15546
4487,8,14,15491
4532,11,15,15442
4559,13,19,15409
4596,15,21,15368
4640,18,24,15318
4686,10,36,15268
4728,13,35,15224
4760,19,27,15194
4803,25,29,15143
4841,16,36,15107
4873,22,28,15077
4912,21,33,15034
4944,18,43,14995
4971,22,47,14960
5006,29,47,14918
5044,31,54,14871
5074,32,56,14838
5085,26,61,14828
5120,24,65,14791
5150,27,69,14754
5176,25,66,14733
5191,37,65,14707
5226,37,68,14669
5251,43,67,14639
5278,36,78,14608
5297,34,78,14591
5334,26,75,14565
5364,30,73,14533
5399,31,69,14501
5419,36,70,14475
5456,36,70,14438
5485,44,71,14400
5509,49,82,14360
5526,45,91,14338
5544,53,96,14307
5557,57,104,14282
5565,57,114,14264
5593,50,116,14241
5600,54,117,14229
5620,51,128,14201
5631,57,136,14176
5638,61,132,14169
5657,63,136,14144
5669,68,139,14124
5694,55,156,14095
5695,73,152,14080
5713,84,164,14039
5715,80,178,14027
5716,97,173,14014
5731,95,172,14002
5746,101,188,13965
5765,89,204,13942
5762,107,211,13920
5763,102,230,13905
5756,110,240,13894
5740,123,241,13896
5734,119,250,13897
5696,146,267,13891
5680,156,269,13895
5665,161,281,13893
5666,152,310,13872
5627,164,323,13886
5584,172,344,13900
5537,191,375,13897
5493,195,411,13901
5457,204,433,13906
5414,204,454,13928
5362,218,458,13962
5317,238,446,13999
5282,235,469,14014
5244,225,493,14038
5204,217,513,14066
5154,240,518,14088
5081,263,544,14112
5023,279,569,14129
4959,287,601,14153
4900,291,616,14193
4826,301,636,14237
4731,313,681,14275
4645,333,706,14316
4561,322,743,14374
4498,324,742,14436
4416,316,752,14516
4333,339,771,14557
4233,365,786,14616
4147,359,809,14685
4057,349,830,14764
4007,333,827,14833
3955,328,831,14886
3889,324,866,14921
3795,348,875,14982
3718,355,875,15052
3670,328,865,15137
3593,341,875,15191
3534,323,883,15260
3478,314,862,15346
3469,283,863,15385
3431,289,860,15420
3371,300,862,15467
3359,282,834,15525
3321,292,821,15566
3271,294,824,15611
3223,276,813,15688
3195,262,822,15721
3157,273,806,15764
3150,272,804,15774
3130,257,807,15806
3103,270,796,15831
3092,253,781,15874
3092,226,784,15898
3078,230,762,15930
3044,217,763,15976
3019,224,727,16030
3013,221,713,16053
3029,216,694,16061
3052,207,661,16080
3046,204,666,16084
3043,206,648,16103
3037,209,624,16130
3038,198,616,16148
3039,195,601,16165
3045,191,607,16157
3067,186,584,16163
3075,191,573,16161
3092,191,564,16153
3119,162,575,16144
3141,180,557,16122
3169,171,543,16117
3183,166,545,16106
3183,186,535,16096
3199,162,537,16102
3235,149,525,16091
3278,161,499,16062
3302,161,484,16053
3325,165,476,16034
3361,145,474,16020
3378,153,456,16013
3412,141,446,16001
3420,149,444,15987
3463,136,441,15960
3474,140,414,15972
3516,131,417,15936
3548,130,405,15917
3582,136,395,15887
3616,148,390,15846
3639,149,377,15835
3666,148,376,15810
3702,139,372,15787
3707,142,371,15780
3759,144,382,15715
3794,152,389,15665
3828,156,390,15626
3856,155,391,15598
3885,158,387,15570
3928,146,396,15530
3950,140,388,15522
3994,151,370,15485
4000,167,382,15451
4019,162,396,15423
4045,159,395,15401
4049,155,411,15385
4072,158,399,15371
4084,170,373,15373
4103,158,397,15342
4136,147,413,15304
4164,157,414,15265
4156,176,408,15260
4166,182,423,15229
4189,166,427,15218
4224,160,416,15200
4223,169,418,15190
4236,188,416,15160
4255,167,444,15134
4270,187,431,15112
4278,207,444,15071
4281,209,455,15055
4305,199,461,15035
4320,196,475,15009
4314,210,481,14995
4321,222,505,14952
4328,225,508,14939
4325,211,531,14933
4317,223,541,14919
4312,230,536,14922
4286,237,560,14917
4277,234,578,14911
4256,248,580,14916
4229,266,577,14928
4207,261,587,14945
4199,286,595,14920
4206,255,630,14909
4218,248,629,14905
4210,232,648,14910
4199,250,647,14904
4185,234,658,14923
4177,261,651,14911
4143,290,645,14922
4156,273,655,14916
4147,275,673,14905
4098,299,683,14920
4077,286,681,14956
4030,298,710,14962
3992,310,729,14969
3979,296,738,14987
