S,E,I,R
19969,11,19,1
19957,21,18,4
19940,28,26,6
19921,34,36,9
19889,53,43,15
19857,70,52,21
19799,95,76,30
19737,123,97,43
19653,164,121,62
19544,211,155,90
19418,260,200,122
19239,348,265,148
18999,446,367,188
18692,587,462,259
18307,752,612,329
17824,946,800,430
17240,1174,1021,565
16438,1521,1316,725
15514,1876,1657,953
14437,2204,2111,1248
13170,2628,2608,1594
11783,3062,3153,2002
10292,3423,3813,2472
8777,3594,4551,3078
7295,3721,5263,3721
5910,3679,5906,4505
4696,3507,6428,5369
3622,3253,6878,6247
2771,2916,7149,7164
2144,2491,7229,8136
1614,2148,7150,9088
1271,1725,7041,9963
982,1382,6775,10861
789,1054,6471,11686
665,842,6043,12450
582,657,5611,13150
524,527,5160,13789
475,424,4729,14372
473,339,4237,14951
483,267,3873,15377
492,217,3474,15817
481,202,3136,16181
502,154,2803,16541
507,127,2502,16864
524,135,2197,17144
550,100,1994,17356
560,102,1760,17578
584,88,1575,17753
631,71,1406,17892
654,83,1226,18037
706,69,1085,18140
734,67,963,18236
794,55,869,18282
848,51,790,18311
888,53,708,18351
942,60,616,18382
993,46,552,18409
1038,42,466,18454
1080,36,417,18467
1139,33,363,18465
1178,32,328,18462
1233,36,288,18443
1287,33,253,18427
1326,30,238,18406
1385,32,214,18369
1459,26,199,18316
1506,22,178,18294
1569,23,152,18256
1625,21,134,18220
1671,21,117,18191
1723,17,115,18145
1778,12,103,18107
1826,18,91,18065
1870,18,86,18026
1917,17,83,17983
1983,18,72,17927
2031,8,71,17890
2085,9,61,17845
2142,8,52,17798
2195,11,51,17743
2237,17,38,17708
2278,13,40,17669
2323,12,33,17632
2371,12,28,17589
2430,9,31,17530
2489,4,31,17476
2530,3,31,17436
2583,1,31,17385
2639,4,27,17330
2688,3,29,17280
2738,2,25,17235
2797,3,16,17184
2855,5,12,17128
2907,5,11,17077
2967,6,10,17017
3019,6,10,16965
3069,3,12,16916
3106,4,12,16878
3161,1,14,16824
3202,3,12,16783
3240,5,10,16745
3285,4,9,16702
3344,3,8,16645
3413,1,8,16578
3459,2,9,16530
3503,1,10,16486
3555,3,8,16434
3601,4,5,16390
3647,3,4,16346
3710,2,5,16283
3761,4,6,16229
3814,1,9,16176
3860,2,7,16131
3903,2,8,16087
3946,2,6,16046
3977,4,6,16013
4038,2,8,15952
4082,2,8,15908
4118,3,7,15872
4154,3,6,15837
4191,3,7,15799
4251,4,5,15740
4296,5,6,15693
4330,9,4,15657
4367,9,7,15617
4409,5,9,15577
4444,3,11,15542
4491,4,9,15496
4528,3,12,15457
4561,3,11,15425
4594,5,11,15390
4633,2,12,15353
4666,2,10,15322
4705,2,12,15281
4742,5,8,15245
4791,2,11,15196
4839,1,10,15150
4878,2,9,15111
4914,3,8,15075
4954,7,7,15032
4999,7,9,14985
5038,4,10,14948
5073,2,10,14915
5106,4,10,14880
5157,6,9,14828
5191,3,13,14793
5237,2,12,14749
5282,5,8,14705
5320,5,8,14667
5365,6,6,14623
5397,6,8,14589
5448,5,9,14538
5477,4,12,14507
5507,6,12,14475
5554,9,13,14424
5593,7,12,14388
5624,9,14,14353
5655,9,17,14319
5704,9,17,14270
5745,7,19,14229
5762,12,21,14205
5807,14,20,14159
5856,6,25,14113
5895,6,24,14075
5934,10,25,14031
5964,10,24,14002
5998,13,26,13963
6042,9,29,13920
6079,8,31,13882
6109,13,28,13850
6140,12,28,13820
6162,16,29,13793
6197,14,32,13757
6236,12,32,13720
6270,11,34,13685
6296,16,35,13653
