S,E,I,R
19962,18,18,2
19945,29,21,5
19927,39,24,10
19897,54,38,11
19862,63,58,17
19815,86,73,26
19749,123,91,37
19676,149,119,56
19560,219,150,71
19411,279,209,101
19214,364,286,136
18963,475,380,182
18649,617,491,243
18193,827,668,312
17625,1084,864,427
16971,1319,1144,566
16137,1653,1451,759
15196,1942,1858,1004
14023,2380,2297,1300
12666,2822,2839,1673
11152,3250,3456,2142
9600,3618,4114,2668
8087,3761,4866,3286
6629,3853,5552,3966
5241,3764,6241,4754
4075,3515,6814,5596
3121,3175,7192,6512
2335,2781,7391,7493
1747,2354,7441,8458
1338,1919,7323,9420
1063,1516,7138,10283
857,1181,6814,11148
720,920,6323,12037
597,738,5874,12791
547,571,5384,13498
491,448,4956,14105
456,342,4493,14709
444,261,4059,15236
422,224,3626,15728
441,192,3244,16123
453,160,2924,16463
475,142,2632,16751
491,128,2351,17030
508,124,2085,17283
541,110,1852,17497
576,92,1650,17682
642,80,1456,17822
685,62,1301,17952
708,67,1137,18088
769,63,1005,18163
820,65,878,18237
875,69,764,18292
936,55,694,18315
965,74,615,18346
1018,55,558,18369
1058,40,493,18409
1104,47,436,18413
1169,39,371,18421
1211,33,332,18424
1271,31,288,18410
1334,31,258,18377
1383,29,228,18360
1442,19,202,18337
1499,29,181,18291
1562,27,157,18254
1612,28,138,18222
1659,25,131,18185
1712,22,121,18145
1766,19,115,18100
1815,14,106,18065
1869,17,87,18027
1925,15,82,17978
1976,17,68,17939
2019,15,66,17900
2092,10,68,17830
2151,12,61,17776
2217,9,59,17715
2277,9,53,17661
2337,7,47,17609
2402,7,43,17548
2439,12,36,17513
2502,11,32,17455
2554,9,35,17402
2594,10,33,17363
2649,7,34,17310
2699,9,30,17262
2747,10,26,17217
2810,6,26,17158
2860,6,25,17109
2916,4,23,17057
2963,6,18,17013
3017,5,23,16955
3065,5,21,16909
3110,5,12,16873
3136,7,9,16848
3192,4,12,16792
3232,3,13,16752
3276,4,10,16710
3316,3,12,16669
3354,3,11,16632
3399,6,7,16588
3453,2,10,16535
3491,1,12,16496
3540,1,9,16450
3597,2,8,16393
3628,5,9,16358
3689,5,12,16294
3731,5,12,16252
3784,3,14,16199
3819,9,13,16159
3857,9,15,16119
3903,7,17,16073
3942,7,17,16034
3982,8,19,15991
4015,5,19,15961
4055,6,18,15921
4104,3,19,15874
4156,5,18,15821
4202,9,13,15776
4253,8,14,15725
4294,7,11,15688
4345,3,15,15637
4372,3,15,15610
4415,4,15,15566
4466,5,15,15514
4511,7,16,15466
4552,5,19,15424
4594,7,17,15382
4626,8,17,15349
4667,7,17,15309
4700,10,19,15271
4729,12,18,15241
4767,11,19,15203
4804,12,17,15167
4853,11,19,15117
4889,6,21,15084
4927,8,20,15045
4966,11,20,15003
5014,7,23,14956
5042,9,22,14927
5083,10,23,14884
5121,12,27,14840
5158,10,32,14800
5187,13,32,14768
5229,12,30,14729
5257,12,31,14700
5293,16,31,14660
5329,17,24,14630
5369,12,28,14591
5409,11,30,14550
5439,13,29,14519
5476,15,26,14483
5507,17,30,14446
5528,17,38,14417
5559,20,38,14383
5588,21,41,14350
5608,26,45,14321
5634,25,46,14295
5666,19,51,14264
5693,23,46,14238
5732,24,49,14195
5761,33,49,14157
5789,29,58,14124
5825,37,60,14078
5857,31,69,14043
5896,37,69,13998
5925,48,65,13962
5949,46,73,13932
5964,49,78,13909
5978,54,81,13887
6008,50,92,13850
6016,67,101,13816
6007,80,116,13797
6013,75,134,13778
6029,69,144,13758
6045,67,149,13739
6038,77,145,13740
6041,74,161,13724
6032,91,165,13712
6046,101,177,13676
6040,117,177,13666
6038,115,192,13655
6011,126,210,13653
6000,134,222,13644
5983,140,251,13626
5969,149,254,13628
5952,155,268,13625
5926,156,298,13620
5901,162,298,13639
5887,160,319,13634
5865,178,317,13640
5823,190,348,13639
5780,208,364,13648
5748,202,392,13658
5709,204,407,13680
5660,219,427,13694
5639,202,455,13704
5580,222,479,13719
5529,238,495,13738
5499,236,492,13773
5434,259,500,13807
5366,257,540,13837
5277,292,558,13873
5207,289,587,13917
5118,301,616,13965
5043,305,643,14009
4975,312,669,14044
4901,310,696,14093
4800,348,720,14132
4707,344,771,14178
4633,357,770,14240
4565,363,779,14293
4475,363,799,14363
4375,380,817,14428
4267,375,872,14486
4198,351,906,14545
4138,353,910,14599
4085,357,905,14653
4008,367,897,14728
3922,367,923,14788
3841,362,935,14862
3756,371,931,14942
3677,375,951,14997
3598,360,950,15092
3554,331,955,15160
3486,333,948,15233
3407,323,936,15334
3374,296,937,15393
3336,297,914,15453
3301,302,896,15501
3278,279,884,15559
3213,297,871,15619
3170,299,863,15668
3126,290,853,15731
3080,279,821,15820
3072,259,821,15848
3040,265,798,15897
3026,246,789,15939
3010,234,768,15988
3011,227,743,16019
2977,241,700,16082
3004,219,696,16081
3005,218,659,16118
3004,199,656,16141
3006,215,643,16136
3009,214,643,16134
3022,207,648,16123
3032,215,630,16123
3023,207,637,16133
3015,200,621,16164
3038,179,597,16186
3064,167,595,16174
3076,177,588,16159
3096,166,574,16164
3081,183,553,16183
3088,185,541,16186
3100,187,524,16189
3132,179,527,16162
3159,167,498,16176
3190,147,505,16158
3218,158,481,16143
3226,157,482,16135
3257,155,457,16131
3273,150,454,16123
3290,158,438,16114
3322,144,429,16105
3358,138,414,16090
3398,148,417,16037
3431,139,416,16014
3461,128,420,15991
3476,146,406,15972
3498,142,422,15938
3538,134,408,15920
3564,141,403,15892
3594,151,387,15868
3594,163,392,15851
3617,156,403,15824
3643,142,409,15806
3685,147,376,15792
3728,145,374,15753
3752,149,366,15733
3776,156,365,15703
3815,151,380,15654
3847,147,373,15633
3876,146,370,15608
3897,126,391,15586
3939,114,383,15564
3955,136,369,15540
3990,129,379,15502
4013,146,361,15480
4049,143,356,15452
4082,127,370,15421
4107,142,360,15391
4136,127,366,15371
4167,126,367,15340
4185,130,352,15333
4224,128,346,15302
4254,134,340,15272
4268,134,354,15244
4304,137,337,15222
4327,148,343,15182
4357,152,338,15153
4399,157,343,15101
4412,161,361,15066
4462,144,373,15021
4507,145,371,14977
4538,150,368,14944
4546,160,386,14908
4567,167,400,14866
4567,193,403,14837
4560,185,431,14824
4572,198,434,14796
4574,201,452,14773
4579,208,464,14749
4561,240,449,14750
4567,237,462,14734
4553,223,485,14739
4554,218,495,14733
4558,210,495,14737
4542,228,497,14733
4542,262,497,14699
4547,251,533,14669
4527,246,552,14675
4503,252,571,14674
4474,254,584,14688
4456,257,604,14683
4404,278,633,14685
4376,296,648,14680
4358,296,669,14677
4340,313,667,14680
4319,307,693,14681
4287,299,710,14704
4269,297,709,14725
4241,296,711,14752
4211,297,738,14754
4185,300,738,14777
4173,280,770,14777
4143,295,767,14795
4084,298,793,14825
4053,305,793,14849
4028,294,786,14892
4009,280,794,14917
3995,269,796,14940
3961,300,777,14962
3942,288,769,15001
3921,291,762,15026
3880,315,773,15032
3885,313,753,15049
3870,321,735,15074
3839,312,772,15077
3824,325,768,15083
3801,293,789,15117
3789,292,780,15139
3767,302,766,15165
3758,308,752,15182
3766,285,774,15175
3724,312,764,15200
3703,308,756,15233
3686,294,769,15251
3685,260,802,15253
3670,284,791,15255
3667,285,792,15256
3654,279,780,15287
3647,284,765,15304
3643,281,753,15323
3658,251,773,15318
3636,269,762,15333
3611,282,762,15345
3614,268,764,15354
3608,267,755,15370
3599,259,782,15360
3583,264,751,15402
3576,270,734,15420
3556,273,722,15449
3561,267,725,15447
3553,266,706,15475
3545,266,723,15466
3543,272,700,15485
3554,250,683,15513
3554,240,692,15514
3553,244,696,15507
3572,244,683,15501
3599,244,673,15484
3582,272,663,15483
3570,273,665,15492
3584,261,673,15482
3601,239,664,15496
3608,233,661,15498
3622,227,661,15490
3626,223,645,15506
3635,240,640,15485
3631,250,636,15483
3651,240,629,15480
3680,215,622,15483
3698,201,631,15470
3691,214,636,15459
3703,218,619,15460
3712,219,622,15447
3726,222,615,15437
3736,221,604,15439
3739,211,617,15433
3750,206,592,15452
3765,209,578,15448
3768,213,578,15441
3760,230,570,15440
3781,237,563,15419
3794,224,591,15391
3804,236,596,15364
3799,246,613,15342
