S,E,I,R
19959,21,18,2
19945,30,22,3
19922,40,26,12
19901,48,36,15
19874,55,49,22
19839,73,60,28
19789,99,69,43
19738,110,98,54
19650,158,121,71
19536,212,166,86
19400,278,209,113
19225,349,271,155
19002,437,363,198
18700,562,482,256
18327,720,627,326
17813,935,823,429
17221,1180,1018,581
16430,1541,1277,752
15541,1857,1657,945
14378,2306,2119,1197
13077,2719,2698,1506
11667,3112,3320,1901
10093,3534,3992,2381
8489,3802,4758,2951
6978,3813,5576,3633
5591,3752,6213,4444
4361,3561,6770,5308
3334,3275,7190,6201
2595,2795,7439,7171
1980,2427,7428,8165
1502,2039,7388,9071
1167,1639,7169,10025
948,1250,6891,10911
765,989,6480,11766
637,762,6069,12532
522,637,5570,13271
465,486,5126,13923
451,357,4642,14550
436,298,4143,15123
439,242,3710,15609
428,203,3336,16033
437,175,3004,16384
451,160,2680,16709
466,137,2392,17005
479,122,2125,17274
502,112,1898,17488
522,87,1664,17727
557,83,1499,17861
593,87,1324,17996
649,71,1175,18105
706,69,1041,18184
724,68,932,18276
778,63,826,18333
830,60,739,18371
878,61,658,18403
941,59,582,18418
994,53,506,18447
1033,52,455,18460
1092,38,426,18444
1140,45,370,18445
1194,36,332,18438
1252,27,298,18423
1314,34,253,18399
1366,29,234,18371
1415,27,203,18355
1483,28,182,18307
1526,25,173,18276
1594,18,162,18226
1651,23,142,18184
1716,12,139,18133
1771,16,116,18097
1835,18,101,18046
1894,19,88,17999
1932,22,82,17964
1983,15,78,17924
2044,16,75,17865
2096,21,62,17821
2156,9,61,17774
2205,14,53,17728
2266,9,53,17672
2308,12,52,17628
2358,11,49,17582
2407,10,45,17538
2456,7,46,17491
2518,6,43,17433
2568,6,42,17384
2622,5,41,17332
2665,5,37,17293
2706,6,30,17258
2760,4,29,17207
2814,5,21,17160
2874,5,16,17105
2929,6,15,17050
2966,4,17,17013
3020,3,14,16963
3072,3,14,16911
3143,4,12,16841
3204,3,11,16782
3251,3,14,16732
3306,5,13,16676
3361,3,14,16622
3409,3,13,16575
3448,3,13,16536
3494,3,13,16490
3543,5,12,16440
3582,5,9,16404
3625,4,9,16362
3669,2,10,16319
3720,2,10,16268
3763,2,10,16225
3816,5,7,16172
3859,3,9,16129
3910,6,8,16076
3955,8,7,16030
3998,5,11,15986
4038,9,9,15944
4088,3,12,15897
4136,4,10,15850
4181,4,11,15804
4230,4,11,15755
4268,4,11,15717
4309,6,11,15674
4356,6,12,15626
4405,7,12,15576
4441,9,14,15536
4478,8,16,15498
4522,4,19,15455
4560,7,17,15416
4592,10,16,15382
4632,10,17,15341
4666,7,17,15310
4709,4,21,15266
4746,7,20,15227
4790,7,22,15181
4844,6,23,15127
4891,11,23,15075
4931,8,25,15036
4967,7,20,15006
5011,4,19,14966
5042,13,21,14924
5078,9,24,14889
5118,12,20,14850
5162,8,23,14807
5199,13,24,14764
5240,13,27,14720
5275,9,29,14687
5307,8,24,14661
5330,14,21,14635
5375,10,23,14592
5402,8,28,14562
5423,13,25,14539
5463,7,28,14502
5495,12,27,14466
5537,11,28,14424
5559,16,27,14398
5603,14,27,14356
5651,13,25,14311
5682,14,27,14277
5721,15,32,14232
5748,17,35,14200
5778,19,42,14161
5795,27,44,14134
5832,31,49,14088
5869,24,54,14053
5877,31,58,14034
5902,25,64,14009
5928,22,68,13982
5968,29,68,13935
6005,38,60,13897
6014,37,65,13884
6046,29,70,13855
6069,39,70,13822
6079,47,77,13797
6100,44,84,13772
6118,53,86,13743
6137,56,88,13719
6159,54,96,13691
6174,52,101,13673
6185,64,110,13641
6198,70,100,13632
6210,73,113,13604
6225,68,128,13579
6231,85,130,13554
6229,80,153,13538
6230,86,155,13529
6243,88,157,13512
6235,85,169,13511
6223,108,178,13491
6210,117,196,13477
6199,111,216,13474
6188,127,222,13463
6185,117,247,13451
6168,124,256,13452
6152,129,263,13456
6150,122,273,13455
6141,136,271,13452
6113,151,291,13445
6074,179,295,13452
6050,170,320,13460
6001,185,339,13475
5963,205,351,13481
5945,204,355,13496
5902,212,396,13490
5870,219,411,13500
5812,234,435,13519
