S,E,I,R
19966,14,19,1
19947,27,22,4
19922,39,31,8
19893,57,37,13
19865,59,56,20
19827,80,58,35
19774,105,77,44
19703,134,107,56
19612,178,139,71
19474,245,182,99
19295,328,249,128
19029,464,338,169
18742,593,440,225
18346,750,609,295
17846,953,812,389
17206,1223,1033,538
16433,1548,1324,695
15538,1851,1700,911
14402,2274,2179,1145
13181,2656,2685,1478
11660,3151,3269,1920
10158,3451,3999,2392
8541,3759,4702,2998
7037,3855,5440,3668
5703,3775,6019,4503
4491,3587,6630,5292
3464,3236,7123,6177
2646,2824,7415,7115
2008,2399,7517,8076
1507,2063,7418,9012
1147,1629,7244,9980
920,1281,6912,10887
748,989,6529,11734
610,783,6098,12509
517,606,5657,13220
474,469,5159,13898
453,365,4717,14465
425,297,4258,15020
411,251,3788,15550
420,209,3423,15948
432,168,3073,16327
435,139,2746,16680
460,128,2403,17009
476,114,2115,17295
508,87,1878,17527
525,97,1659,17719
569,100,1477,17854
607,85,1306,18002
648,70,1179,18103
699,68,1054,18179
741,68,917,18274
785,55,821,18339
849,56,730,18365
887,48,653,18412
934,50,576,18440
981,48,499,18472
1041,45,444,18470
1096,50,396,18458
1143,32,368,18457
1195,30,322,18453
1252,27,284,18437
1303,31,250,18416
1354,26,223,18397
1416,23,198,18363
1466,33,175,18326
1504,35,153,18308
1552,28,142,18278
1605,22,122,18251
1666,20,105,18209
1722,14,99,18165
1787,15,88,18110
1845,15,79,18061
1899,19,75,18007
1939,15,67,17979
2000,13,65,17922
2055,13,59,17873
2097,13,58,17832
2150,14,52,17784
2194,14,46,17746
2241,17,42,17700
2294,13,42,17651
2345,12,38,17605
2405,10,38,17547
2461,5,41,17493
2524,8,39,17429
2579,8,35,17378
2653,5,31,17311
2712,5,30,17253
2767,5,25,17203
2817,8,19,17156
2869,7,20,17104
2910,6,20,17064
2949,3,20,17028
2995,0,18,16987
3056,1,16,16927
3097,3,16,16884
3153,3,14,16830
3212,1,13,16774
3258,3,12,16727
3306,3,11,16680
3359,4,8,16629
3410,1,8,16581
3463,1,7,16529
3514,2,7,16477
3575,3,6,16416
3616,2,7,16375
3668,3,5,16324
3703,1,6,16290
3752,1,5,16242
3801,1,4,16194
3843,4,3,16150
3892,3,5,16100
3940,3,5,16052
3985,2,7,16006
4030,2,7,15961
4068,2,7,15923
4103,2,6,15889
4144,2,7,15847
4184,2,6,15808
4235,3,6,15756
4281,2,5,15712
4332,3,5,15660
4375,3,5,15617
4426,2,6,15566
4473,2,5,15520
4505,1,5,15489
4541,2,6,15451
4587,1,7,15405
4623,1,5,15371
4660,3,6,15331
4698,4,6,15292
4738,2,8,15252
4781,2,10,15207
4821,2,10,15167
4865,4,8,15123
4906,5,10,15079
4941,6,10,15043
4990,6,11,14993
5025,3,16,14956
5063,3,16,14918
5104,1,18,14877
5138,4,16,14842
5172,6,17,14805
5213,8,16,14763
5255,9,14,14722
5285,9,18,14688
5318,5,21,14656
5346,4,20,14630
5386,7,17,14590
5415,9,15,14561
5450,8,15,14527
5482,8,14,14496
5515,11,10,14464
5537,10,14,14439
5581,7,16,14396
5613,8,18,14361
5657,10,15,14318
5697,7,20,14276
5732,11,18,14239
5767,8,21,14204
5799,9,24,14168
5841,14,23,14122
5880,16,24,14080
5921,19,24,14036
5959,9,33,13999
5998,16,30,13956
6018,14,33,13935
6061,16,34,13889
6097,16,35,13852
6138,17,36,13809
6172,14,40,13774
6188,24,44,13744
6208,26,47,13719
6238,27,48,13687
6267,30,50,13653
6306,27,56,13611
6326,27,59,13588
6351,27,63,13559
6367,31,68,13534
6405,35,66,13494
6426,41,73,13460
6446,38,83,13433
6464,42,85,13409
6484,42,90,13384
6509,46,89,13356
6554,35,95,13316
6566,39,101,13294
6582,51,99,13268
6593,63,101,13243
6610,76,103,13211
6609,86,118,13187
6612,84,139,13165
6602,96,146,13156
6608,94,164,13134
6609,100,168,13123
6598,113,178,13111
6566,145,183,13106
6559,141,207,13093
6539,126,235,13100
6511,144,242,13103
6496,151,259,13094
6435,173,301,13091
6387,194,319,13100
6354,198,348,13100
6329,183,386,13102
6281,205,398,13116
6229,208,410,13153
6155,230,444,13171
6079,258,482,13181
6003,258,519,13220
5925,290,549,13236
5853,298,550,13299
5778,312,595,13315
5675,338,611,13376
5560,378,662,13400
5451,371,735,13443
5338,383,778,13501
5221,397,812,13570
5129,400,853,13618
5031,417,889,13663
4898,427,922,13753
4791,409,958,13842
4680,391,978,13951
4567,392,987,14054
4438,412,1000,14150
4330,411,1029,14230
4224,399,1030,14347
4122,416,1022,14440
4010,408,1031,14551
3906,414,1050,14630
3823,404,1049,14724
3732,405,1049,14814
3649,397,1054,14900
3574,398,1043,14985
3492,379,1045,15084
3422,355,1050,15173
3331,355,1041,15273
3262,359,1021,15358
3177,364,1036,15423
3109,346,1035,15510
3060,330,1012,15598
3015,324,981,15680
2984,287,1006,15723
2984,260,977,15779
2941,273,947,15839
2904,273,920,15903
2849,268,907,15976
2813,254,891,16042
2818,227,869,16086
2797,234,830,16139
2797,212,818,16173
2806,209,801,16184
2786,213,775,16226
2780,205,780,16235
2790,220,713,16277
2806,192,686,16316
2815,184,675,16326
2814,187,648,16351
2834,188,619,16359
2865,165,597,16373
2881,167,593,16359
2926,150,561,16363
2958,160,518,16364
2998,150,501,16351
3032,143,493,16332
3054,148,477,16321
3082,140,464,16314
3107,134,460,16299
3137,136,452,16275
3171,136,449,16244
3196,122,450,16232
3223,122,434,16221
3266,137,396,16201
3293,120,394,16193
3308,120,379,16193
3349,120,372,16159
3374,116,363,16147
3404,120,357,16119
3428,112,373,16087
3495,112,346,16047
3531,101,340,16028
3564,115,326,15995
3608,120,294,15978
3670,104,295,15931
3696,109,295,15900
3764,102,294,15840
3807,106,296,15791
3845,105,302,15748
3898,110,303,15689
3945,105,302,15648
3992,94,301,15613
4023,104,298,15575
4066,91,283,15560
4113,106,269,15512
4144,105,261,15490
4185,107,272,15436
4233,109,271,15387
4281,116,265,15338
4322,112,277,15289
4340,126,277,15257
4382,123,280,15215
4412,130,287,15171
4433,145,293,15129
4467,135,307,15091
4486,138,310,15066
4496,137,341,15026
4529,161,340,14970
4556,152,354,14938
4583,156,360,14901
4597,159,368,14876
4613,170,379,14838
4614,181,394,14811
4609,175,410,14806
4622,185,411,14782
4637,171,436,14756
4640,178,450,14732
4621,214,435,14730
4644,217,454,14685
4657,207,480,14656
4628,235,475,14662
4607,240,492,14661
4590,241,527,14642
4589,238,556,14617
4558,255,569,14618
4534,253,585,14628
4501,283,592,14624
4467,288,590,14655
4456,269,608,14667
4429,286,629,14656
4403,276,659,14662
4361,288,679,14672
4341,270,709,14680
4313,273,724,14690
4285,311,714,14690
4226,330,743,14701
4182,335,766,14717
4148,312,798,14742
4124,317,793,14766
4067,344,806,14783
4032,323,839,14806
3983,337,839,14841
3953,327,837,14883
3920,321,842,14917
3886,338,837,14939
3823,343,873,14961
3771,346,880,15003
3724,352,885,15039
3701,316,911,15072
3697,282,895,15126
3648,306,881,15165
3629,301,875,15195
3592,315,874,15219
3562,315,869,15254
3539,336,848,15277
3509,324,870,15297
3483,316,848,15353
3469,296,877,15358
3443,301,875,15381
3444,290,863,15403
3401,313,831,15455
3417,296,817,15470
3385,285,843,15487
3374,280,819,15527
3364,257,798,15581
3343,270,786,15601
3336,262,786,15616
3336,252,800,15612
3322,256,792,15630
3340,255,776,15629
3329,280,761,15630
3345,272,750,15633
3351,268,749,15632
3365,238,739,15658
3388,209,753,15650
3404,212,716,15668
3410,236,693,15661
3407,226,703,15664
3407,241,699,15653
3416,257,681,15646
3400,277,658,15665
3393,260,671,15676
3403,252,666,15679
3428,229,669,15674
3439,231,674,15656
3470,207,652,15671
3496,205,638,15661
3519,212,616,15653
3544,209,602,15645
3580,209,594,15617
3606,193,591,15610
3634,204,572,15590
3666,203,561,15570
3703,201,562,15534
3721,191,563,15525
3737,198,542,15523
3771,193,536,15500
3792,182,543,15483
3801,209,544,15446
3835,213,543,15409
3849,221,532,15398
3884,207,539,15370
3931,183,542,15344
3951,186,528,15335
3976,203,517,15304
4015,198,530,15257
4021,207,534,15238
4039,203,559,15199
4061,196,565,15178
4087,218,567,15128
4088,241,556,15115
4110,242,559,15089
4127,223,587,15063
4123,236,603,15038
4123,237,615,15025
4099,246,629,15026
4076,264,617,15043
4064,265,619,15052
4051,274,639,15036
4059,258,651,15032
4069,256,656,15019
4051,277,645,15027
4017,302,663,15018
3995,298,684,15023
3982,288,705,15025
3997,274,723,15006
3961,283,719,15037
3948,295,723,15034
3919,304,745,15032
3898,306,756,15040
3878,303,756,15063
3853,307,773,15067
3831,288,789,15092
3806,304,781,15109
3774,310,798,15118
3765,292,824,15119
3739,290,836,15135
3710,292,856,15142
3665,285,847,15203
3662,297,821,15220
3649,286,816,15249
3616,310,794,15280
3609,282,792,15317
3582,290,794,15334
3569,289,783,15359
3583,269,775,15373
3566,279,756,15399
3537,290,747,15426
3524,282,758,15436
3524,283,752,15441
3540,268,760,15432
3548,250,749,15453
3517,261,734,15488
3524,258,731,15487
3520,253,738,15489
3525,254,727,15494
3500,247,765,15488
3482,244,771,15503
3472,247,763,15518
3478,257,754,15511
3504,252,752,15492
3513,249,765,15473
3487,251,760,15502
3498,250,736,15516
3495,241,717,15547
3487,243,709,15561
3488,221,713,15578
3457,240,707,15596
3495,238,686,15581
3496,244,670,15590
3497,248,662,15593
3521,229,666,15584
3508,236,662,15594
3512,226,664,15598
3515,223,649,15613
3532,220,630,15618
3555,208,629,15608
3549,218,618,15615
3522,222,619,15637
3518,229,615,15638
3519,228,624,15629
3548,225,609,15618
3540,231,608,15621
3547,233,609,15611
3564,220,604,15612
3588,229,587,15596
3596,217,597,15590
3606,211,591,15592
3630,202,573,15595
3642,198,562,15598
3640,195,556,15609
3663,204,553,15580
3665,209,561,15565
3690,206,555,15549
3689,212,553,15546
3728,215,555,15502
3745,210,578,15467
3764,201,600,15435
3772,190,621,15417
3756,217,600,15427
3767,225,594,15414
3771,229,603,15397
3754,240,607,15399
3756,232,603,15409
3764,238,596,15402
3749,254,610,15387
3767,239,612,15382
3786,214,612,15388
3774,215,626,15385
3767,226,611,15396
3766,215,604,15415
3769,225,592,15414
3756,231,590,15423
3761,239,603,15397
3784,217,608,15391
3801,212,604,15383
3809,218,605,15368
3789,224,610,15377
3800,218,607,15375
3787,235,594,15384
3818,211,611,15360
3804,216,594,15386
3800,232,599,15369
3809,238,592,15361
3809,238,615,15338
3816,229,609,15346
3809,223,611,15357
3806,226,616,15352
3826,223,598,15353
3847,210,605,15338
3842,222,603,15333
3831,233,605,15331
3846,227,615,15312
3873,214,625,15288
3881,230,630,15259
3876,242,633,15249
3865,248,631,15256
3868,234,665,15233
3830,253,654,15263
3819,257,646,15278
3799,267,637,15297
3815,239,647,15299
3776,263,657,15304
3790,240,664,15306
3762,261,658,15319
3762,258,671,15309
3755,271,660,15314
