S,E,I,R
19965,15,17,3
19955,21,21,3
19937,30,30,3
19909,48,34,9
19874,61,48,17
19830,77,69,24
19760,116,91,33
19668,154,121,57
19565,204,145,86
19426,257,208,109
19235,341,275,149
19014,452,339,195
18705,589,456,250
18343,733,584,340
17870,928,763,439
17267,1176,996,561
16534,1442,1310,714
15572,1896,1610,922
14452,2326,2031,1191
13191,2749,2547,1513
11791,3122,3212,1875
10290,3423,3924,2363
8698,3757,4607,2938
7207,3814,5326,3653
5824,3755,5994,4427
4583,3620,6538,5259
3540,3322,6977,6161
2725,2868,7339,7068
2080,2400,7477,8043
1584,1981,7436,8999
1203,1641,7219,9937
970,1274,6918,10838
785,991,6521,11703
664,765,6087,12484
563,622,5583,13232
520,474,5154,13852
492,391,4647,14470
466,339,4183,15012
466,264,3759,15511
448,205,3409,15938
435,192,3001,16372
460,146,2676,16718
458,125,2407,17010
481,107,2111,17301
495,102,1888,17515
514,98,1683,17705
556,100,1485,17859
572,100,1308,18020
632,80,1179,18109
684,73,1036,18207
731,64,908,18297
785,70,812,18333
822,59,712,18407
869,49,638,18444
920,50,557,18473
975,46,504,18475
1010,50,446,18494
1068,44,393,18495
1114,44,345,18497
1166,38,311,18485
1216,36,288,18460
1275,27,266,18432
1323,28,239,18410
1373,27,210,18390
1418,32,188,18362
1470,30,175,18325
1521,28,163,18288
1579,28,143,18250
1625,28,131,18216
1677,24,119,18180
1727,20,109,18144
1798,21,108,18073
1853,19,93,18035
1910,19,85,17986
1977,14,77,17932
2026,12,73,17889
2079,16,68,17837
2138,15,59,17788
2200,8,53,17739
2270,10,47,17673
2332,10,42,17616
2407,9,41,17543
2462,9,38,17491
2524,5,37,17434
2578,5,36,17381
2635,6,32,17327
2684,7,28,17281
2729,5,26,17240
2791,6,22,17181
2836,7,21,17136
2882,8,17,17093
2935,3,20,17042
2974,6,17,17003
3037,5,20,16938
3089,9,15,16887
3147,6,16,16831
3197,4,13,16786
3232,5,13,16750
3281,4,13,16702
3339,6,10,16645
3383,5,8,16604
3437,5,7,16551
3490,4,6,16500
3544,2,7,16447
3597,1,7,16395
3653,3,8,16336
3701,3,10,16286
3756,4,9,16231
3799,5,9,16187
3859,3,9,16129
3906,4,10,16080
3951,3,10,16036
3998,5,12,15985
4046,5,13,15936
4081,4,13,15902
4125,3,12,15860
4174,4,13,15809
4228,9,10,15753
4257,10,13,15720
4301,7,16,15676
4342,6,18,15634
4375,9,17,15599
4424,9,18,15549
4472,12,18,15498
4529,14,17,15440
4567,9,28,15396
4608,10,27,15355
4654,13,29,15304
4697,12,27,15264
4733,11,33,15223
4774,11,32,15183
4805,15,30,15150
4848,14,34,15104
4879,17,31,15073
4918,21,30,15031
4956,21,35,14988
4997,15,43,14945
5031,17,42,14910
5060,18,41,14881
5094,18,40,14848
5132,19,38,14811
5182,22,37,14759
5228,22,37,14713
5272,18,43,14667
5292,24,47,14637
5326,28,45,14601
