S,E,I,R
19965,15,19,1
19950,27,19,4
19933,32,23,12
19918,42,26,14
19896,48,36,20
19858,69,46,27
19809,86,70,35
19734,129,89,48
19651,171,113,65
19546,221,155,78
19413,270,212,105
19233,350,269,148
18989,465,364,182
18694,579,489,238
18295,750,649,306
17795,955,819,431
17147,1236,1058,559
16363,1558,1329,750
15444,1912,1661,983
14312,2319,2128,1241
13065,2720,2636,1579
11648,3119,3248,1985
10138,3446,3940,2476
8596,3709,4602,3093
7078,3827,5307,3788
5660,3781,6012,4547
4436,3537,6586,5441
3420,3205,6988,6387
2584,2899,7230,7287
1946,2476,7358,8220
1521,2001,7303,9175
1172,1650,7084,10094
926,1329,6788,10957
749,1026,6426,11799
646,760,6025,12569
553,628,5533,13286
493,486,5093,13928
456,366,4646,14532
432,288,4163,15117
413,238,3714,15635
423,196,3307,16074
445,166,2967,16422
455,160,2623,16762
479,136,2358,17027
493,120,2093,17294
512,121,1833,17534
535,98,1627,17740
574,94,1441,17891
626,77,1293,18004
655,77,1154,18114
705,59,1025,18211
758,51,899,18292
796,55,788,18361
832,57,705,18406
868,49,655,18428
917,53,584,18446
969,45,531,18455
1019,46,467,18468
1074,39,413,18474
1116,36,365,18483
1161,32,325,18482
1215,29,291,18465
1270,28,260,18442
1323,22,236,18419
1371,21,217,18391
1430,19,191,18360
1474,25,168,18333
1525,23,148,18304
1575,16,142,18267
1640,15,129,18216
1696,13,117,18174
1736,14,107,18143
1785,13,94,18108
1845,12,83,18060
1901,7,77,18015
1947,10,66,17977
2001,14,60,17925
2064,9,60,17867
2113,13,52,17822
2188,12,52,17748
2231,8,48,17713
2295,6,46,17653
2351,9,35,17605
2408,11,28,17553
2466,8,26,17500
2520,4,25,17451
2568,3,21,17408
2627,2,21,17350
2674,1,21,17304
2723,2,18,17257
2774,1,18,17207
2831,2,14,17153
2864,4,11,17121
2925,4,9,17062
2977,2,9,17012
3021,1,8,16970
3074,3,6,16917
3119,3,5,16873
3160,3,6,16831
3202,4,5,16789
3255,1,7,16737
3295,0,7,16698
3343,1,6,16650
3384,1,7,16608
3432,1,6,16561
3483,1,6,16510
3539,2,5,16454
3589,2,4,16405
3621,1,5,16373
3674,3,5,16318
3718,2,6,16274
3767,3,4,16226
3814,2,6,16178
3861,3,8,16128
3910,4,6,16080
3953,5,7,16035
3996,3,8,15993
4043,3,7,15947
4082,6,7,15905
4130,4,8,15858
4175,5,8,15812
4208,8,9,15775
4259,5,12,15724
4293,4,15,15688
4339,4,16,15641
4376,5,16,15603
4420,8,19,15553
4472,9,18,15501
4512,9,18,15461
4561,11,18,15410
4603,5,22,15370
4645,5,22,15328
4677,7,17,15299
4716,5,13,15266
4763,4,12,15221
4805,2,13,15180
4849,2,14,15135
4896,3,13,15088
4944,4,11,15041
4987,3,9,15001
5032,6,10,14952
5072,8,10,14910
5110,6,11,14873
5140,8,12,14840
5180,3,13,14804
5218,2,13,14767
5259,4,12,14725
5295,6,11,14688
5353,4,11,14632
5399,6,11,14584
5434,5,12,14549
5487,7,8,14498
5522,7,7,14464
5560,6,9,14425
5602,3,11,14384
