S,E,I,R
4539,199,469,14793
4553,192,476,14779
4556,212,477,14755
4561,223,497,14719
4553,245,497,14705
4554,242,519,14685
4552,243,526,14679
4562,228,562,14648
4554,249,556,14641
4543,248,552,14657
4521,247,564,14668
4486,252,560,14702
4471,248,571,14710
4448,269,576,14707
4403,271,586,14740
4394,256,612,14738
4390,250,622,14738
4394,244,620,14742
4380,248,632,14740
4354,256,647,14743
4340,255,663,14742
4310,266,644,14780
4298,280,653,14769
4256,297,659,14788
4242,278,680,14800
4234,273,685,14808
4216,280,702,14802
4185,278,740,14797
4170,274,741,14815
4103,325,727,14845
4079,299,761,14861
4040,320,758,14882
4005,339,779,14877
3970,313,803,14914
3941,325,797,14937
3912,304,804,14980
3867,326,799,15008
3812,318,814,15056
3799,316,817,15068
3773,302,812,15113
3728,307,827,15138
3724,303,817,15156
3701,306,820,15173
3662,325,810,15203
3626,320,819,15235
3620,304,813,15263
3618,294,834,15254
3617,287,826,15270
3606,271,818,15305
3569,275,801,15355
3524,311,787,15378
3533,280,795,15392
3546,268,780,15406
3546,267,771,15416
3527,273,756,15444
3521,244,755,15480
3525,240,748,15487
3506,259,723,15512
3510,263,703,15524
3520,253,697,15530
3539,248,691,15522
3548,233,691,15528
3569,239,679,15513
3589,237,654,15520
3607,242,659,15492
3617,239,666,15478
3637,239,644,15480
3636,245,644,15475
3640,236,655,15469
3661,222,651,15466
3661,238,639,15462
3666,240,631,15463
3676,223,630,15471
3656,259,607,15478
3665,271,604,15460
3691,249,640,15420
3660,264,641,15435
3672,257,656,15415
3677,249,664,15410
3705,239,662,15394
3726,231,654,15389
3720,230,646,15404
3744,240,639,15377
3733,247,644,15376
3734,234,662,15370
3758,229,652,15361
3758,238,634,15370
3781,233,649,15337
3782,242,630,15346
3809,239,615,15337
3824,230,618,15328
3819,247,621,15313
3819,243,628,15310
3824,246,624,15306
3829,241,626,15304
3849,232,619,15300
3876,236,634,15254
3863,248,629,15260
3850,270,615,15265
3864,251,627,15258
3848,264,638,15250
3838,257,643,15262
3834,250,657,15259
3807,256,675,15262
3826,234,673,15267
3853,233,672,15242
3857,250,658,15235
3850,264,650,15236
3847,264,664,15225
3852,256,671,15221
3865,265,675,15195
3840,278,667,15215
3831,281,670,15218
3836,265,679,15220
3861,260,656,15223
3840,255,683,15222
3825,257,696,15222
3830,257,689,15224
3837,255,677,15231
3834,281,653,15232
3840,264,687,15209
3864,253,685,15198
3860,255,691,15194
3865,261,692,15182
3854,248,697,15201
3853,260,702,15185
3838,269,703,15190
3792,278,712,15218
3804,278,700,15218
3778,282,708,15232
3774,299,703,15224
3746,291,696,15267
3770,269,706,15255
3772,246,721,15261
3753,252,709,15286
3762,248,700,15290
3789,252,700,15259
3783,252,701,15264
3804,233,702,15261
3820,231,695,15254
3822,270,671,15237
3799,261,688,15252
3808,263,691,15238
3791,275,684,15250
3784,248,696,15272
3769,257,696,15278
3750,255,690,15305
3765,248,676,15311
3769,241,685,15305
3754,249,689,15308
3740,258,686,15316
3723,251,696,15330
3730,237,692,15341
3727,225,711,15337
3727,229,721,15323
3723,238,715,15324
3725,250,702,15323
3723,251,697,15329
3707,264,690,15339
3670,277,710,15343
3668,269,716,15347
3649,281,692,15378
3644,275,690,15391
3624,288,669,15419
3633,255,691,15421
3614,251,675,15460
3610,251,662,15477
3619,257,641,15483
3616,246,653,15485
3614,266,642,15478
3628,244,655,15473
3638,251,643,15468
3629,247,650,15474
3642,227,653,15478
3630,250,662,15458
3640,239,670,15451
3658,238,662,15442
3647,253,666,15434
3636,267,651,15446
3635,256,655,15454
3635,250,665,15450
3638,261,686,15415
3621,255,679,15445
3620,237,698,15445
3621,240,699,15440
3605,256,694,15445
3603,231,716,15450
3622,212,698,15468
3597,241,673,15489
3581,251,680,15488
3550,263,643,15544
3553,249,661,15537
3542,263,641,15554
3577,240,651,15532
3581,233,641,15545
3589,244,632,15535
3587,251,621,15541
3599,231,629,15541
3631,220,603,15546
3657,195,604,15544
3695,163,599,15543
3738,165,572,15525
3745,170,551,15534
3776,174,529,15521
3789,192,520,15499
3804,201,508,15487
3827,184,515,15474
3868,168,509,15455
3890,159,520,15431
3900,197,497,15406
3917,198,498,15387
3937,198,509,15356
3966,206,500,15328
3979,198,506,15317
3995,196,510,15299
4022,199,498,15281
4025,189,522,15264
4041,191,509,15259
4083,169,530,15218
4085,187,516,15212
4083,207,495,15215
4115,212,501,15172
4110,222,512,15156
4145,201,522,15132
4143,211,519,15127
4162,199,529,15110
4147,215,538,15100
4164,209,548,15079
4180,200,542,15078
4181,202,529,15088
4187,211,540,15062
4183,218,540,15059
4180,220,540,15060
4179,218,544,15059
4190,222,559,15029
4220,232,559,14989
4222,218,572,14988
4216,212,572,15000
4214,196,594,14996
4207,222,566,15005
4221,215,563,15001
4220,228,543,15009
4239,220,546,14995
4242,236,539,14983
4274,227,545,14954
4277,242,550,14931
4268,251,575,14906
4275,243,581,14901
4271,255,579,14895
4282,253,589,14876
4307,247,598,14848
4308,247,595,14850
4319,257,569,14855
4308,246,591,14855
4295,259,577,14869
4286,271,579,14864
4272,281,585,14862
4265,278,623,14834
4225,288,651,14836
4235,267,688,14810
4207,271,685,14837
4184,280,678,14858
4167,276,708,14849
4123,310,703,14864
4109,304,712,14875
4090,308,727,14875
4080,295,741,14884
4059,313,730,14898
4021,336,732,14911
3994,318,742,14946
4006,286,749,14959
3985,293,761,14961
3974,285,764,14977
3930,274,780,15016
3905,299,771,15025
3862,298,774,15066
3857,310,764,15069
3827,300,764,15109
3798,333,740,15129
3799,299,748,15154
3789,305,766,15140
3773,295,787,15145
3748,295,786,15171
3731,289,798,15182
3739,293,781,15187
3737,280,789,15194
3730,292,777,15201
3714,297,776,15213
3713,275,808,15204
3701,287,791,15221
3709,283,800,15208
3697,276,803,15224
3660,303,801,15236
3637,318,803,15242
3616,320,801,15263
3587,325,823,15265
3599,297,854,15250
3583,303,857,15257
3550,318,856,15276
3531,330,862,15277
3510,320,864,15306
3502,325,859,15314
3486,319,854,15341
3478,304,864,15354
3479,307,850,15364
3482,297,859,15362
3468,295,851,15386
3432,306,837,15425
3445,274,826,15455
3443,288,789,15480
3444,290,782,15484
3417,297,777,15509
3423,286,788,15503
3430,277,779,15514
3433,264,760,15543
3435,251,769,15545
3435,231,771,15563
3433,240,722,15605
3451,225,718,15606
3470,237,700,15593
3476,220,696,15608
3483,235,666,15616
3505,223,682,15590
3508,245,659,15588
3505,236,671,15588
3522,219,673,15586
3527,237,657,15579
3558,211,640,15591
3580,202,622,15596
3597,220,595,15588
3634,217,584,15565
3642,218,597,15543
3678,215,595,15512
3687,228,588,15497
3676,238,611,15475
3673,230,606,15491
3648,252,597,15503
3669,236,603,15492
3698,220,594,15488
