S,E,I,R
19968,12,19,1
19950,24,20,6
19927,37,26,10
19903,45,39,13
19872,60,47,21
19828,76,67,29
19769,96,93,42
19691,140,110,59
19568,208,148,76
19436,267,204,93
19268,318,278,136
19026,438,356,180
18745,580,448,227
18389,716,588,307
17904,935,757,404
17317,1171,996,516
16583,1506,1236,675
15661,1857,1616,866
14592,2222,2079,1107
13326,2637,2617,1420
11810,3161,3202,1827
10290,3536,3889,2285
8748,3749,4600,2903
7115,3987,5317,3581
5728,3876,6062,4334
4440,3678,6732,5150
3391,3327,7186,6096
2564,2879,7499,7058
1959,2485,7533,8023
1461,2074,7427,9038
1127,1679,7199,9995
904,1313,6914,10869
725,1035,6558,11682
598,787,6130,12485
513,605,5680,13202
473,453,5218,13856
436,370,4735,14459
423,266,4339,14972
429,214,3871,15486
415,211,3444,15930
412,178,3106,16304
433,153,2757,16657
464,145,2455,16936
499,143,2188,17170
508,121,1974,17397
550,106,1771,17573
573,95,1561,17771
619,72,1403,17906
657,71,1248,18024
703,62,1103,18132
744,68,969,18219
792,59,846,18303
840,52,758,18350
889,44,665,18402
956,41,564,18439
1018,37,516,18429
1061,37,449,18453
1104,42,399,18455
1162,36,371,18431
1194,47,318,18441
1253,30,303,18414
1309,21,265,18405
1363,26,234,18377
1416,25,204,18355
1468,26,186,18320
1515,30,155,18300
1560,29,144,18267
1611,18,138,18233
1653,33,121,18193
1704,34,118,18144
1753,25,116,18106
1810,19,109,18062
1855,19,95,18031
1914,19,87,17980
1974,13,78,17935
2036,8,70,17886
2088,11,61,17840
2135,16,56,17793
2183,18,50,17749
2262,17,46,17675
2309,15,43,17633
2353,13,41,17593
2416,9,42,17533
2457,9,38,17496
2506,8,33,17453
2559,10,28,17403
2612,13,28,17347
2666,10,29,17295
2709,11,21,17259
2763,11,23,17203
2815,8,24,17153
2866,6,24,17104
2906,7,25,17062
2950,11,24,17015
2998,6,30,16966
3059,6,24,16911
3114,8,19,16859
3168,9,19,16804
3209,7,22,16762
3265,8,19,16708
3312,7,20,16661
3360,6,21,16613
3408,7,19,16566
3452,7,19,16522
3493,5,21,16481
3530,9,20,16441
3582,5,21,16392
3626,6,16,16352
3668,7,15,16310
3713,7,15,16265
3752,8,18,16222
3793,8,15,16184
3855,9,15,16121
3899,8,19,16074
3942,10,21,16027
3977,8,20,15995
4043,6,19,15932
4081,8,18,15893
4109,10,19,15862
4157,12,19,15812
4203,13,24,15760
4244,9,30,15717
4284,13,27,15676
4330,14,28,15628
4380,14,27,15579
4417,13,28,15542
4450,10,28,15512
4493,7,30,15470
4534,12,28,15426
4580,15,27,15378
4633,13,29,15325
4669,8,28,15295
4703,11,26,15260
4749,11,26,15214
4780,9,27,15184
4821,11,26,15142
4854,11,27,15108
4895,7,28,15070
4956,10,26,15008
4983,13,27,14977
5022,16,25,14937
5066,20,27,14887
5106,19,32,14843
5152,20,31,14797
5204,22,29,14745
5236,19,32,14713
5273,16,38,14673
5306,10,42,14642
5344,12,41,14603
5375,20,40,14565
5416,22,43,14519
5452,23,43,14482
5481,22,48,14449
5517,19,49,14415
5551,20,52,14377
5585,18,51,14346
5629,17,54,14300
5664,15,54,14267
5687,23,55,14235
5721,24,57,14198
5745,24,56,14175
5766,33,55,14146
5795,28,68,14109
5811,29,75,14085
5843,31,73,14053
5869,27,75,14029
5896,29,72,14003
5924,32,68,13976
5956,33,72,13939
5978,33,83,13906
6014,32,79,13875
6027,47,73,13853
6045,46,85,13824
6062,50,89,13799
6081,51,95,13773
6110,49,92,13749
6125,52,100,13723
6140,46,112,13702
6177,40,105,13678
6189,54,108,13649
6199,72,109,13620
6208,82,115,13595
6217,85,121,13577
6234,78,141,13547
6242,86,147,13525
6251,78,179,13492
6253,80,182,13485
6259,82,181,13478
6247,98,169,13486
6255,91,181,13473
6250,97,189,13464
6253,105,192,13450
6248,118,189,13445
6241,121,206,13432
6240,114,222,13424
6227,117,240,13416
6215,125,250,13410
6199,137,264,13400
6180,141,268,13411
6161,153,266,13420
6141,156,280,13423
6121,166,285,13428
6098,179,303,13420
6055,194,327,13424
6023,202,346,13429
5977,219,378,13426
