S,E,I,R
19971,9,17,3
19960,15,18,7
19946,23,18,13
19933,24,26,17
19917,32,31,20
19893,42,39,26
19851,62,51,36
19810,77,62,51
19763,97,76,64
19692,128,104,76
19597,170,136,97
19488,205,187,120
19343,278,227,152
19185,331,281,203
18947,438,369,246
18679,550,476,295
18300,734,598,368
17824,922,799,455
17219,1176,1024,581
16428,1514,1324,734
15534,1857,1660,949
14421,2288,2059,1232
13179,2646,2619,1556
11711,3144,3220,1925
10187,3447,3977,2389
8569,3795,4633,3003
7118,3838,5364,3680
5689,3863,5976,4472
4438,3687,6570,5305
3377,3383,7046,6194
2611,2861,7339,7189
2015,2443,7411,8131
1542,2037,7393,9028
1199,1654,7189,9958
968,1274,6873,10885
778,1001,6480,11741
663,773,6003,12561
577,610,5537,13276
512,478,5096,13914
460,386,4641,14513
445,321,4162,15072
433,261,3789,15517
442,215,3384,15959
447,185,3024,16344
444,157,2710,16689
466,130,2399,17005
484,122,2116,17278
507,101,1878,17514
539,93,1678,17690
556,91,1493,17860
588,92,1314,18006
611,72,1174,18143
656,70,1044,18230
711,58,929,18302
761,58,828,18353
803,67,714,18416
857,56,633,18454
913,46,578,18463
963,48,510,18479
1006,48,456,18490
1044,46,417,18493
1092,38,374,18496
1126,37,341,18496
1167,37,311,18485
1220,25,281,18474
1272,32,251,18445
1326,38,215,18421
1376,32,195,18397
1427,28,179,18366
1491,27,166,18316
1537,23,160,18280
1584,19,143,18254
1642,22,123,18213
1693,18,120,18169
1744,20,103,18133
1800,23,93,18084
1852,18,91,18039
1925,10,79,17986
1986,13,72,17929
2040,13,69,17878
2091,10,64,17835
2139,14,61,17786
2187,16,56,17741
2231,16,53,17700
2289,14,48,17649
2343,17,46,17594
2403,12,48,17537
2457,10,42,17491
2519,8,41,17432
2572,7,38,17383
2621,10,33,17336
2673,10,34,17283
2722,16,29,17233
2765,15,32,17188
2822,15,33,17130
2863,17,35,17085
2909,15,32,17044
2965,19,32,16984
3036,14,37,16913
3083,16,32,16869
3142,10,36,16812
3188,9,37,16766
3231,8,37,16724
3282,10,32,16676
3335,5,29,16631
3379,3,24,16594
3431,3,22,16544
3489,5,21,16485
3530,7,24,16439
3573,7,25,16395
3618,10,19,16353
3654,8,21,16317
3695,7,23,16275
3741,10,20,16229
3790,7,18,16185
3836,7,16,16141
3883,6,17,16094
3929,6,16,16049
3966,6,16,16012
4011,5,15,15969
4041,7,14,15938
4085,6,12,15897
4134,5,13,15848
4177,5,17,15801
4212,6,15,15767
4255,5,16,15724
4299,2,19,15680
4356,6,15,15623
4406,3,15,15576
4446,4,13,15537
4498,4,10,15488
4544,4,9,15443
4587,7,7,15399
4619,7,7,15367
4665,6,10,15319
4690,6,10,15294
4745,5,11,15239
4776,4,11,15209
4819,5,10,15166
4857,6,10,15127
4910,6,9,15075
4946,6,10,15038
4981,5,12,15002
5016,5,13,14966
5058,6,13,14923
5088,6,13,14893
5126,6,12,14856
5171,5,14,14810
5216,7,14,14763
5242,9,14,14735
5273,9,15,14703
5311,10,17,14662
5351,11,16,14622
5391,8,19,14582
5441,7,22,14530
5476,11,21,14492
5510,15,19,14456
5541,10,24,14425
5578,10,23,14389
5609,13,23,14355
5650,9,26,14315
5683,10,26,14281
5729,5,29,14237
5763,11,25,14201
5791,20,22,14167
5831,19,27,14123
5850,25,33,14092
5887,26,34,14053
5921,18,39,14022
5965,21,37,13977
5991,26,36,13947
6021,29,35,13915
6050,26,41,13883
6082,29,48,13841
6092,30,54,13824
6120,28,57,13795
6140,39,51,13770
6169,38,63,13730
6186,39,72,13703
6211,34,79,13676
6226,40,79,13655
6240,43,81,13636
6260,51,84,13605
6270,55,87,13588
6288,56,95,13561
6305,56,106,13533
6326,57,107,13510
6348,62,109,13481
6367,62,118,13453
6368,67,130,13435
6394,61,139,13406
6395,77,143,13385
6391,94,145,13370
6385,94,164,13357
6381,100,167,13352
6387,103,177,13333
6380,99,190,13331
6361,112,208,13319
6359,118,218,13305
6337,136,226,13301
6314,154,227,13305
6299,154,249,13298
6263,175,273,13289
6225,181,299,13295
6208,178,317,13297
6157,197,348,13298
6121,191,374,13314
6059,208,384,13349
5986,244,397,13373
5931,245,427,13397
5859,267,472,13402
5783,277,503,13437
5728,267,554,13451
5666,286,555,13493
5580,296,592,13532
5476,319,626,13579
5393,330,650,13627
5325,323,672,13680
5229,337,697,13737
5151,340,737,13772
5068,352,752,13828
4924,389,790,13897
4812,413,810,13965
4711,407,838,14044
4637,389,864,14110
4546,389,884,14181
4433,405,908,14254
4341,395,938,14326
4248,395,951,14406
4154,395,965,14486
4019,408,983,14590
3938,410,998,14654
3843,407,1003,14747
3765,372,1031,14832
3697,357,1025,14921
3630,349,1009,15012
3560,357,967,15116
3499,344,971,15186
3441,325,961,15273
3405,307,961,15327
3349,305,935,15411
3293,306,910,15491
3238,313,890,15559
3190,308,889,15613
3123,308,899,15670
3079,271,918,15732
3055,293,877,15775
3016,290,840,15854
2989,280,834,15897
2943,272,806,15979
2924,256,798,16022
2894,245,780,16081
2873,237,768,16122
2873,226,751,16150
2868,244,722,16166
2898,214,711,16177
2893,208,698,16201
2902,194,688,16216
2891,199,662,16248
2901,207,633,16259
2912,210,593,16285
2937,192,595,16276
2941,196,587,16276
2955,181,594,16270
2942,189,578,16291
2948,166,599,16287
2972,162,572,16294
2977,180,549,16294
2989,173,558,16280
2992,184,539,16285
3010,167,543,16280
3022,171,504,16303
3027,178,474,16321
3064,153,476,16307
3092,130,492,16286
3107,138,471,16284
3117,142,460,16281
3147,143,444,16266
3183,136,414,16267
3217,145,393,16245
3249,145,383,16223
3284,142,387,16187
3324,128,398,16150
3347,124,389,16140
3377,131,374,16118
3413,114,373,16100
3446,111,361,16082
3494,104,353,16049
3533,106,357,16004
3575,115,350,15960
3614,112,345,15929
3651,126,326,15897
3690,138,324,15848
3740,123,336,15801
3761,111,340,15788
3793,119,340,15748
3819,126,332,15723
3865,128,315,15692
3888,141,296,15675
3924,137,301,15638
3976,129,302,15593
3993,138,319,15550
4036,135,320,15509
4057,143,312,15488
4073,134,331,15462
4101,127,318,15454
4134,126,322,15418
4173,124,333,15370
4205,132,323,15340
