S,E,I,R
19971,9,18,2
19955,22,18,5
19941,31,21,7
19931,31,23,15
19919,32,34,15
19895,43,44,18
19862,61,56,21
19813,87,70,30
19754,111,96,39
19659,171,118,52
19549,214,165,72
19386,305,210,99
19217,359,289,135
18964,460,404,172
18599,657,510,234
18140,858,688,314
17581,1064,928,427
16864,1404,1142,590
15978,1790,1477,755
14937,2162,1915,986
13686,2610,2421,1283
12296,3011,3027,1666
10795,3371,3711,2123
9227,3639,4424,2710
7603,3889,5169,3339
6108,3931,5863,4098
4796,3753,6505,4946
3677,3415,7035,5873
2816,3012,7337,6835
2126,2547,7472,7855
1556,2139,7517,8788
1211,1702,7354,9733
925,1410,6983,10682
756,1093,6629,11522
629,852,6222,12297
536,649,5800,13015
467,532,5272,13729
428,416,4784,14372
400,336,4326,14938
401,259,3922,15418
391,231,3532,15846
405,195,3136,16264
416,160,2764,16660
439,130,2457,16974
450,117,2185,17248
488,93,1929,17490
523,83,1729,17665
538,85,1521,17856
566,86,1341,18007
620,71,1196,18113
667,66,1075,18192
709,65,949,18277
741,62,823,18374
800,55,718,18427
854,49,625,18472
894,50,549,18507
939,47,503,18511
986,40,443,18531
1042,34,397,18527
1112,30,352,18506
1169,29,310,18492
1240,27,280,18453
1300,28,249,18423
1346,35,216,18403
1397,28,201,18374
1461,23,188,18328
1516,30,164,18290
1589,22,151,18238
1647,20,141,18192
1704,20,126,18150
1751,17,120,18112
1796,15,111,18078
1860,14,105,18021
1915,13,92,17980
1965,19,78,17938
2008,14,76,17902
2062,15,70,17853
2112,15,59,17814
2169,19,49,17763
2224,11,49,17716
2293,11,45,17651
2351,11,41,17597
2408,14,32,17546
2457,14,34,17495
2506,15,34,17445
2559,10,33,17398
2605,8,34,17353
2655,9,26,17310
2704,8,24,17264
2751,4,26,17219
2810,4,22,17164
2860,5,23,17112
2901,5,22,17072
2954,3,22,17021
3014,2,20,16964
3060,4,13,16923
3112,6,12,16870
3155,6,11,16828
3203,6,10,16781
3246,3,12,16739
3288,4,14,16694
3340,5,13,16642
3378,6,9,16607
3427,5,10,16558
3484,4,12,16500
3527,1,13,16459
3583,3,11,16403
3629,2,12,16357
3686,2,9,16303
3739,2,9,16250
3780,3,7,16210
3826,2,4,16168
3872,1,3,16124
3927,0,4,16069
3969,0,3,16028
4014,0,3,15983
4059,2,3,15936
