S,E,I,R
19958,22,17,3
19944,25,27,4
19923,36,35,6
19896,47,48,9
19861,68,53,18
19810,99,64,27
19748,127,87,38
19668,158,121,53
19562,210,149,79
19446,244,204,106
19287,311,257,145
19068,428,323,181
18789,540,451,220
18376,748,586,290
17917,934,776,373
17318,1185,986,511
16564,1510,1260,666
15648,1832,1654,866
14551,2266,2057,1126
13270,2700,2556,1474
11860,3091,3164,1885
10371,3408,3835,2386
8812,3671,4493,3024
7350,3724,5233,3693
5927,3721,5871,4481
4652,3578,6465,5305
3621,3230,6960,6189
2784,2891,7195,7130
2128,2473,7326,8073
1599,2089,7219,9093
1237,1671,7055,10037
959,1348,6806,10887
776,1069,6486,11669
658,835,6096,12411
558,656,5628,13158
489,502,5109,13900
455,384,4667,14494
440,312,4271,14977
443,250,3860,15447
457,189,3458,15896
472,176,3042,16310
487,152,2674,16687
496,143,2376,16985
522,135,2148,17195
566,103,1924,17407
579,104,1724,17593
585,113,1530,17772
616,96,1359,17929
664,77,1193,18066
710,73,1030,18187
760,62,925,18253
806,53,825,18316
863,59,734,18344
906,61,664,18369
956,54,582,18408
999,57,529,18415
1045,51,466,18438
1093,46,402,18459
1146,36,365,18453
1209,38,319,18434
1261,38,294,18407
1317,39,249,18395
1359,38,230,18373
1399,38,208,18355
1455,39,202,18304
1511,34,180,18275
1560,34,160,18246
1620,33,143,18204
1666,26,144,18164
1720,21,126,18133
1770,16,117,18097
1826,17,103,18054
1899,18,101,17982
1949,20,88,17943
2012,22,80,17886
2057,23,73,17847
2116,20,70,17794
2168,14,67,17751
2215,15,58,17712
2256,14,54,17676
2310,12,44,17634
2368,9,33,17590
2433,7,28,17532
2498,8,23,17471
2554,9,20,17417
2607,9,20,17364
2670,6,22,17302
2743,4,16,17237
2793,2,18,17187
2854,4,17,17125
2892,4,18,17086
2930,6,17,17047
2972,5,18,17005
3023,3,18,16956
3080,5,15,16900
3137,2,17,16844
3185,2,16,16797
3235,3,15,16747
3289,2,15,16694
3341,3,12,16644
3382,4,12,16602
3420,3,14,16563
3467,4,13,16516
3509,4,10,16477
3547,4,9,16440
3597,3,9,16391
3637,4,11,16348
3693,3,13,16291
3734,1,15,16250
3805,2,14,16179
3843,5,14,16138
3896,5,16,16083
3935,4,15,16046
3989,3,12,15996
4043,2,11,15944
4088,2,8,15902
4122,5,6,15867
4152,7,4,15837
4202,4,8,15786
4247,6,7,15740
4294,5,7,15694
4334,3,4,15659
4377,3,5,15615
4420,2,6,15572
4457,6,5,15532
4495,7,7,15491
4548,5,5,15442
4586,1,8,15405
4612,4,6,15378
4646,7,7,15340
4677,4,9,15310
4726,4,10,15260
4766,7,12,15215
4815,7,13,15165
4866,6,16,15112
4906,5,18,15071
4949,6,19,15026
4992,9,17,14982
5036,11,19,14934
5070,10,20,14900
5094,8,21,14877
5139,10,21,14830
5179,10,23,14788
5211,15,19,14755
5258,14,21,14707
5305,12,25,14658
5340,11,29,14620
5369,13,28,14590
5404,19,26,14551
5438,12,34,14516
5465,14,34,14487
5489,12,41,14458
5524,18,40,14418
5566,15,41,14378
5600,19,37,14344
5631,26,39,14304
5664,24,44,14268
5692,22,49,14237
5719,29,49,14203
5754,35,54,14157
5777,36,60,14127
5804,43,61,14092
5825,46,65,14064
5851,49,71,14029
5881,47,80,13992
5908,44,92,13956
5922,35,99,13944
5956,43,89,13912
5976,45,93,13886
5987,57,89,13867
5998,61,90,13851
6020,53,105,13822
6034,64,104,13798
6052,63,115,13770
6067,62,121,13750
6080,66,121,13733
6076,75,127,13722
6069,88,131,13712
6081,86,149,13684
6086,84,161,13669
6093,90,168,13649
6105,70,186,13639
6100,86,198,13616
6090,111,202,13597
6086,113,200,13601
6066,116,213,13605
6056,118,223,13603
6036,120,244,13600
6009,134,253,13604
5986,138,280,13596
5962,155,275,13608
5920,166,284,13630
5904,161,312,13623
5854,187,331,13628
5822,186,357,13635
5776,196,361,13667
5733,215,384,13668
5692,228,388,13692
5647,229,420,13704
5605,219,447,13729
5541,247,457,13755
5477,272,482,13769
5417,275,495,13813
5350,278,529,13843
5277,290,579,13854
5212,284,600,13904
5127,295,625,13953
5045,315,650,13990
4966,338,689,14007
4874,332,735,14059
4779,354,735,14132
4681,362,747,14210
4584,383,741,14292
4504,388,755,14353
4439,362,790,14409
4365,324,832,14479
4262,359,859,14520
4164,378,871,14587
4076,387,881,14656
3995,371,889,14745
3910,349,923,14818
3838,350,945,14867
3777,350,916,14957
3697,370,918,15015
3634,347,934,15085
3593,322,921,15164
3494,342,938,15226
3433,336,928,15303
3377,344,910,15369
3350,305,911,15434
3301,300,868,15531
3255,282,856,15607
3213,285,831,15671
3185,270,831,15714
3142,265,815,15778
3135,249,796,15820
3125,229,789,15857
3119,233,760,15888
3090,233,743,15934
3100,217,721,15962
3110,201,697,15992
3102,199,671,16028
3108,198,648,16046
3109,203,622,16066
3108,183,612,16097
3105,181,585,16129
3114,189,556,16141
3137,185,543,16135
3140,187,547,16126
3176,165,522,16137
3193,160,510,16137
3186,181,502,16131
3200,178,501,16121
3215,182,509,16094
3240,171,504,16085
3259,177,493,16071
3266,181,501,16052
3300,185,487,16028
3332,170,486,16012
3362,168,481,15989
3372,171,489,15968
3403,171,465,15961
3431,154,488,15927
3445,151,477,15927
3479,151,460,15910
3497,160,440,15903
3513,154,447,15886
3532,155,437,15876
3540,162,421,15877
3581,144,431,15844
3600,160,399,15841
3625,152,395,15828
3664,149,396,15791
3680,153,399,15768
3701,147,407,15745
3713,174,382,15731
3729,169,391,15711
3745,167,393,15695
3767,151,394,15688
3791,160,374,15675
3836,148,381,15635
3859,155,385,15601
3884,161,384,15571
3908,151,397,15544
3958,155,405,15482
4002,147,404,15447
4028,150,409,15413
4059,162,405,15374
4072,185,406,15337
4087,181,421,15311
4092,184,422,15302
4103,177,435,15285
4123,178,427,15272
4143,185,430,15242
4155,185,435,15225
4172,186,453,15189
4177,198,447,15178
4184,199,455,15162
4201,203,462,15134
4207,195,479,15119
4204,204,472,15120
4214,209,490,15087
4212,207,502,15079
4215,198,506,15081
4205,215,511,15069
4208,222,525,15045
4209,220,538,15033
4244,191,534,15031
4238,210,515,15037
4238,201,529,15032
4213,221,532,15034
4214,212,548,15026
4210,223,549,15018
4208,242,532,15018
4201,223,562,15014
4215,225,559,15001
4202,225,550,15023
4189,245,574,14992
4179,244,570,15007
4156,243,574,15027
4166,245,580,15009
4153,260,597,14990
4150,260,605,14985
4140,269,614,14977
4136,275,625,14964
4108,265,648,14979
4086,267,665,14982
4064,280,684,14972
4054,271,673,15002
4035,277,684,15004
4021,280,706,14993
3990,313,692,15005
3966,317,691,15026
3941,298,710,15051
3919,302,717,15062
3916,291,727,15066
3899,297,717,15087
3861,300,725,15114
3862,289,739,15110
3831,310,744,15115
3784,312,743,15161
3777,299,730,15194
3754,302,741,15203
3732,293,769,15206
3705,305,766,15224
3691,287,791,15231
3676,288,776,15260
3662,298,764,15276
3668,295,755,15282
3666,279,745,15310
3661,281,748,15310
3630,282,762,15326
3613,282,752,15353
3611,268,752,15369
3600,266,743,15391
3594,283,727,15396
3600,263,736,15401
3594,273,745,15388
3598,258,724,15420
3577,263,706,15454
3578,266,705,15451
3581,265,697,15457
3594,247,722,15437
3621,233,724,15422
3588,251,718,15443
3572,249,716,15463
3572,245,715,15468
3553,267,698,15482
3585,239,702,15474
3587,229,699,15485
3579,269,686,15466
3575,265,700,15460
3591,256,699,15454
3582,256,705,15457
3600,248,700,15452
3593,244,702,15461
3606,233,684,15477
3615,224,685,15476
3613,238,665,15484
3638,234,640,15488
3653,231,629,15487
3675,236,649,15440
3671,235,643,15451
3683,235,622,15460
3672,247,590,15491
3680,237,593,15490
3672,251,605,15472
3677,237,602,15484
3690,240,580,15490
3730,220,590,15460
3711,235,591,15463
3726,223,611,15440
3749,219,616,15416
3768,206,623,15403
3763,209,632,15396
3784,224,624,15368
3777,244,607,15372
3794,240,622,15344
3793,245,609,15353
3785,242,612,15361
3800,226,626,15348
3812,232,625,15331
3828,221,637,15314
3817,247,615,15321
3832,244,597,15327
3862,224,615,15299
3865,226,613,15296
3881,224,615,15280
3883,220,640,15257
3886,243,622,15249
3893,231,635,15241
3900,243,654,15203
3897,237,645,15221
3880,249,663,15208
3864,269,648,15219
3887,236,664,15213
3904,242,650,15204
3907,231,651,15211
3892,269,629,15210
3872,278,626,15224
3865,272,626,15237
3856,243,662,15239
3847,249,661,15243
3835,256,657,15252
3835,271,663,15231
3828,285,651,15236
3814,276,660,15250
3831,260,680,15229
3833,255,670,15242
3848,261,666,15225
3830,262,657,15251
3848,245,652,15255
3829,259,638,15274
3835,235,642,15288
3837,240,629,15294
3823,233,653,15291
3828,235,653,15284
3846,225,651,15278
3840,241,623,15296
3845,239,623,15293
3863,234,632,15271
3857,229,636,15278
3848,236,620,15296
3860,230,647,15263
3851,249,638,15262
3864,258,624,15254
3856,254,641,15249
3837,236,673,15254
3839,247,661,15253
3846,245,624,15285
3825,244,634,15297
3835,248,637,15280
3838,245,636,15281
3829,247,629,15295
3819,255,631,15295
3811,247,616,15326
3811,242,611,15336
3793,252,612,15343
3798,252,612,15338
3804,248,614,15334
3798,230,632,15340
3793,234,621,15352
3788,247,615,15350
3774,238,619,15369
3781,224,627,15368
3809,224,626,15341
3812,231,621,15336
3821,243,619,15317
3818,253,601,15328
3816,241,617,15326
3832,237,610,15321
3809,235,609,15347
3839,226,617,15318
3848,232,619,15301
3848,217,621,15314
3848,238,605,15309
3832,237,609,15322
3833,236,596,15335
3831,240,598,15331
3830,234,605,15331
3827,244,614,15315
3818,253,608,15321
3819,240,620,15321
3821,248,620,15311
3823,248,619,15310
3807,246,641,15306
3804,258,643,15295
3813,258,633,15296
3822,246,625,15307
3811,246,624,15319
3821,233,636,15310
3825,246,641,15288
3828,243,655,15274
3809,266,634,15291
3808,267,629,15296
3827,252,620,15301
3816,255,645,15284
3829,248,641,15282
3819,257,627,15297
3836,243,631,15290
3831,228,650,15291
3816,235,671,15278
3808,230,687,15275
3809,247,666,15278
3804,251,665,15280
3805,257,646,15292
3776,267,669,15288
3777,270,665,15288
3773,257,670,15300
3783,252,692,15273
3798,254,689,15259
3799,261,660,15280
3797,258,658,15287
3785,255,639,15321
3776,277,635,15312
3777,259,652,15312
3781,247,644,15328
3778,258,657,15307
3759,260,655,15326
3764,247,678,15311
3756,256,679,15309
3754,251,696,15299
3756,249,687,15308
3754,260,668,15318
3768,256,652,15324
3761,254,669,15316
3762,254,673,15311
3742,284,669,15305
3745,261,677,15317
3744,253,675,15328
3716,270,657,15357
3739,238,674,15349
3751,238,662,15349
3734,239,674,15353
3731,253,675,15341
3757,242,663,15338
3778,241,663,15318
3770,256,650,15324
3759,247,649,15345
3767,257,641,15335
3770,243,639,15348
3748,250,637,15365
3765,238,617,15380
3807,233,593,15367
3808,226,599,15367
3840,230,604,15326
3825,242,604,15329
3809,255,616,15320
3789,253,625,15333
3782,254,635,15329
3796,234,661,15309
3786,243,650,15321
3807,241,650,15302
3788,256,652,15304
3812,265,645,15278
3816,240,660,15284
3798,249,664,15289
3809,240,682,15269
3819,256,667,15258
3839,232,667,15262
3836,255,641,15268
3845,251,632,15272
3846,255,632,15267
3838,240,652,15270
3848,233,649,15270
3860,245,646,15249
3823,266,647,15264
3819,270,659,15252
3837,240,664,15259
3855,235,654,15256
3854,232,676,15238
3829,273,641,15257
3831,272,637,15260
3835,248,673,15244
3822,242,680,15256
3850,235,662,15253
3868,247,651,15234
3851,256,667,15226
3863,257,652,15228
3855,254,654,15237
3861,257,650,15232
3841,262,650,15247
3844,268,650,15238
3844,276,642,15238
3832,270,682,15216
3833,275,684,15208
3850,256,683,15211
3836,257,664,15243
3852,252,651,15245
3840,255,661,15244
3845,239,681,15235
3845,238,673,15244
3877,227,677,15219
3871,243,681,15205
3879,258,657,15206
3856,270,659,15215
3844,283,640,15233
3871,270,658,15201
3897,252,661,15190
3885,275,660,15180
3889,267,661,15183
3882,267,644,15207
3877,262,633,15228
3866,262,634,15238
3859,269,637,15235
3857,267,646,15230
3862,256,671,15211
3850,272,663,15215
3857,263,669,15211
3868,270,664,15198
3854,270,659,15217
3863,245,683,15209
3847,246,684,15223
3843,247,678,15232
3831,256,689,15224
3829,268,681,15222
3856,230,689,15225
3879,228,662,15231
3881,240,656,15223
3926,238,637,15199
3930,245,643,15182
3940,251,628,15181
3943,252,629,15176
3948,242,614,15196
3955,246,612,15187
3963,236,624,15177
3969,231,623,15177
3978,234,628,15160
3977,238,617,15168
3984,251,615,15150
3970,259,638,15133
3951,266,642,15141
3953,248,659,15140
3957,247,658,15138
3954,241,650,15155
3949,239,664,15148
3918,272,659,15151
3922,261,668,15149
3908,251,662,15179
3908,258,662,15172
3905,261,661,15173
3912,264,653,15171
3898,278,657,15167
3890,279,672,15159
3903,262,689,15146
3923,254,686,15137
3895,272,691,15142
3908,259,692,15141
3898,265,671,15166
3881,262,681,15176
3885,260,697,15158
3865,270,674,15191
3868,286,659,15187
3893,254,673,15180
3897,226,674,15203
3916,254,652,15178
3925,243,658,15174
3924,245,629,15202
3898,238,622,15242
3898,251,617,15234
3900,236,635,15229
3896,243,646,15215
3897,250,653,15200
3914,247,691,15148
3913,248,697,15142
3900,264,682,15154
3886,273,657,15184
3899,265,684,15152
3889,264,683,15164
3902,279,656,15163
3892,271,678,15159
3878,273,683,15166
3896,261,693,15150
3907,258,682,15153
3908,265,683,15144
3906,253,707,15134
3895,251,723,15131
3888,254,694,15164
3895,251,673,15181
3874,249,698,15179
3867,259,693,15181
3843,272,672,15213
3863,269,652,15216
3890,238,667,15205
3891,239,668,15202
3900,230,679,15191
3897,240,658,15205
3893,256,646,15205
3908,245,629,15218
3928,243,618,15211
3938,248,601,15213
3926,264,596,15214
3919,273,602,15206
3932,235,628,15205
3946,233,621,15200
3985,233,614,15168
3968,236,633,15163
3978,232,631,15159
3966,238,605,15191
3976,233,597,15194
4006,221,589,15184
4011,238,586,15165
4002,259,587,15152
4007,240,605,15148
4021,230,610,15139
4025,238,619,15118
4007,242,630,15121
3997,229,618,15156
3994,230,613,15163
4028,218,599,15155
4025,220,598,15157
4023,216,593,15168
4019,233,586,15162
4001,229,585,15185
4001,213,586,15200
4006,226,582,15186
3989,234,604,15173
3991,232,589,15188
4003,236,601,15160
4000,253,582,15165
4013,236,589,15162
4035,226,594,15145
4047,227,590,15136
4064,234,594,15108
4087,233,620,15060
4088,230,620,15062
4068,245,637,15050
4071,255,633,15041
4040,263,634,15063
4029,273,653,15045
