S,E,I,R
19960,20,18,2
19948,26,22,4
19939,27,22,12
19926,36,23,15
19914,36,32,18
19888,50,39,23
19852,63,56,29
19796,92,71,41
19714,141,96,49
19628,167,140,65
19512,227,176,85
19354,301,234,111
19156,391,309,144
18899,537,371,193
18563,665,517,255
18142,824,699,335
17601,1068,888,443
16945,1333,1142,580
16101,1653,1496,750
15067,2041,1930,962
13815,2504,2427,1254
12432,2946,2996,1626
10963,3280,3646,2111
9399,3604,4299,2698
7811,3841,4994,3354
6308,3918,5700,4074
4987,3790,6329,4894
3854,3442,6936,5768
2924,3094,7248,6734
2207,2683,7344,7766
1671,2263,7348,8718
1281,1797,7233,9689
993,1442,6993,10572
814,1112,6647,11427
692,866,6218,12224
600,675,5772,12953
519,544,5287,13650
474,426,4793,14307
437,356,4341,14866
401,284,3937,15378
393,238,3516,15853
409,178,3145,16268
415,170,2768,16647
447,134,2473,16946
471,104,2191,17234
518,97,1938,17447
548,107,1735,17610
587,101,1531,17781
627,93,1365,17915
661,75,1227,18037
707,64,1076,18153
748,67,942,18243
794,59,833,18314
840,48,733,18379
881,55,643,18421
933,47,566,18454
995,40,512,18453
1055,34,456,18455
1119,35,404,18442
1174,31,354,18441
1227,34,316,18423
1289,29,282,18400
1344,30,248,18378
1395,23,214,18368
1458,19,195,18328
1505,22,172,18301
1568,24,160,18248
1618,24,146,18212
1667,26,126,18181
1721,23,115,18141
1769,18,105,18108
1816,17,97,18070
1880,22,89,18009
1937,15,84,17964
1988,16,78,17918
2040,16,68,17876
2103,15,61,17821
2152,22,54,17772
2204,19,49,17728
2256,17,56,17671
2315,16,42,17627
2375,14,40,17571
2420,7,38,17535
2471,4,38,17487
2525,5,38,17432
2580,5,29,17386
2631,5,29,17335
2678,4,27,17291
2728,4,23,17245
2776,5,15,17204
2829,3,13,17155
2871,1,11,17117
2918,1,11,17070
2976,4,10,17010
3026,5,10,16959
3071,7,10,16912
3126,6,9,16859
3170,4,10,16816
3219,4,10,16767
3282,4,10,16704
3338,2,12,16648
3389,3,12,16596
3442,0,12,16546
3485,2,10,16503
3538,3,7,16452
3594,2,7,16397
3649,1,7,16343
3700,0,5,16295
3757,0,5,16238
3814,0,5,16181
3850,0,5,16145
3885,1,3,16111
3928,1,2,16069
3972,0,3,16025
4032,0,3,15965
4066,0,3,15931
4113,0,1,15886
4155,0,1,15844
4196,0,1,15803
4238,0,1,15761
4285,0,1,15714
4318,0,1,15681
4360,0,1,15639
4410,0,0,15590
4455,0,0,15545
4495,0,0,15505
4535,0,0,15465
4571,0,0,15429
4621,0,0,15379
4670,0,0,15330
4722,0,0,15278
4773,0,0,15227
4808,0,0,15192
4849,0,0,15151
4878,0,0,15122
4929,0,0,15071
4969,0,0,15031
5014,0,0,14986
5048,0,0,14952
5093,0,0,14907
5152,0,0,14848
5205,0,0,14795
5255,0,0,14745
5297,0,0,14703
5339,0,0,14661
5373,0,0,14627
5417,0,0,14583
5450,0,0,14550
5493,0,0,14507
5525,0,0,14475
5575,0,0,14425
5606,0,0,14394
5644,0,0,14356
5673,0,0,14327
5708,0,0,14292
5752,0,0,14248
5792,0,0,14208
5826,0,0,14174
5865,0,0,14135
5904,0,0,14096
5944,0,0,14056
5992,0,0,14008
6030,0,0,13970
6071,0,0,13929
6122,0,0,13878
6170,0,0,13830
6204,0,0,13796
6251,0,0,13749
6300,0,0,13700
6337,0,0,13663
6384,0,0,13616
6421,0,0,13579
6455,0,0,13545
6489,0,0,13511
6526,0,0,13474
6561,0,0,13439
6596,0,0,13404
6636,0,0,13364
6676,0,0,13324
6704,0,0,13296
6738,0,0,13262
6770,0,0,13230
6802,0,0,13198
6839,0,0,13161
6878,0,0,13122
6912,0,0,13088
6947,0,0,13053
6990,0,0,13010
7034,0,0,12966
7065,0,0,12935
7103,0,0,12897
7137,0,0,12863
7172,0,0,12828
7213,0,0,12787
7251,0,0,12749
7282,0,0,12718
7321,0,0,12679
7348,0,0,12652
7388,0,0,12612
7417,0,0,12583
7456,0,0,12544
7493,0,0,12507
7526,0,0,12474
7564,0,0,12436
7618,0,0,12382
7654,0,0,12346
7693,0,0,12307
7719,0,0,12281
7761,0,0,12239
7792,0,0,12208
7818,0,0,12182
7847,0,0,12153
7885,0,0,12115
7916,0,0,12084
7951,0,0,12049
7982,0,0,12018
8013,0,0,11987
8044,0,0,11956
8077,0,0,11923
8116,0,0,11884
8154,0,0,11846
8191,0,0,11809
8229,0,0,11771
8264,0,0,11736
8297,0,0,11703
8333,0,0,11667
8364,0,0,11636
8393,0,0,11607
8417,0,0,11583
8454,0,0,11546
8493,0,0,11507
8531,0,0,11469
8565,0,0,11435
8597,0,0,11403
8637,0,0,11363
8672,0,0,11328
8708,0,0,11292
8749,0,0,11251
8784,0,0,11216
8824,0,0,11176
8855,0,0,11145
8900,0,0,11100
8941,0,0,11059
8975,0,0,11025
9014,0,0,10986
9029,0,0,10971
9056,0,0,10944
9088,0,0,10912
9115,0,0,10885
9146,0,0,10854
9175,0,0,10825
9196,0,0,10804
9227,0,0,10773
9260,0,0,10740
9293,0,0,10707
9322,0,0,10678
9356,0,0,10644
9383,0,0,10617
9410,0,0,10590
9440,0,0,10560
9466,0,0,10534
9494,0,0,10506
9526,0,0,10474
9557,0,0,10443
9590,0,0,10410
9618,0,0,10382
9637,0,0,10363
9663,0,0,10337
9690,0,0,10310
9716,0,0,10284
9744,0,0,10256
9776,0,0,10224
9803,0,0,10197
9827,0,0,10173
9853,0,0,10147
9894,0,0,10106
9918,0,0,10082
9949,0,0,10051
9973,0,0,10027
9999,0,0,10001
10024,0,0,9976
10050,0,0,9950
10078,0,0,9922
10108,0,0,9892
10130,0,0,9870
10158,0,0,9842
10173,0,0,9827
10201,0,0,9799
10225,0,0,9775
10255,0,0,9745
10276,0,0,9724
10307,0,0,9693
10328,0,0,9672
10351,0,0,9649
10379,0,0,9621
10399,0,0,9601
10424,0,0,9576
10451,0,0,9549
10480,0,0,9520
10512,0,0,9488
10539,0,0,9461
10566,0,0,9434
10587,0,0,9413
10613,0,0,9387
10637,0,0,9363
10659,0,0,9341
10687,0,0,9313
10708,0,0,9292
10727,0,0,9273
10749,0,0,9251
10775,0,0,9225
10800,0,0,9200
10824,0,0,9176
10849,0,0,9151
10880,0,0,9120
10897,0,0,9103
10920,0,0,9080
10947,0,0,9053
10972,0,0,9028
10997,0,0,9003
11014,0,0,8986
11042,0,0,8958
11065,0,0,8935
11085,0,0,8915
11108,0,0,8892
11138,0,0,8862
11157,0,0,8843
11185,0,0,8815
11209,0,0,8791
11232,0,0,8768
11255,0,0,8745
11281,0,0,8719
11300,0,0,8700
11329,0,0,8671
11358,0,0,8642
11385,0,0,8615
11404,0,0,8596
11436,0,0,8564
11465,0,0,8535
11487,0,0,8513
11508,0,0,8492
11535,0,0,8465
11555,0,0,8445
11576,0,0,8424
11594,0,0,8406
11622,0,0,8378
11647,0,0,8353
11665,0,0,8335
11687,0,0,8313
11704,0,0,8296
11735,0,0,8265
11750,0,0,8250
11778,0,0,8222
11801,0,0,8199
11818,0,0,8182
11841,0,0,8159
11858,0,0,8142
11892,0,0,8108
11918,0,0,8082
11935,0,0,8065
11957,0,0,8043
11979,0,0,8021
12004,0,0,7996
12031,0,0,7969
12048,0,0,7952
12071,0,0,7929
12098,0,0,7902
12120,0,0,7880
12146,0,0,7854
12170,0,0,7830
12185,0,0,7815
12209,0,0,7791
12234,0,0,7766
12254,0,0,7746
12277,0,0,7723
12301,0,0,7699
12328,0,0,7672
12344,0,0,7656
12362,0,0,7638
12384,0,0,7616
12400,0,0,7600
12415,0,0,7585
12439,0,0,7561
12467,0,0,7533
12494,0,0,7506
12518,0,0,7482
12539,0,0,7461
12558,0,0,7442
12583,0,0,7417
12609,0,0,7391
12626,0,0,7374
12646,0,0,7354
12656,0,0,7344
12677,0,0,7323
12694,0,0,7306
12716,0,0,7284
