S,E,I,R
19966,14,17,3
19947,26,23,4
19928,34,29,9
19901,49,31,19
19865,69,44,22
19814,95,65,26
19747,124,97,32
19674,154,124,48
19577,195,162,66
19439,247,222,92
19266,327,277,130
19016,456,353,175
18732,573,454,241
18341,736,610,313
17831,951,808,410
17199,1224,1046,531
16437,1496,1366,701
15525,1840,1733,902
14386,2258,2181,1175
13102,2701,2686,1511
11562,3227,3279,1932
9994,3532,4034,2440
8475,3711,4744,3070
6975,3829,5400,3796
5574,3835,6031,4560
4416,3516,6689,5379
3394,3240,7076,6290
2600,2830,7313,7257
1965,2385,7397,8253
1552,1917,7343,9188
1202,1555,7184,10059
963,1273,6798,10966
769,1028,6403,11800
647,791,6037,12525
551,633,5519,13297
473,509,5073,13945
431,403,4581,14585
420,317,4143,15120
417,268,3732,15583
434,201,3369,15996
441,160,3066,16333
457,139,2729,16675
475,118,2424,16983
497,111,2125,17267
512,121,1851,17516
542,105,1642,17711
580,87,1479,17854
614,74,1302,18010
639,62,1147,18152
687,58,1027,18228
727,56,926,18291
767,52,811,18370
800,56,703,18441
858,42,634,18466
911,35,547,18507
981,36,477,18506
1042,45,428,18485
1103,47,391,18459
1165,46,348,18441
1207,39,318,18436
1259,43,288,18410
1311,36,259,18394
1356,38,232,18374
1414,35,221,18330
1480,34,196,18290
1535,27,181,18257
1596,26,162,18216
1658,25,151,18166
1712,26,126,18136
1787,21,123,18069
1841,23,110,18026
1893,21,99,17987
1945,22,91,17942
2007,20,90,17883
2060,17,85,17838
2114,23,74,17789
2155,19,77,17749
2185,21,74,17720
2227,16,66,17691
2285,15,60,17640
2348,12,61,17579
2401,10,52,17537
2463,11,43,17483
2503,14,39,17444
2548,14,37,17401
2611,6,38,17345
2671,7,32,17290
2718,7,27,17248
2785,5,29,17181
2837,6,27,17130
2900,7,27,17066
2956,11,27,17006
3004,9,31,16956
3057,9,27,16907
3107,10,23,16860
3157,7,26,16810
3200,9,24,16767
3255,7,25,16713
3301,6,23,16670
3345,6,21,16628
3395,10,20,16575
3442,9,19,16530
3485,5,21,16489
3522,4,23,16451
3573,6,21,16400
3609,7,21,16363
3650,12,19,16319
3702,10,20,16268
3750,9,21,16220
3788,8,23,16181
3826,8,23,16143
3863,9,23,16105
3907,10,20,16063
3957,11,19,16013
3987,8,25,15980
4037,6,28,15929
4102,2,26,15870
4140,6,24,15830
4186,7,24,15783
4228,9,24,15739
4264,13,22,15701
4285,16,22,15677
4323,15,22,15640
4367,13,21,15599
4409,10,23,15558
4454,13,23,15510
4485,10,28,15477
4515,17,23,15445
4553,15,26,15406
4593,16,24,15367
4640,13,25,15322
4676,16,28,15280
4709,13,31,15247
4741,17,27,15215
4779,18,20,15183
4823,12,26,15139
4859,14,27,15100
4881,18,26,15075
4915,19,27,15039
4954,18,32,14996
4981,15,37,14967
5024,10,43,14923
5066,19,36,14879
5095,20,37,14848
5134,13,46,14807
5161,22,42,14775
5211,28,44,14717
5245,26,48,14681
5267,30,53,14650
5301,26,62,14611
5333,31,63,14573
5367,31,67,14535
5399,36,63,14502
5429,37,67,14467
5469,31,73,14427
5501,29,69,14401
5516,35,73,14376
5539,40,76,14345
5550,47,88,14315
5577,54,84,14285
5593,55,93,14259
5609,57,99,14235
5625,55,104,14216
5643,59,105,14193
5664,61,113,14162
5681,68,116,14135
5684,75,117,14124
5696,72,126,14106
5706,85,130,14079
5718,79,151,14052
5730,86,157,14027
5742,94,168,13996
5756,88,192,13964
5751,91,208,13950
5740,101,218,13941
5727,104,239,13930
5710,122,251,13917
5712,133,253,13902
5703,130,272,13895
5678,156,277,13889
5676,154,288,13882
5642,160,310,13888
5613,166,327,13894
5589,179,340,13892
5552,175,368,13905
5532,179,361,13928
5498,179,377,13946
5460,208,384,13948
5430,197,411,13962
5385,229,408,13978
5347,239,427,13987
5295,239,446,14020
5273,243,477,14007
5216,249,510,14025
5160,253,529,14058
5131,236,559,14074
5059,252,574,14115
4989,266,600,14145
4931,276,615,14178
4856,286,639,14219
4778,313,663,14246
4701,306,698,14295
4641,295,706,14358
4551,317,711,14421
4476,323,730,14471
4420,302,759,14519
4352,323,744,14581
4288,315,754,14643
4201,328,784,14687
4153,330,780,14737
4081,324,785,14810
4031,324,810,14835
3976,318,826,14880
3908,308,840,14944
3841,308,845,15006
3798,290,848,15064
3768,294,823,15115
3699,299,806,15196
3643,292,818,15247
3573,309,794,15324
3550,283,796,15371
3499,286,788,15427
3469,272,778,15481
3434,274,763,15529
3407,258,761,15574
3358,288,740,15614
3324,295,737,15644
3316,262,743,15679
3310,239,745,15706
3287,258,733,15722
3279,247,740,15734
3267,232,735,15766
3232,222,730,15816
3221,231,705,15843
3220,225,683,15872
3203,227,670,15900
3203,228,655,15914
3203,223,645,15929
3181,219,646,15954
3145,226,640,15989
3164,207,650,15979
3136,228,632,16004
3131,223,599,16047
3142,197,605,16056
3155,192,620,16033
3148,218,605,16029
3140,228,586,16046
3141,214,583,16062
3141,208,597,16054
3133,208,585,16074
3142,197,570,16091
3140,196,546,16118
3152,198,531,16119
3174,192,517,16117
3183,188,516,16113
3215,150,547,16088
3235,171,516,16078
3264,169,514,16053
3302,155,495,16048
3340,149,470,16041
3347,164,452,16037
3353,171,428,16048
3389,139,451,16021
3428,123,437,16012
3460,135,411,15994
3489,140,404,15967
3518,144,408,15930
3553,148,399,15900
3577,174,401,15848
3592,159,426,15823
3609,175,416,15800
3643,162,424,15771
3656,171,422,15751
3692,162,430,15716
3704,164,435,15697
3762,156,448,15634
3783,162,454,15601
3816,169,456,15559
3808,181,445,15566
3817,190,439,15554
3827,194,443,15536
3835,194,453,15518
3858,186,443,15513
3880,202,439,15479
3886,187,470,15457
3892,177,476,15455
3890,187,485,15438
3896,188,481,15435
3919,183,475,15423
3930,189,473,15408
3947,173,495,15385
3935,197,493,15375
3941,191,490,15378
3929,183,508,15380
3959,180,502,15359
3973,192,480,15355
4005,173,492,15330
4021,177,493,15309
4036,172,493,15299
4052,190,473,15285
4069,180,473,15278
4081,185,469,15265
4089,182,478,15251
4103,185,481,15231
4103,181,486,15230
4104,201,478,15217
4120,195,467,15218
4143,198,476,15183
4177,191,467,15165
4198,188,466,15148
4230,194,466,15110
4237,197,482,15084
4243,191,493,15073
4232,206,496,15066
4239,209,527,15025
4238,204,523,15035
4235,201,532,15032
4255,198,539,15008
4276,220,531,14973
4269,229,533,14969
4253,243,529,14975
4259,233,530,14978
4261,244,527,14968
4270,232,544,14954
4281,215,569,14935
4288,237,568,14907
4283,232,576,14909
4283,237,571,14909
4249,285,568,14898
4236,263,597,14904
4225,244,630,14901
4209,248,637,14906
4184,267,624,14925
4166,275,630,14929
4130,290,650,14930
4094,285,678,14943
4068,272,699,14961
4046,302,705,14947
4058,287,714,14941
4057,292,710,14941
4035,305,731,14929
3997,312,736,14955
3962,287,754,14997
3943,296,779,14982
3944,271,787,14998
3887,298,774,15041
3894,270,776,15060
3876,273,767,15084
3870,256,767,15107
3824,297,732,15147
3812,313,741,15134
3799,296,740,15165
3778,294,751,15177
3759,308,747,15186
3732,311,747,15210
3699,304,769,15228
3680,274,796,15250
3652,293,779,15276
3660,285,785,15270
3651,275,783,15291
3626,281,767,15326
3601,294,760,15345
3588,284,739,15389
3611,258,760,15371
3600,266,774,15360
3590,268,773,15369
3555,283,767,15395
3545,281,756,15418
3521,273,759,15447
3528,252,776,15444
3522,263,745,15470
3507,246,756,15491
3480,288,726,15506
3468,275,728,15529
3454,290,707,15549
3457,276,715,15552
3467,259,699,15575
3473,254,705,15568
3483,246,700,15571
3507,246,702,15545
3510,246,704,15540
3499,253,697,15551
3511,255,698,15536
3507,259,681,15553
3501,262,675,15562
3506,270,679,15545
3491,267,668,15574
3476,264,688,15572
3467,255,708,15570
3480,251,708,15561
3480,264,692,15564
3502,242,698,15558
3503,246,702,15549
3500,245,698,15557
3506,254,699,15541
3540,240,691,15529
3545,230,692,15533
3564,236,667,15533
3595,223,675,15507
3577,224,686,15513
3577,244,659,15520
3573,271,639,15517
3580,255,639,15526
3578,263,644,15515
3599,246,656,15499
3607,248,649,15496
3622,239,656,15483
3633,248,658,15461
3639,244,665,15452
3634,246,667,15453
3653,212,678,15457
3628,226,651,15495
3601,248,629,15522
3633,244,626,15497
3644,232,648,15476
3655,233,648,15464
3657,253,631,15459
3688,241,624,15447
3702,213,637,15448
3678,234,635,15453
3686,226,641,15447
3698,221,640,15441
3712,216,637,15435
3706,228,641,15425
3721,225,639,15415
3741,208,647,15404
3736,206,639,15419
3751,219,622,15408
3768,224,635,15373
3792,204,643,15361
