S,E,I,R
19964,16,17,3
19957,16,20,7
19942,24,22,12
19930,23,33,14
19912,37,30,21
19886,46,41,27
19851,64,49,36
19804,83,72,41
19739,121,93,47
19652,162,119,67
19548,204,159,89
19405,269,204,122
19237,329,277,157
18991,444,359,206
18703,567,463,267
18297,794,568,341
17837,955,785,423
17218,1209,1020,553
16453,1528,1305,714
15539,1870,1671,920
14391,2279,2133,1197
13092,2711,2657,1540
11638,3187,3225,1950
10154,3500,3843,2503
8586,3734,4604,3076
7021,3919,5337,3723
5622,3855,6044,4479
4441,3589,6657,5313
3403,3326,7049,6222
2589,2837,7376,7198
1982,2374,7497,8147
1511,2010,7357,9122
1183,1640,7085,10092
961,1269,6816,10954
772,973,6484,11771
661,758,6043,12538
597,579,5577,13247
540,454,5089,13917
488,386,4564,14562
473,312,4111,15104
466,254,3707,15573
468,198,3379,15955
469,177,2998,16356
470,150,2691,16689
474,154,2374,16998
498,127,2098,17277
540,119,1876,17465
556,108,1646,17690
601,104,1443,17852
637,81,1288,17994
675,80,1139,18106
720,78,1021,18181
752,75,915,18258
809,57,800,18334
846,57,712,18385
877,68,611,18444
924,61,548,18467
991,51,502,18456
1042,48,451,18459
1101,46,408,18445
1156,39,374,18431
1215,30,318,18437
1260,36,292,18412
1325,37,261,18377
1381,25,242,18352
1426,28,217,18329
1498,30,189,18283
1553,33,170,18244
1623,19,159,18199
1684,16,149,18151
1732,18,133,18117
1792,18,119,18071
1856,19,107,18018
1902,16,105,17977
1946,18,92,17944
1985,18,76,17921
2043,14,74,17869
2105,15,67,17813
2165,25,62,17748
2220,21,61,17698
2273,19,57,17651
2322,14,57,17607
2372,20,52,17556
2432,16,50,17502
2489,10,47,17454
2538,13,47,17402
2588,13,43,17356
2633,21,38,17308
2674,15,45,17266
2716,15,45,17224
2748,14,43,17195
2804,12,37,17147
2868,9,34,17089
2909,8,35,17048
2963,7,34,16996
3027,6,30,16937
3077,6,27,16890
3112,6,28,16854
3164,6,27,16803
3220,7,22,16751
3261,6,25,16708
3308,6,26,16660
3350,6,22,16622
3392,8,17,16583
3438,7,19,16536
3480,7,18,16495
3527,7,18,16448
3573,7,17,16403
3620,6,20,16354
3668,6,18,16308
3717,2,19,16262
3762,4,19,16215
3801,5,17,16177
3840,5,18,16137
3883,7,18,16092
3934,7,18,16041
3971,9,15,16005
4008,9,15,15968
4049,11,19,15921
4086,8,23,15883
4128,12,20,15840
4178,7,23,15792
4226,8,19,15747
4266,11,17,15706
4309,12,17,15662
4351,12,17,15620
4392,6,19,15583
4435,7,17,15541
4480,8,16,15496
4516,9,11,15464
4562,6,13,15419
4612,3,14,15371
4659,4,11,15326
4703,5,12,15280
4735,8,12,15245
4794,5,15,15186
4840,5,14,15141
4890,7,11,15092
4928,7,10,15055
4963,5,12,15020
5005,7,13,14975
5052,7,17,14924
5097,6,19,14878
5139,5,18,14838
5181,6,19,14794
5225,11,17,14747
5261,12,18,14709
5291,13,20,14676
5320,18,20,14642
5356,17,23,14604
5401,10,25,14564
5435,9,29,14527
5469,17,29,14485
5496,19,31,14454
5527,23,33,14417
5574,24,35,14367
5603,23,37,14337
5637,22,38,14303
5674,18,41,14267
5703,26,43,14228
5729,29,45,14197
5759,37,45,14159
5794,38,44,14124
5827,33,49,14091
5855,35,55,14055
5874,35,65,14026
5900,31,72,13997
5911,35,77,13977
5921,44,80,13955
5942,40,84,13934
5970,41,85,13904
5989,41,87,13883
6013,41,90,13856
6052,41,83,13824
6063,51,84,13802
6094,43,91,13772
6119,54,86,13741
6133,58,101,13708
6136,60,112,13692
6152,75,112,13661
6156,79,122,13643
6174,84,133,13609
6194,77,153,13576
6197,84,164,13555
6199,96,161,13544
6196,96,176,13532
6190,113,184,13513
6187,106,196,13511
6183,119,205,13493
6171,125,221,13483
6162,136,232,13470
6146,150,249,13455
6119,161,262,13458
6087,163,278,13472
6071,160,301,13468
6056,155,321,13468
6033,176,322,13469
6004,190,334,13472
5995,197,355,13453
5942,208,373,13477
5903,217,385,13495
5871,227,416,13486
5825,231,438,13506
5753,258,457,13532
5704,247,486,13563
5643,253,511,13593
5584,263,540,13613
5493,296,558,13653
5428,304,595,13673
5338,318,608,13736
5281,311,636,13772
5222,302,669,13807
5151,297,694,13858
5055,345,712,13888
4946,369,752,13933
4847,367,801,13985
4752,361,830,14057
4644,393,835,14128
4570,366,868,14196
4485,358,880,14277
4375,371,906,14348
4286,370,904,14440
4189,399,912,14500
4093,398,955,14554
3999,398,959,14644
3910,407,969,14714
3813,402,976,14809
3747,389,975,14889
3660,391,979,14970
3582,389,990,15039
3498,390,993,15119
3429,370,1003,15198
3354,380,1000,15266
3279,380,1020,15321
3209,377,1012,15402
3154,346,1010,15490
3113,323,1013,15551
3067,321,985,15627
3034,304,958,15704
2976,323,934,15767
2946,306,940,15808
2904,290,936,15870
2884,259,924,15933
2844,263,884,16009
2841,236,856,16067
2829,235,820,16116
2825,230,791,16154
2801,251,776,16172
2788,236,769,16207
2792,208,744,16256
2782,216,717,16285
2786,206,700,16308
2802,204,657,16337
2803,211,633,16353
2822,192,630,16356
2832,184,600,16384
2837,166,587,16410
2857,179,562,16402
2876,160,556,16408
2912,150,537,16401
2936,155,499,16410
2978,157,481,16384
2996,152,472,16380
3012,144,466,16378
3058,137,433,16372
3098,134,416,16352
3143,125,405,16327
3183,112,386,16319
3231,111,379,16279
3278,118,365,16239
3328,107,364,16201
3358,126,336,16180
3391,114,349,16146
3443,104,344,16109
3484,102,325,16089
3513,111,312,16064
3556,104,303,16037
3607,115,297,15981
3671,99,298,15932
3705,95,287,15913
3763,90,271,15876
3828,91,260,15821
3875,92,249,15784
3926,102,248,15724
3976,106,255,15663
4029,104,257,15610
4056,115,260,15569
4099,104,280,15517
4142,102,276,15480
4173,113,275,15439
4214,114,275,15397
4250,118,274,15358
4295,128,278,15299
4348,121,291,15240
4390,115,297,15198
4423,127,301,15149
4469,117,308,15106
4503,120,303,15074
4508,133,297,15062
4551,134,307,15008
4571,140,296,14993
4586,143,305,14966
4594,145,312,14949
4618,158,318,14906
4632,159,338,14871
4639,161,357,14843
4641,170,362,14827
4642,181,364,14813
4650,161,382,14807
4669,173,394,14764
4679,170,401,14750
4675,171,405,14749
4689,176,415,14720
4684,163,436,14717
4678,173,438,14711
4688,184,434,14694
4691,190,432,14687
4710,180,441,14669
4688,212,430,14670
4657,227,443,14673
4653,232,477,14638
4648,236,494,14622
4633,246,512,14609
4621,241,545,14593
4609,235,572,14584
4574,264,592,14570
4578,261,609,14552
4538,284,604,14574
4511,281,611,14597
4472,292,630,14606
4455,291,640,14614
4444,265,660,14631
4400,294,665,14641
4377,276,702,14645
4351,293,700,14656
4329,271,732,14668
4302,281,716,14701
4297,292,707,14704
4264,288,716,14732
4244,289,737,14730
4191,321,749,14739
4151,346,756,14747
4133,315,773,14779
4115,317,765,14803
4090,315,782,14813
4052,323,787,14838
4002,344,794,14860
3963,331,816,14890
3915,324,802,14959
3890,321,789,15000
3888,314,792,15006
3869,291,789,15051
3844,300,792,15064
3793,316,788,15103
3744,319,799,15138
3760,311,784,15145
3727,325,768,15180
3726,330,784,15160
3675,325,798,15202
3638,323,798,15241
3619,317,803,15261
3582,312,814,15292
3579,308,802,15311
3558,311,810,15321
3522,308,804,15366
3528,276,818,15378
3481,309,812,15398
3462,293,830,15415
3444,309,826,15421
