S,E,I,R
19966,14,18,2
19956,21,17,6
19943,29,20,8
19917,45,30,8
19886,61,40,13
19849,78,54,19
19806,97,70,27
19735,131,95,39
19643,159,143,55
19517,238,171,74
19366,308,218,108
19166,389,306,139
18905,506,400,189
18581,640,533,246
18112,841,719,328
17567,1098,916,419
16839,1391,1226,544
15961,1754,1531,754
14924,2151,1915,1010
13761,2472,2459,1308
12353,2976,2959,1712
10821,3376,3646,2157
9283,3630,4383,2704
7782,3763,5141,3314
6252,3880,5811,4057
4921,3734,6413,4932
3835,3411,6871,5883
2937,3083,7189,6791
2254,2619,7391,7736
1665,2245,7367,8723
1258,1824,7304,9614
987,1450,7040,10523
808,1097,6696,11399
638,883,6224,12255
554,700,5735,13011
484,548,5274,13694
451,438,4762,14349
415,355,4331,14899
412,279,3882,15427
421,229,3505,15845
410,189,3155,16246
431,147,2853,16569
443,129,2542,16886
471,117,2252,17160
505,113,1987,17395
547,106,1773,17574
572,99,1568,17761
608,85,1372,17935
637,89,1213,18061
685,93,1068,18154
701,93,949,18257
748,69,870,18313
808,58,783,18351
866,51,690,18393
905,53,609,18433
958,38,559,18445
1014,45,499,18442
1059,40,443,18458
1113,35,392,18460
1165,40,343,18452
1211,46,309,18434
1253,40,277,18430
1291,42,245,18422
1331,32,222,18415
1385,34,208,18373
1437,26,196,18341
1499,24,178,18299
1560,20,166,18254
1610,21,148,18221
1667,25,127,18181
1726,22,120,18132
1771,26,101,18102
1817,25,90,18068
1858,19,89,18034
1938,16,78,17968
1983,12,71,17934
2040,8,72,17880
2102,10,62,17826
2156,4,60,17780
2199,6,53,17742
2254,13,52,17681
2311,12,46,17631
2372,14,42,17572
2422,20,40,17518
2481,14,42,17463
2540,11,42,17407
2601,4,43,17352
2652,5,37,17306
2698,2,38,17262
2747,4,33,17216
2787,8,22,17183
2838,9,21,17132
2880,10,18,17092
2929,8,16,17047
2974,7,18,17001
3014,7,19,16960
3066,9,19,16906
3118,9,17,16856
3172,7,20,16801
3212,8,20,16760
3271,9,18,16702
3337,8,20,16635
3376,10,19,16595
3423,9,20,16548
3482,8,21,16489
3519,7,23,16451
3561,6,25,16408
3594,9,24,16373
3647,10,20,16323
3694,7,24,16275
3734,11,24,16231
3767,10,25,16198
3808,11,25,16156
3852,9,27,16112
3896,9,26,16069
3950,8,24,16018
3990,10,23,15977
4032,8,26,15934
4075,10,27,15888
4124,8,22,15846
4169,7,20,15804
4200,5,24,15771
4236,12,19,15733
4280,10,23,15687
4324,8,25,15643
4370,5,24,15601
4412,6,21,15561
4443,6,19,15532
4477,10,18,15495
4521,9,20,15450
4554,11,17,15418
4585,8,19,15388
4614,11,19,15356
4642,16,21,15321
4680,22,21,15277
4741,18,23,15218
4767,21,25,15187
4799,20,30,15151
4822,18,35,15125
4853,19,36,15092
4882,21,37,15060
4918,21,40,15021
4958,15,40,14987
4999,17,31,14953
5042,14,34,14910
5079,15,34,14872
5090,21,37,14852
5139,22,35,14804
5174,17,43,14766
5212,19,46,14723
