S,E,I,R
19962,18,15,5
19948,23,21,8
19928,34,24,14
19913,40,32,15
19883,54,45,18
19840,79,59,22
19790,102,72,36
19728,124,98,50
19647,154,133,66
19526,206,175,93
19364,281,241,114
19180,356,312,152
18933,470,394,203
18579,660,488,273
18183,783,684,350
17634,1007,890,469
16988,1285,1110,617
16163,1649,1390,798
15199,1993,1785,1023
14125,2298,2271,1306
12828,2714,2828,1630
11419,3115,3412,2054
9871,3459,4095,2575
8330,3750,4763,3157
6842,3802,5523,3833
5466,3754,6132,4648
4246,3569,6707,5478
3288,3202,7144,6366
2557,2731,7382,7330
1935,2312,7473,8280
1474,1920,7402,9204
1128,1536,7196,10140
875,1245,6847,11033
709,991,6385,11915
605,752,5918,12725
532,574,5472,13422
481,449,5009,14061
465,364,4498,14673
437,301,4074,15188
417,242,3701,15640
409,205,3307,16079
441,160,2925,16474
458,141,2609,16792
478,132,2295,17095
490,127,2046,17337
517,102,1831,17550
560,88,1666,17686
611,67,1453,17869
642,65,1282,18011
679,62,1112,18147
723,60,998,18219
775,63,889,18273
817,53,785,18345
853,60,682,18405
900,67,595,18438
959,59,527,18455
1005,56,479,18460
1052,41,441,18466
1089,37,396,18478
1159,33,363,18445
1210,36,312,18442
1253,42,281,18424
1307,38,245,18410
1365,31,221,18383
1401,25,207,18367
1465,23,188,18324
1515,27,169,18289
1574,20,153,18253
1627,22,133,18218
1685,24,120,18171
1738,17,122,18123
1795,19,111,18075
1846,19,97,18038
1915,25,80,17980
1974,21,77,17928
2037,19,75,17869
2089,16,69,17826
2142,18,59,17781
2202,16,56,17726
2268,18,51,17663
2309,14,51,17626
2367,8,47,17578
2418,9,43,17530
2477,8,44,17471
2528,12,39,17421
2574,10,38,17378
2633,11,41,17315
2685,8,40,17267
2741,6,37,17216
2787,10,37,17166
2836,10,34,17120
2892,9,34,17065
2929,11,30,17030
2980,10,30,16980
3029,11,27,16933
3071,13,26,16890
3117,10,26,16847
3156,10,26,16808
3202,10,26,16762
3244,8,28,16720
3288,11,28,16673
3336,7,31,16626
3386,7,31,16576
3435,6,32,16527
3480,4,31,16485
3531,9,22,16438
3572,10,22,16396
3605,12,20,16363
3651,8,22,16319
3686,7,24,16283
3725,8,24,16243
3759,7,24,16210
3814,9,25,16152
3856,6,23,16115
3899,9,20,16072
3945,10,16,16029
3987,7,19,15987
4033,7,21,15939
4071,5,24,15900
4109,8,21,15862
4150,9,20,15821
4202,11,15,15772
4249,7,16,15728
4289,7,16,15688
4335,7,15,15643
4382,6,14,15598
4422,4,16,15558
4459,10,16,15515
4496,10,17,15477
4544,8,18,15430
4578,5,19,15398
4628,8,18,15346
4660,8,18,15314
4707,11,18,15264
4740,10,24,15226
4768,10,30,15192
4801,14,29,15156
