S,E,I,R
19966,14,18,2
19955,19,20,6
19945,20,22,13
19923,36,27,14
19896,48,37,19
19853,72,48,27
19799,92,73,36
19722,133,98,47
19618,183,135,64
19494,240,187,79
19335,301,252,112
19098,426,314,162
18826,552,406,216
18511,656,551,282
18104,830,711,355
17498,1130,910,462
16812,1389,1186,613
15923,1738,1538,801
14851,2160,1926,1063
13656,2593,2355,1396
12338,2934,2941,1787
10881,3269,3620,2230
9312,3617,4272,2799
7786,3780,4991,3443
6340,3790,5708,4162
5055,3684,6293,4968
3982,3416,6756,5846
3110,3087,7086,6717
2392,2667,7292,7649
1870,2263,7315,8552
1461,1837,7325,9377
1136,1498,7045,10321
908,1172,6723,11197
736,922,6327,12015
624,713,5871,12792
560,569,5391,13480
520,431,4895,14154
475,349,4493,14683
463,281,4087,15169
460,268,3663,15609
436,209,3295,16060
452,169,2970,16409
474,141,2624,16761
489,130,2318,17063
514,109,2048,17329
553,96,1799,17552
590,91,1585,17734
617,95,1408,17880
652,82,1254,18012
679,87,1078,18156
729,67,965,18239
793,56,844,18307
834,63,751,18352
900,63,652,18385
946,55,588,18411
1008,49,527,18416
1050,43,480,18427
1096,35,422,18447
1149,30,371,18450
1194,33,328,18445
1237,34,294,18435
1286,38,266,18410
1341,40,232,18387
1402,28,204,18366
1463,25,188,18324
1511,27,167,18295
1557,28,156,18259
1625,19,143,18213
1685,19,129,18167
1742,24,95,18139
1801,15,92,18092
1859,11,77,18053
1923,13,66,17998
1982,12,57,17949
2025,12,54,17909
2085,11,52,17852
2130,11,48,17811
2196,16,45,17743
2258,10,46,17686
2315,10,39,17636
2352,10,35,17603
2406,2,37,17555
2473,5,29,17493
2535,5,26,17434
2582,7,25,17386
2622,5,23,17350
2673,5,22,17300
2727,1,24,17248
2785,5,21,17189
2831,5,20,17144
2879,4,14,17103
2922,6,12,17060
2976,4,11,17009
3049,5,12,16934
3104,5,12,16879
3158,6,11,16825
3208,4,12,16776
3257,3,13,16727
3313,4,10,16673
3363,3,11,16623
3407,4,9,16580
3448,3,10,16539
3490,3,9,16498
3542,3,6,16449
3598,2,6,16394
3649,1,6,16344
3687,1,6,16306
3737,1,4,16258
3794,0,4,16202
3832,2,4,16162
3878,2,4,16116
3905,3,2,16090
3952,2,3,16043
4006,2,2,15990
4060,0,3,15937
4091,0,3,15906
4136,0,3,15861
4183,2,3,15812
4221,1,4,15774
4258,2,4,15736
4306,2,3,15689
4359,1,2,15638
4404,1,2,15593
4444,0,3,15553
4490,1,3,15506
4537,1,3,15459
4579,1,2,15418
4622,0,2,15376
4654,0,2,15344
4696,0,2,15302
4738,0,2,15260
4776,1,1,15222
4818,1,1,15180
4857,1,0,15142
4900,0,1,15099
4942,1,1,15056
4992,1,1,15006
5034,1,0,14965
5078,1,0,14921
5120,1,0,14879
5165,0,1,14834
5206,0,1,14793
5241,0,1,14758
5283,0,1,14716
5319,0,1,14680
5365,2,1,14632
5405,2,0,14593
5441,2,0,14557
5476,1,1,14522
5520,1,1,14478
5567,1,1,14431
5595,1,0,14404
5630,1,0,14369
5669,0,1,14330
5697,1,1,14301
5735,1,1,14263
5782,1,1,14216
5823,2,1,14174
5862,2,2,14134
5899,1,2,14098
5941,1,2,14056
5984,2,1,14013
6020,2,2,13976
6059,1,2,13938
6091,2,2,13905
6128,0,3,13869
6160,0,3,13837
6204,2,3,13791
6241,3,4,13752
6278,1,4,13717
6308,0,5,13687
6342,0,5,13653
6371,2,5,13622
6403,4,5,13588
6444,4,5,13547
6479,2,8,13511
6524,2,6,13468
6558,4,6,13432
6591,5,7,13397
6623,3,9,13365
6658,2,8,13332
6694,2,6,13298
6733,0,8,13259
6766,1,8,13225
6808,1,7,13184
6837,3,8,13152
6881,3,7,13109
6924,2,8,13066
6971,2,8,13019
7000,3,9,12988
7033,4,9,12954
7075,2,8,12915
7114,4,7,12875
7144,2,6,12848
7187,2,4,12807
7222,5,4,12769
7255,5,5,12735
7287,8,6,12699
7316,7,9,12668
7347,5,11,12637
7366,7,13,12614
7397,8,13,12582
7427,11,15,12547
7459,12,17,12512
7489,13,20,12478
7516,16,18,12450
7554,14,24,12408
7580,16,27,12377
7612,20,24,12344
7638,16,30,12316
7656,14,29,12301
7684,13,31,12272
7711,18,33,12238
7736,18,34,12212
7755,27,34,12184
7789,26,37,12148
7817,24,37,12122
7835,28,42,12095
7857,30,36,12077
7880,27,42,12051
7898,31,45,12026
7907,37,47,12009
7931,28,51,11990
7956,38,52,11954
7984,41,61,11914
7998,50,67,11885
8020,51,81,11848
8019,60,89,11832
8005,69,100,11826
7999,69,115,11817
8002,87,121,11790
8009,82,128,11781
7997,94,142,11767
7988,101,167,11744
7967,121,177,11735
7947,123,193,11737
7902,148,217,11733
7873,157,244,11726
7806,204,274,11716
7763,208,308,11721
7715,212,339,11734
7646,230,363,11761
7578,256,388,11778
7483,286,428,11803
7417,314,452,11817
7312,343,507,11838
7186,381,558,11875
7065,408,601,11926
6911,447,668,11974
6766,466,720,12048
6616,466,807,12111
6453,490,862,12195
6271,538,904,12287
6073,565,1004,12358
5868,590,1095,12447
5666,628,1143,12563
5462,642,1218,12678
5228,657,1310,12805
4979,690,1375,12956
4756,711,1431,13102
4519,719,1507,13255
4331,687,1552,13430
4108,692,1599,13601
3909,677,1651,13763
3690,679,1681,13950
3468,705,1699,14128
3287,667,1711,14335
3125,634,1696,14545
2967,607,1673,14753
2827,586,1668,14919
2707,551,1642,15100
2580,535,1614,15271
2496,463,1594,15447
2400,456,1560,15584
2345,402,1515,15738
2271,395,1458,15876
2207,356,1437,16000
2188,318,1352,16142
2139,325,1272,16264
2123,310,1221,16346
2090,279,1196,16435
2085,260,1147,16508
2097,232,1075,16596
2103,236,1011,16650
2112,222,959,16707
2091,233,906,16770
2104,209,869,16818
2088,212,826,16874
2097,196,809,16898
2103,195,769,16933
2138,168,762,16932
2141,178,731,16950
2168,162,692,16978
2192,162,655,16991
2238,137,618,17007
2262,142,576,17020
2308,127,537,17028
2353,126,502,17019
2402,122,476,17000
2440,104,459,16997
2480,103,457,16960
2526,105,420,16949
2581,98,403,16918
2637,97,379,16887
2686,99,350,16865
2734,102,331,16833
2795,101,321,16783
2869,99,301,16731
2935,93,297,16675
2972,78,302,16648
3002,74,299,16625
3069,78,277,16576
3135,75,274,16516
3196,73,264,16467
3250,85,236,16429
3310,74,235,16381
3377,71,215,16337
3407,76,205,16312
3469,69,203,16259
3521,63,201,16215
3574,62,188,16176
3638,58,192,16112
3693,66,190,16051
3749,70,182,15999
3818,68,189,15925
3887,61,192,15860
3925,74,192,15809
3962,77,188,15773
4019,73,182,15726
4085,76,176,15663
4143,80,175,15602
4200,73,186,15541
4247,70,183,15500
4308,72,193,15427
4353,69,195,15383
4397,84,181,15338
4447,77,182,15294
4483,85,175,15257
4529,77,185,15209
4580,80,185,15155
4626,83,180,15111
4686,80,184,15050
4737,86,185,14992
4773,81,195,14951
4808,95,196,14901
4845,99,200,14856
4898,91,216,14795
4921,95,217,14767
4961,89,220,14730
4993,92,223,14692
5027,100,237,14636
5060,116,243,14581
5090,102,249,14559
5125,107,246,14522
5146,105,252,14497
5156,112,257,14475
5176,128,251,14445
5199,123,272,14406
