S,E,I,R
19972,8,15,5
19963,15,15,7
19950,25,17,8
19933,30,24,13
19908,45,29,18
19878,53,46,23
19838,73,55,34
19786,99,68,47
19721,131,89,59
19653,156,118,73
19545,197,164,94
19412,258,208,122
19250,313,278,159
19011,436,345,208
18725,559,455,261
18322,759,593,326
17822,949,814,415
17186,1251,1003,560
16455,1506,1321,718
15463,1922,1693,922
14291,2392,2127,1190
12977,2787,2723,1513
11525,3185,3338,1952
10007,3509,4048,2436
8416,3756,4790,3038
6952,3844,5484,3720
5551,3790,6127,4532
4296,3590,6718,5396
3324,3173,7156,6347
2513,2805,7366,7316
1911,2398,7404,8287
1456,1966,7321,9257
1113,1575,7156,10156
892,1240,6817,11051
730,953,6445,11872
616,743,6017,12624
518,585,5566,13331
461,449,5121,13969
431,356,4653,14560
422,279,4195,15104
428,222,3758,15592
432,190,3399,15979
437,166,3003,16394
437,143,2692,16728
448,129,2384,17039
470,110,2121,17299
483,100,1878,17539
510,99,1653,17738
551,89,1491,17869
587,88,1309,18016
624,73,1175,18128
673,65,1033,18229
714,58,891,18337
757,60,782,18401
813,47,697,18443
859,46,610,18485
908,55,535,18502
952,58,471,18519
1007,44,422,18527
1068,38,389,18505
1121,41,340,18498
1164,34,302,18500
1226,31,273,18470
1282,27,238,18453
1329,25,215,18431
1392,24,188,18396
1448,17,177,18358
1513,22,141,18324
1561,21,125,18293
1615,17,117,18251
1661,14,98,18227
1716,12,88,18184
1769,10,83,18138
1831,8,79,18082
1890,7,71,18032
1955,9,58,17978
2004,9,50,17937
2054,7,45,17894
2115,8,44,17833
2168,11,41,17780
2220,8,38,17734
2278,4,37,17681
2338,1,36,17625
2385,2,30,17583
2442,4,25,17529
2501,4,21,17474
2545,7,17,17431
2589,7,17,17387
2652,10,16,17322
2702,7,19,17272
2765,3,18,17214
2825,5,15,17155
2855,9,11,17125
2907,6,12,17075
2967,5,8,17020
3017,5,9,16969
3084,3,12,16901
3124,4,12,16860
3175,1,14,16810
3219,5,10,16766
3279,4,9,16708
3323,4,7,16666
3368,2,8,16622
3423,1,9,16567
3468,1,9,16522
3504,2,6,16488
3549,2,6,16443
3597,3,6,16394
3650,3,5,16342
3699,4,5,16292
3747,1,7,16245
3791,1,7,16201
3846,0,7,16147
3887,2,6,16105
3931,3,6,16060
3975,2,6,16017
4020,2,8,15970
4070,1,7,15922
4114,2,4,15880
4154,2,3,15841
4202,2,3,15793
4244,3,3,15750
4281,3,4,15712
4325,2,3,15670
4361,4,2,15633
4399,3,4,15594
4451,4,6,15539
4496,3,7,15494
4539,5,7,15449
4587,4,6,15403
4636,3,7,15354
4665,3,9,15323
4705,2,10,15283
4746,2,11,15241
4791,3,10,15196
4831,5,9,15155
4869,7,8,15116
4905,9,10,15076
4951,6,14,15029
4979,10,10,15001
5019,6,14,14961
5055,5,14,14926
5098,3,17,14882
5141,5,18,14836
5177,6,16,14801
5217,5,16,14762
5252,12,11,14725
5285,9,13,14693
5337,5,18,14640
5375,9,17,14599
5409,8,19,14564
5438,9,19,14534
5478,15,18,14489
5516,20,21,14443
5544,21,24,14411
5572,16,30,14382
5608,14,35,14343
5650,13,40,14297
5678,14,41,14267
5702,13,43,14242
