S,E,I,R
19969,11,13,7
19957,20,13,10
19945,24,20,11
19927,30,29,14
19900,48,29,23
19861,71,39,29
19824,82,58,36
19764,107,79,50
19678,147,108,67
19570,200,137,93
19448,251,180,121
19296,309,238,157
19075,418,319,188
18789,536,431,244
18435,690,561,314
17969,903,724,404
17393,1134,946,527
16665,1444,1220,671
15769,1803,1564,864
14663,2213,1998,1126
13463,2583,2526,1428
11968,3076,3149,1807
10488,3418,3820,2274
8892,3718,4582,2808
7348,3873,5307,3472
5934,3866,5925,4275
4658,3688,6532,5122
3590,3377,7009,6024
2719,3027,7319,6935
2064,2565,7519,7852
1577,2126,7435,8862
1202,1692,7306,9800
944,1311,7035,10710
762,1040,6612,11586
623,808,6177,12392
537,622,5725,13116
478,467,5235,13820
447,368,4743,14442
430,306,4305,14959
419,239,3849,15493
403,206,3456,15935
428,182,3087,16303
439,141,2755,16665
458,124,2422,16996
487,111,2153,17249
515,113,1883,17489
535,106,1683,17676
560,96,1492,17852
579,89,1317,18015
612,87,1164,18137
654,65,1043,18238
706,64,925,18305
752,65,832,18351
815,55,727,18403
874,54,656,18416
914,56,574,18456
953,43,512,18492
1009,37,447,18507
1072,35,398,18495
1118,31,347,18504
1175,24,310,18491
1232,22,268,18478
1302,27,231,18440
1356,28,209,18407
1418,27,178,18377
1461,24,155,18360
1510,26,141,18323
1562,28,127,18283
1619,20,126,18235
1670,21,111,18198
1720,18,97,18165
1771,15,94,18120
1831,16,88,18065
1881,14,81,18024
1942,13,69,17976
1993,19,63,17925
2066,14,63,17857
2113,14,60,17813
2166,14,61,17759
2219,14,55,17712
2277,11,54,17658
2350,9,51,17590
2401,12,51,17536
2455,12,48,17485
2506,16,44,17434
2572,15,40,17373
2639,10,38,17313
2692,6,39,17263
2729,10,34,17227
2774,10,32,17184
2832,11,25,17132
2872,10,25,17093
2916,11,24,17049
2957,7,24,17012
3002,6,22,16970
3045,6,18,16931
3093,6,14,16887
3136,6,13,16845
3170,5,16,16809
3206,6,16,16772
3237,7,16,16740
3289,7,16,16688
3347,9,13,16631
3398,9,13,16580
3434,4,15,16547
3478,6,15,16501
3521,6,17,16456
3557,4,19,16420
3608,7,14,16371
3663,3,18,16316
3710,5,14,16271
3762,6,13,16219
3818,5,13,16164
3877,7,13,16103
3924,7,14,16055
3960,8,14,16018
4005,7,16,15972
4053,6,13,15928
4097,7,14,15882
4147,4,12,15837
4194,5,12,15789
4243,7,9,15741
4294,6,10,15690
4327,5,12,15656
4371,4,11,15614
4425,6,8,15561
4468,5,9,15518
4506,2,11,15481
4543,4,10,15443
4585,4,11,15400
4622,5,10,15363
4677,5,10,15308
4723,5,8,15264
4775,4,10,15211
4816,4,13,15167
4855,3,10,15132
4898,4,11,15087
4941,4,8,15047
4993,2,9,14996
5047,0,11,14942
5096,2,11,14891
