S,E,I,R
19963,17,16,4
19951,24,20,5
19936,29,25,10
19914,42,30,14
19887,58,32,23
19850,70,52,28
19808,86,71,35
19750,115,84,51
19684,138,111,67
19582,191,141,86
19448,243,200,109
19252,358,233,157
19034,432,336,198
18754,540,460,246
18415,668,593,324
17934,909,730,427
17320,1170,968,542
16603,1454,1265,678
15666,1829,1594,911
14562,2269,2024,1145
13312,2645,2587,1456
11866,3134,3112,1888
10357,3449,3861,2333
8775,3728,4576,2921
7239,3897,5270,3594
5822,3894,5898,4386
4560,3690,6527,5223
3486,3347,7098,6069
2640,2926,7383,7051
1972,2518,7463,8047
1495,2073,7405,9027
1146,1663,7200,9991
887,1293,6910,10910
733,996,6530,11741
643,775,6068,12514
557,608,5611,13224
506,482,5162,13850
462,405,4645,14488
443,310,4208,15039
413,254,3783,15550
415,205,3411,15969
419,189,3026,16366
442,160,2711,16687
455,142,2458,16945
485,125,2190,17200
499,106,1996,17399
536,84,1796,17584
566,93,1565,17776
612,70,1394,17924
658,58,1220,18064
700,67,1077,18156
739,56,966,18239
784,59,864,18293
832,51,767,18350
875,55,677,18393
925,38,612,18425
967,48,539,18446
1028,42,489,18441
1081,33,449,18437
1125,34,398,18443
1173,33,345,18449
1220,37,302,18441
1269,41,269,18421
1315,35,248,18402
1379,32,222,18367
1432,29,202,18337
1486,30,174,18310
1540,24,164,18272
1598,24,142,18236
1648,24,121,18207
1700,24,101,18175
1749,23,87,18141
1810,17,81,18092
1866,16,71,18047
1908,20,71,18001
1964,15,67,17954
2018,7,59,17916
2070,9,46,17875
2122,8,42,17828
2174,14,32,17780
2213,13,32,17742
2279,13,33,17675
2342,12,32,17614
2399,9,30,17562
2450,9,31,17510
2517,10,31,17442
2579,8,30,17383
2632,7,26,17335
2673,9,28,17290
2729,7,28,17236
2774,9,23,17194
2838,6,26,17130
2900,7,25,17068
2952,5,25,17018
3000,9,24,16967
3049,8,25,16918
3095,10,25,16870
3128,14,20,16838
3172,13,23,16792
3226,10,24,16740
3275,8,26,16691
3314,8,26,16652
3363,7,27,16603
3417,7,24,16552
3465,8,22,16505
3520,6,18,16456
3562,6,18,16414
3622,5,19,16354
3664,8,17,16311
3722,4,21,16253
3768,8,18,16206
3807,10,20,16163
3851,7,24,16118
3903,7,24,16066
3943,6,23,16028
3976,3,22,15999
4022,4,18,15956
4066,4,10,15920
4105,5,8,15882
4144,4,8,15844
4203,5,6,15786
4249,3,8,15740
4303,3,9,15685
4351,5,9,15635
4386,4,12,15598
4425,5,11,15559
4473,3,13,15511
4520,2,13,15465
4564,5,12,15419
4605,6,11,15378
4644,7,8,15341
4686,4,9,15301
4731,3,9,15257
4767,1,11,15221
4808,3,7,15182
4854,5,6,15135
4895,5,7,15093
4938,4,8,15050
4987,2,10,15001
5034,1,10,14955
5076,4,9,14911
5117,5,7,14871
5158,5,8,14829
5208,7,6,14779
5250,6,6,14738
5297,5,7,14691
5333,3,10,14654
5380,2,10,14608
5411,3,9,14577
5459,0,8,14533
5505,1,5,14489
5545,1,5,14449
5595,3,6,14396
5631,2,7,14360
5655,2,6,14337
5686,2,6,14306
5729,2,4,14265
5774,2,5,14219
5810,4,5,14181
5840,3,6,14151
5871,4,4,14121
5909,2,5,14084
5949,1,6,14044
5985,3,5,14007
6024,4,7,13965
6059,4,9,13928
6090,4,11,13895
6119,5,12,13864
6156,6,13,13825
6193,8,13,13786
6222,5,15,13758
6262,6,15,13717
6306,8,14,13672
6337,8,14,13641
6369,10,16,13605
6405,9,17,13569
6429,12,13,13546
6466,8,18,13508
6508,6,19,13467
6544,9,18,13429
6571,10,19,13400
6596,11,17,13376
6633,9,18,13340
6671,13,20,13296
6687,17,23,13273
6710,17,24,13249
6734,21,29,13216
6771,17,35,13177
6789,26,37,13148
6814,24,48,13114
6841,28,48,13083
6865,25,56,13054
6883,30,51,13036
6899,34,61,13006
6919,39,63,12979
6940,36,63,12961
6969,38,64,12929
6991,37,63,12909
7007,45,62,12886
7029,45,66,12860
7046,52,71,12831
7064,52,77,12807
7088,50,87,12775
7104,46,100,12750
7105,50,106,12739
7119,59,108,12714
7118,68,119,12695
7124,78,126,12672
7127,76,139,12658
7130,79,156,12635
7122,84,170,12624
7112,101,185,12602
7089,107,197,12607
7052,133,212,12603
7032,145,228,12595
7013,160,232,12595
6999,147,257,12597
6953,166,279,12602
6904,196,299,12601
6876,180,335,12609
6836,198,348,12618
6768,216,384,12632
6697,238,425,12640
6656,245,457,12642
6562,272,495,12671
6480,291,515,12714
6388,314,556,12742
6274,321,616,12789
6167,358,657,12818
6055,358,701,12886
5938,375,734,12953
5799,408,763,13030
5697,374,825,13104
5566,404,849,13181
5441,416,878,13265
5269,451,924,13356
5130,465,957,13448
4978,494,984,13544
4844,493,1003,13660
4690,507,1033,13770
4542,513,1069,13876
4425,501,1090,13984
4290,490,1142,14078
4164,484,1165,14187
4046,471,1186,14297
3913,472,1183,14432
3798,469,1148,14585
3692,444,1168,14696
3592,442,1157,14809
3523,438,1155,14884
3412,435,1164,14989
3304,427,1184,15085
3208,431,1156,15205
3128,405,1142,15325
3076,392,1133,15399
2997,374,1129,15500
2926,378,1098,15598
2867,351,1098,15684
2822,331,1063,15784
2782,301,1065,15852
2744,289,1026,15941
2721,290,966,16023
2701,286,929,16084
2675,272,935,16118
2661,252,909,16178
2660,238,884,16218
2646,238,859,16257
2635,235,836,16294
2625,252,795,16328
2604,256,776,16364
2603,242,767,16388
2592,245,759,16404
2619,224,735,16422
2609,219,715,16457
2609,205,709,16477
2617,205,708,16470
2632,195,697,16476
2650,182,659,16509
2659,186,628,16527
2691,183,582,16544
2689,181,570,16560
2698,182,560,16560
2714,172,550,16564
2749,161,552,16538
2779,170,521,16530
2822,163,515,16500
2864,167,488,16481
2897,151,484,16468
2928,145,477,16450
2961,139,469,16431
3008,118,459,16415
3029,128,426,16417
3070,117,416,16397
3104,127,399,16370
3135,119,401,16345
3204,115,404,16277
