S,E,I,R
19973,7,16,4
19956,23,15,6
19941,26,24,9
19916,37,36,11
19894,45,41,20
19859,60,52,29
19810,84,71,35
19753,113,79,55
19689,140,104,67
19587,181,151,81
19445,247,207,101
19262,335,278,125
19089,392,352,167
18795,536,446,223
18422,703,582,293
17935,893,782,390
17290,1207,974,529
16531,1492,1280,697
15610,1849,1631,910
14507,2241,2102,1150
13208,2666,2617,1509
11756,3100,3232,1912
10269,3446,3855,2430
8694,3699,4606,3001
7157,3834,5337,3672
5824,3691,5991,4494
4533,3604,6581,5282
3468,3311,7025,6196
2640,2903,7268,7189
1989,2480,7399,8132
1528,2027,7341,9104
1183,1641,7105,10071
934,1330,6766,10970
739,1095,6356,11810
635,793,6011,12561
540,635,5561,13264
486,483,5112,13919
458,374,4615,14553
447,281,4182,15090
451,221,3759,15569
446,175,3422,15957
446,149,3050,16355
471,128,2730,16671
499,128,2426,16947
518,117,2176,17189
535,124,1927,17414
575,102,1705,17618
595,80,1526,17799
633,65,1366,17936
663,65,1231,18041
691,67,1065,18177
744,58,942,18256
790,69,810,18331
835,60,716,18389
877,54,628,18441
926,53,548,18473
966,41,491,18502
1000,36,447,18517
1049,44,389,18518
1106,43,333,18518
1172,49,301,18478
1227,44,264,18465
1278,38,250,18434
1339,29,235,18397
1400,29,210,18361
1455,34,185,18326
1508,40,166,18286
1570,28,159,18243
1630,27,152,18191
1679,31,139,18151
1737,27,127,18109
1773,23,116,18088
1819,19,106,18056
1870,20,94,18016
1915,18,90,17977
1971,18,80,17931
2036,9,82,17873
2085,6,79,17830
2129,12,70,17789
2191,14,63,17732
2236,18,53,17693
2283,12,55,17650
2333,13,53,17601
2394,11,49,17546
2454,11,42,17493
2494,8,42,17456
2541,8,39,17412
2617,8,35,17340
2668,11,36,17285
2714,13,30,17243
2773,11,29,17187
2811,12,30,17147
2849,8,34,17109
2891,6,33,17070
2947,6,27,17020
3010,7,24,16959
3046,11,21,16922
3077,8,25,16890
3121,9,24,16846
3165,10,22,16803
3212,6,23,16759
3261,5,23,16711
3310,5,23,16662
3348,7,23,16622
3391,8,21,16580
3426,9,20,16545
3474,9,19,16498
3516,10,18,16456
3555,9,22,16414
3607,9,22,16362
3660,5,21,16314
3711,2,21,16266
3747,8,20,16225
3782,5,21,16192
3836,4,17,16143
3888,5,15,16092
3932,5,15,16048
3984,5,14,15997
4026,4,13,15957
4064,5,14,15917
4102,4,16,15878
4141,4,14,15841
4174,7,12,15807
4236,7,9,15748
4278,6,10,15706
4308,4,9,15679
4360,3,7,15630
4393,6,8,15593
4429,7,11,15553
4470,8,14,15508
4518,8,11,15463
4574,5,15,15406
4627,3,14,15356
4685,5,13,15297
4734,4,10,15252
4779,2,13,15206
4819,3,13,15165
4868,6,13,15113
4910,4,14,15072
4937,3,16,15044
4972,5,16,15007
5005,6,19,14970
5044,6,16,14934
5085,9,17,14889
5127,5,20,14848
5160,9,17,14814
5200,9,17,14774
5239,12,15,14734
5283,13,17,14687
5323,11,16,14650
5354,10,19,14617
5387,10,20,14583
5416,13,18,14553
5461,8,25,14506
5491,11,25,14473
5524,13,23,14440
5573,16,23,14388
5607,12,26,14355
5622,16,27,14335
5657,14,29,14300
5680,23,27,14270
5714,18,34,14234
5756,12,37,14195
5784,18,33,14165
5813,25,33,14129
5834,20,44,14102
5860,25,43,14072
5885,20,44,14051
5924,26,44,14006
5948,24,49,13979
5968,22,52,13958
6005,23,50,13922
6032,26,54,13888
6055,33,55,13857
6076,30,62,13832
6100,32,67,13801
6120,43,61,13776
6160,42,61,13737
6191,37,72,13700
6207,44,81,13668
6218,54,91,13637
6230,61,92,13617
6257,51,99,13593
6270,67,101,13562
6281,64,111,13544
6297,70,118,13515
6309,69,127,13495
6324,75,135,13466
6335,82,144,13439
6335,98,144,13423
6332,96,167,13405
6335,96,184,13385
6328,96,202,13374
6304,126,202,13368
6290,128,219,13363
6290,130,239,13341
6255,157,247,13341
6227,170,260,13343
6195,181,288,13336
6160,187,319,13334
6121,190,353,13336
6074,213,357,13356
6062,206,386,13346
5997,223,403,13377
5948,217,440,13395
5888,254,449,13409
5827,259,474,13440
5773,252,513,13462
5713,276,514,13497
5639,277,551,13533
5548,292,584,13576
5450,294,633,13623
5376,307,655,13662
5299,303,696,13702
5183,340,709,13768
5085,354,719,13842
4987,358,766,13889
4858,382,809,13951
4754,394,844,14008
4649,383,881,14087
4569,365,886,14180
4448,410,879,14263
4344,411,892,14353
4252,412,898,14438
4150,402,919,14529
4056,373,963,14608
3962,377,968,14693
3854,385,968,14793
3776,392,994,14838
3677,389,980,14954
3617,352,982,15049
3562,327,1005,15106
3488,334,990,15188
3427,343,942,15288
3352,352,937,15359
3286,333,925,15456
3243,317,897,15543
3199,298,899,15604
3158,298,900,15644
3120,285,887,15708
3071,275,881,15773
3027,274,864,15835
2994,244,868,15894
2964,255,784,15997
2943,260,765,16032
2920,259,756,16065
2910,246,742,16102
2907,218,722,16153
2921,205,698,16176
2915,206,669,16210
2891,218,645,16246
2902,211,629,16258
2898,210,624,16268
2902,208,625,16265
2898,197,626,16279
2888,197,629,16286
2909,182,614,16295
2915,183,587,16315
2908,181,569,16342
2916,173,567,16344
2917,179,575,16329
2924,183,555,16338
2943,163,545,16349
2950,182,527,16341
2969,165,518,16348
3007,152,508,16333
3050,149,495,16306
3069,161,488,16282
3094,153,497,16256
3135,152,481,16232
3158,143,476,16223
3174,145,475,16206
3214,129,448,16209
3245,125,432,16198
3285,132,412,16171
3327,120,409,16144
3360,125,402,16113
3379,141,371,16109
3400,136,366,16098
3436,144,359,16061
3488,126,367,16019
3519,118,355,16008
3529,136,360,15975
3582,120,364,15934
3613,129,359,15899
3646,132,345,15877
3700,131,343,15826
3730,125,351,15794
3771,120,344,15765
3825,115,331,15729
3865,120,336,15679
3887,132,336,15645
3921,127,348,15604
3938,129,344,15589
3953,144,336,15567
3986,130,341,15543
4027,125,340,15508
4055,139,347,15459
4078,144,347,15431
4103,159,357,15381
4132,150,372,15346
4162,150,376,15312
4181,146,402,15271
4202,149,395,15254
4228,152,388,15232
4268,150,379,15203
4284,148,383,15185
4287,168,386,15159
4319,156,392,15133
4353,150,391,15106
4369,164,382,15085
4395,156,384,15065
4392,168,389,15051
4417,160,417,15006
4424,175,404,14997
4429,188,418,14965
4445,178,412,14965
4448,180,429,14943
4461,178,438,14923
4458,184,432,14926
4454,197,442,14907
4449,194,450,14907
4425,215,467,14893
4423,213,494,14870
4423,210,498,14869
4453,199,512,14836
4461,201,511,14827
4451,206,526,14817
4430,236,505,14829
4420,244,502,14834
4400,226,531,14843
4386,245,534,14835
4402,210,562,14826
4376,231,561,14832
4343,243,565,14849
4324,261,581,14834
4322,259,586,14833
4317,259,604,14820
4320,260,613,14807
4307,245,638,14810
4270,253,641,14836
4275,266,600,14859
4255,263,618,14864
4237,259,618,14886
4248,245,631,14876
4238,227,650,14885
4223,247,658,14872
4206,239,666,14889
4173,253,678,14896
4170,248,695,14887
4153,264,686,14897
4136,255,676,14933
4125,258,684,14933
4093,284,679,14944
4089,269,678,14964
4063,273,693,14971
4031,289,686,14994
4039,279,689,14993
4049,278,695,14978
4036,284,720,14960
4045,275,725,14955
4018,273,732,14977
3987,292,742,14979
3972,286,733,15009
3940,296,722,15042
3924,281,754,15041
3883,306,738,15073
3886,281,763,15070
3846,289,752,15113
3840,259,762,15139
3824,264,756,15156
3809,264,750,15177
3807,254,751,15188
3789,286,742,15183
3770,285,756,15189
3775,278,776,15171
3749,275,774,15202
3728,292,759,15221
3732,282,754,15232
3717,289,746,15248
3719,269,743,15269
3712,273,750,15265
3686,280,742,15292
3676,284,727,15313
3679,270,721,15330
3684,262,731,15323
3675,279,714,15332
3687,281,692,15340
3687,259,705,15349
3657,272,704,15367
3651,270,701,15378
3641,266,722,15371
3642,260,700,15398
3639,262,708,15391
3648,257,711,15384
3672,240,708,15380
3678,224,723,15375
3680,231,705,15384
3707,216,689,15388
3701,224,660,15415
3723,218,658,15401
3707,235,652,15406
3721,235,659,15385
3732,233,640,15395
3759,221,650,15370
3741,241,625,15393
3736,242,642,15380
3756,226,636,15382
3760,221,634,15385
3767,221,612,15400
3769,229,630,15372
3776,225,641,15358
3770,230,644,15356
3755,256,622,15367
3745,264,623,15368
3731,259,643,15367
3728,257,645,15370
3727,265,663,15345
3711,268,651,15370
3724,254,663,15359
3755,264,646,15335
3724,268,664,15344
3724,264,682,15330
3719,253,702,15326
3696,263,692,15349
3691,269,700,15340
3687,264,705,15344
3660,254,703,15383
3625,282,701,15392
3603,288,687,15422
3627,263,700,15410
3625,260,690,15425
3618,247,718,15417
3616,248,734,15402
3597,268,736,15399
3592,268,737,15403
3565,273,722,15440
3575,259,710,15456
3576,268,704,15452
3575,260,701,15464
3599,260,685,15456
3625,248,680,15447
3619,255,685,15441
3627,253,677,15443
3612,259,668,15461
3623,253,675,15449
3581,273,680,15466
3602,244,697,15457
3601,240,712,15447
3591,245,702,15462
3603,213,695,15489
3608,220,683,15489
3631,216,675,15478
3638,227,664,15471
3616,250,638,15496
3624,211,653,15512
3625,211,658,15506
3636,224,651,15489
3652,223,635,15490
3675,221,623,15481
3685,225,610,15480
3672,240,605,15483
3690,227,624,15459
3706,226,616,15452
3718,232,604,15446
3707,242,589,15462
3722,240,617,15421
3725,227,612,15436
3706,231,627,15436
3731,213,612,15444
3736,210,599,15455
3743,198,598,15461
3741,192,585,15482
3750,196,585,15469
3749,189,585,15477
3744,189,576,15491
3739,195,572,15494
3766,181,573,15480
3772,194,544,15490
3775,217,541,15467
3777,216,553,15454
3806,213,550,15431
3813,208,540,15439
3818,225,533,15424
3835,208,529,15428
3855,223,524,15398
3864,222,544,15370
3859,214,550,15377
