S,E,I,R
19965,15,16,4
19951,24,16,9
19939,22,24,15
19917,37,28,18
19894,49,31,26
19862,57,47,34
19821,70,65,44
19772,96,76,56
19704,121,105,70
19623,175,117,85
19526,213,149,112
19397,263,209,131
19218,335,290,157
18953,448,394,205
18609,624,503,264
18215,798,645,342
17688,1032,852,428
16999,1320,1149,532
16116,1704,1483,697
15058,2086,1913,943
13830,2569,2381,1220
12446,2963,2995,1596
10983,3312,3669,2036
9402,3657,4345,2596
7785,3987,4973,3255
6330,3963,5715,3992
5026,3777,6374,4823
3914,3479,6891,5716
3007,3020,7288,6685
2281,2645,7399,7675
1706,2254,7358,8682
1300,1847,7258,9595
1045,1422,7061,10472
816,1152,6667,11365
650,906,6256,12188
536,723,5812,12929
487,534,5327,13652
446,420,4847,14287
443,294,4438,14825
415,260,3970,15355
406,227,3550,15817
396,189,3208,16207
408,139,2894,16559
430,128,2537,16905
464,91,2234,17211
493,89,1948,17470
528,91,1727,17654
557,91,1514,17838
598,83,1364,17955
624,81,1224,18071
667,77,1086,18170
714,68,968,18250
765,55,875,18305
800,44,768,18388
853,48,657,18442
900,44,588,18468
940,58,504,18498
992,53,440,18515
1049,52,398,18501
1112,39,372,18477
1147,41,331,18481
1197,40,300,18463
1256,35,278,18431
1302,24,254,18420
1353,31,234,18382
1402,23,214,18361
1455,26,200,18319
1501,33,177,18289
1569,27,167,18237
1618,28,154,18200
1670,26,138,18166
1719,27,113,18141
1775,22,115,18088
1841,24,104,18031
1883,25,103,17989
1938,25,95,17942
1995,25,84,17896
2048,26,74,17852
2100,27,68,17805
2157,22,70,17751
2208,12,71,17709
2262,11,66,17661
2311,11,64,17614
2356,12,60,17572
2410,11,55,17524
2471,9,44,17476
2505,8,42,17445
2561,8,37,17394
2622,6,32,17340
2666,4,26,17304
2731,4,22,17243
2788,4,22,17186
2845,3,17,17135
2888,6,13,17093
2932,5,14,17049
2980,4,13,17003
3037,5,11,16947
3090,3,12,16895
3139,6,12,16843
3195,4,13,16788
3240,4,13,16743
3285,3,13,16699
3343,2,11,16644
3380,4,11,16605
3428,3,9,16560
3474,3,10,16513
3532,3,9,16456
3579,5,7,16409
3620,5,7,16368
3666,3,9,16322
3703,4,9,16284
3753,4,8,16235
3791,6,8,16195
3830,4,9,16157
3879,3,8,16110
3930,3,9,16058
3975,1,9,16015
4022,3,9,15966
4069,5,7,15919
4105,5,8,15882
4157,3,9,15831
4199,2,8,15791
4243,3,8,15746
4279,6,6,15709
4332,3,9,15656
4378,0,12,15610
4429,1,11,15559
4479,1,10,15510
4521,0,9,15470
4564,3,9,15424
4591,2,7,15400
4630,3,4,15363
4682,1,6,15311
4718,1,5,15276
4759,3,3,15235
4803,3,2,15192
4839,2,3,15156
4880,2,3,15115
4913,1,4,15082
4955,1,4,15040
4997,2,4,14997
5045,2,4,14949
5091,1,3,14905
5136,0,3,14861
5180,0,3,14817
5226,0,3,14771
5263,1,3,14733
5301,1,3,14695
5341,2,3,14654
5383,1,4,14612
5414,0,5,14581
5454,1,5,14540
5492,2,4,14502
5530,1,4,14465
5575,1,4,14420
5611,2,4,14383
5656,1,5,14338
5699,1,5,14295
