S,E,I,R
19967,13,18,2
19957,20,19,4
19944,26,22,8
19914,41,32,13
19880,58,44,18
19826,90,56,28
19783,93,83,41
19722,128,91,59
19631,164,135,70
19526,208,171,95
19369,286,218,127
19175,349,313,163
18904,488,379,229
18578,617,509,296
18175,777,659,389
17607,1036,844,513
16955,1308,1087,650
16178,1607,1383,832
15252,1899,1783,1066
14135,2281,2214,1370
12770,2771,2763,1696
11267,3197,3397,2139
9731,3556,4053,2660
8283,3691,4764,3262
6820,3804,5398,3978
5431,3756,6057,4756
4293,3449,6661,5597
3354,3116,7021,6509
2586,2696,7286,7432
1966,2315,7321,8398
1522,1900,7225,9353
1224,1497,7021,10258
984,1210,6728,11078
794,958,6374,11874
691,749,5934,12626
587,608,5467,13338
535,475,4990,14000
493,387,4549,14571
461,322,4139,15078
471,254,3718,15557
472,210,3341,15977
475,188,2969,16368
516,160,2643,16681
528,151,2361,16960
559,133,2110,17198
580,106,1917,17397
595,115,1678,17612
604,115,1474,17807
637,88,1326,17949
663,87,1178,18072
696,81,1062,18161
755,72,931,18242
783,72,832,18313
829,70,743,18358
864,67,645,18424
904,49,570,18477
960,34,521,18485
1005,37,463,18495
1063,34,410,18493
1121,35,363,18481
1186,34,326,18454
1251,31,282,18436
1307,26,252,18415
1362,28,227,18383
1414,24,200,18362
1474,17,185,18324
1528,18,160,18294
1578,18,142,18262
1643,19,127,18211
1692,17,113,18178
1762,12,110,18116
1819,8,96,18077
1871,12,80,18037
1931,13,70,17986
1993,10,65,17932
2053,13,60,17874
2107,13,54,17826
2156,10,52,17782
2212,9,47,17732
2256,8,40,17696
2311,10,38,17641
2373,9,38,17580
2435,7,30,17528
2476,8,29,17487
2534,3,32,17431
2593,4,28,17375
2637,3,26,17334
2688,4,23,17285
2738,4,18,17240
2783,5,16,17196
2840,5,14,17141
2887,3,17,17093
2934,2,14,17050
2992,4,13,16991
3042,4,10,16944
3089,3,10,16898
3145,4,10,16841
3185,3,10,16802
3230,2,10,16758
3280,4,10,16706
3334,5,9,16652
3380,5,9,16606
3429,4,11,16556
3479,5,10,16506
3524,6,10,16460
3571,4,12,16413
3618,5,11,16366
3655,6,12,16327
3694,6,12,16288
3732,8,12,16248
3778,6,13,16203
3821,7,11,16161
3864,5,11,16120
3911,2,14,16073
3951,2,14,16033
3987,5,10,15998
4034,5,10,15951
4064,5,6,15925
4110,4,5,15881
4159,3,4,15834
4191,4,4,15801
4235,2,4,15759
4287,4,3,15706
4337,3,5,15655
4372,2,5,15621
4411,2,6,15581
4468,2,5,15525
4513,2,5,15480
4562,2,5,15431
4605,2,6,15387
4644,1,7,15348
4686,1,6,15307
4732,0,6,15262
4771,3,6,15220
4818,1,5,15176
4849,2,5,15144
4882,1,4,15113
4918,0,5,15077
4961,1,3,15035
5001,1,2,14996
5036,0,3,14961
5083,0,2,14915
5124,1,2,14873
5160,1,2,14837
5205,1,2,14792
5235,2,2,14761
5280,1,3,14716
5320,1,2,14677
5366,0,3,14631
5409,1,3,14587
5438,1,3,14558
5473,1,3,14523
5519,0,2,14479
5548,0,2,14450
5594,1,2,14403
5639,1,0,14360
5680,0,1,14319
5726,0,1,14273
5765,0,0,14235
5800,0,0,14200
5837,0,0,14163
5876,0,0,14124
5916,0,0,14084
5954,0,0,14046
5989,0,0,14011
6028,0,0,13972
6071,0,0,13929
6113,0,0,13887
6144,0,0,13856
6186,0,0,13814
6229,0,0,13771
6261,0,0,13739
6299,0,0,13701
6344,0,0,13656
6375,0,0,13625
6412,0,0,13588
6445,0,0,13555
6477,0,0,13523
6510,0,0,13490
6541,0,0,13459
6582,0,0,13418
6614,0,0,13386
6647,0,0,13353
6686,0,0,13314
6722,0,0,13278
6757,0,0,13243
6798,0,0,13202
6830,0,0,13170
6864,0,0,13136
6905,0,0,13095
6932,0,0,13068
6959,0,0,13041
6993,0,0,13007
7031,0,0,12969
7069,0,0,12931
7102,0,0,12898
7147,0,0,12853
7175,0,0,12825
7217,0,0,12783
7251,0,0,12749
7284,0,0,12716
7320,0,0,12680
7355,0,0,12645
7386,0,0,12614
7414,0,0,12586
7444,0,0,12556
7491,0,0,12509
7513,0,0,12487
7543,0,0,12457
7579,0,0,12421
7605,0,0,12395
7646,0,0,12354
7675,0,0,12325
7702,0,0,12298
7729,0,0,12271
7759,0,0,12241
7790,0,0,12210
7817,0,0,12183
7859,0,0,12141
7896,0,0,12104
7937,0,0,12063
7972,0,0,12028
8004,0,0,11996
8043,0,0,11957
8077,0,0,11923
8105,0,0,11895
8139,0,0,11861
8165,0,0,11835
8193,0,0,11807
8223,0,0,11777
8252,0,0,11748
8280,0,0,11720
8303,0,0,11697
8342,0,0,11658
8380,0,0,11620
8411,0,0,11589
8446,0,0,11554
8475,0,0,11525
8503,0,0,11497
8531,0,0,11469
8573,0,0,11427
8609,0,0,11391
8632,0,0,11368
8669,0,0,11331
8698,0,0,11302
8724,0,0,11276
8755,0,0,11245
8784,0,0,11216
8810,0,0,11190
8842,0,0,11158
8877,0,0,11123
8912,0,0,11088
8942,0,0,11058
8976,0,0,11024
9007,0,0,10993
9039,0,0,10961
9058,0,0,10942
9087,0,0,10913
9117,0,0,10883
9145,0,0,10855
9175,0,0,10825
9218,0,0,10782
9244,0,0,10756
9281,0,0,10719
9322,0,0,10678
9352,0,0,10648
9382,0,0,10618
9416,0,0,10584
9445,0,0,10555
9472,0,0,10528
9502,0,0,10498
9528,0,0,10472
9548,0,0,10452
9579,0,0,10421
9606,0,0,10394
9631,0,0,10369
9658,0,0,10342
9692,0,0,10308
9722,0,0,10278
9758,0,0,10242
9786,0,0,10214
9806,0,0,10194
9840,0,0,10160
9869,0,0,10131
9907,0,0,10093
9935,0,0,10065
9969,0,0,10031
9993,0,0,10007
10020,0,0,9980
10046,0,0,9954
10071,0,0,9929
10096,0,0,9904
10120,0,0,9880
10156,0,0,9844
10181,0,0,9819
10203,0,0,9797
10227,0,0,9773
10248,0,0,9752
10274,0,0,9726
10298,0,0,9702
10328,0,0,9672
10351,0,0,9649
10377,0,0,9623
10402,0,0,9598
10421,0,0,9579
10448,0,0,9552
10475,0,0,9525
10498,0,0,9502
10536,0,0,9464
10559,0,0,9441
10585,0,0,9415
10601,0,0,9399
10624,0,0,9376
10647,0,0,9353
10673,0,0,9327
10700,0,0,9300
10726,0,0,9274
10751,0,0,9249
10777,0,0,9223
10805,0,0,9195
10825,0,0,9175
10844,0,0,9156
10873,0,0,9127
10893,0,0,9107
10917,0,0,9083
10939,0,0,9061
10976,0,0,9024
11009,0,0,8991
11031,0,0,8969
11062,0,0,8938
11088,0,0,8912
11110,0,0,8890
11146,0,0,8854
11172,0,0,8828
11193,0,0,8807
11216,0,0,8784
11233,0,0,8767
11258,0,0,8742
11286,0,0,8714
11311,0,0,8689
11342,0,0,8658
11368,0,0,8632
11390,0,0,8610
11409,0,0,8591
11440,0,0,8560
11460,0,0,8540
11483,0,0,8517
11496,0,0,8504
11514,0,0,8486
11536,0,0,8464
11551,0,0,8449
11573,0,0,8427
11599,0,0,8401
11620,0,0,8380
11647,0,0,8353
11677,0,0,8323
11698,0,0,8302
11725,0,0,8275
11747,0,0,8253
11773,0,0,8227
11799,0,0,8201
11814,0,0,8186
11842,0,0,8158
11858,0,0,8142
11878,0,0,8122
11900,0,0,8100
11925,0,0,8075
11950,0,0,8050
11966,0,0,8034
11988,0,0,8012
12004,0,0,7996
12016,0,0,7984
12036,0,0,7964
12055,0,0,7945
12073,0,0,7927
12096,0,0,7904
12123,0,0,7877
12144,0,0,7856
12172,0,0,7828
12203,0,0,7797
12225,0,0,7775
12244,0,0,7756
12270,0,0,7730
12293,0,0,7707
12315,0,0,7685
12342,0,0,7658
12368,0,0,7632
12401,0,0,7599
12417,0,0,7583
12439,0,0,7561
12464,0,0,7536
12481,0,0,7519
12500,0,0,7500
12528,0,0,7472
12546,0,0,7454
12565,0,0,7435
12581,0,0,7419
12603,0,0,7397
12615,0,0,7385
12638,0,0,7362
12660,0,0,7340
12684,0,0,7316
12703,0,0,7297
12723,0,0,7277
12737,0,0,7263
12758,0,0,7242
12775,0,0,7225
12790,0,0,7210
12808,0,0,7192
12823,0,0,7177
12835,0,0,7165
12846,0,0,7154
12865,0,0,7135
12887,0,0,7113
12909,0,0,7091
12931,0,0,7069
12952,0,0,7048
12969,0,0,7031
12988,0,0,7012
13012,0,0,6988
13036,0,0,6964
13056,0,0,6944
13066,0,0,6934
13087,0,0,6913
13102,0,0,6898
13126,0,0,6874
13145,0,0,6855
13167,0,0,6833
13178,0,0,6822
13189,0,0,6811
13212,0,0,6788
13230,0,0,6770
13252,0,0,6748
13269,0,0,6731
13292,0,0,6708
13305,0,0,6695
13322,0,0,6678
13342,0,0,6658
13362,0,0,6638
13386,0,0,6614
13402,0,0,6598
13423,0,0,6577
13437,0,0,6563
13459,0,0,6541
13481,0,0,6519
13507,0,0,6493
13532,0,0,6468
13554,0,0,6446
13575,0,0,6425
13590,0,0,6410
13611,0,0,6389
13628,0,0,6372
13641,0,0,6359
13658,0,0,6342
13675,0,0,6325
13696,0,0,6304
13710,0,0,6290
13728,0,0,6272
13742,0,0,6258
13758,0,0,6242
13769,0,0,6231
13789,0,0,6211
13806,0,0,6194
13823,0,0,6177
13829,0,0,6171
13841,0,0,6159
13855,0,0,6145
13872,0,0,6128
13892,0,0,6108
13906,0,0,6094
13927,0,0,6073
13943,0,0,6057
13964,0,0,6036
13981,0,0,6019
13998,0,0,6002
14018,0,0,5982
14040,0,0,5960
14058,0,0,5942
14071,0,0,5929
14079,0,0,5921
14093,0,0,5907
14111,0,0,5889
14127,0,0,5873
14136,0,0,5864
14161,0,0,5839
14178,0,0,5822
14202,0,0,5798
14218,0,0,5782
14239,0,0,5761
14254,0,0,5746
14268,0,0,5732
14284,0,0,5716
14301,0,0,5699
14315,0,0,5685
14330,0,0,5670
14346,0,0,5654
14365,0,0,5635
14379,0,0,5621
14397,0,0,5603
14411,0,0,5589
14431,0,0,5569
14443,0,0,5557
14458,0,0,5542
14472,0,0,5528
14491,0,0,5509
14502,0,0,5498
14515,0,0,5485
14526,0,0,5474
14537,0,0,5463
14548,0,0,5452
14558,0,0,5442
14571,0,0,5429
14587,0,0,5413
14603,0,0,5397
14617,0,0,5383
14630,0,0,5370
14642,0,0,5358
14657,0,0,5343
14666,0,0,5334
14680,0,0,5320
14697,0,0,5303
14707,0,0,5293
14716,0,0,5284
14726,0,0,5274
14746,0,0,5254
14762,0,0,5238
14776,0,0,5224
14793,0,0,5207
14811,0,0,5189
14825,0,0,5175
14839,0,0,5161
14855,0,0,5145
14868,0,0,5132
14881,0,0,5119
14889,0,0,5111
14906,0,0,5094
14926,0,0,5074
14944,0,0,5056
14955,0,0,5045
14970,0,0,5030
14983,0,0,5017
14998,0,0,5002
15016,0,0,4984
15030,0,0,4970
15050,0,0,4950
15067,0,0,4933
15072,0,0,4928
15082,0,0,4918
15103,0,0,4897
15121,0,0,4879
15133,0,0,4867
15145,0,0,4855
15157,0,0,4843
15171,0,0,4829
15187,0,0,4813
15202,0,0,4798
15210,0,0,4790
15222,0,0,4778
15235,0,0,4765
15253,0,0,4747
15271,0,0,4729
15284,0,0,4716
15308,0,0,4692
15325,0,0,4675
15340,0,0,4660
15354,0,0,4646
15369,0,0,4631
15389,0,0,4611
15404,0,0,4596
15420,0,0,4580
15429,0,0,4571
15444,0,0,4556
15455,0,0,4545
15457,0,0,4543
15475,0,0,4525
15488,0,0,4512
15501,0,0,4499
15518,0,0,4482
15531,0,0,4469
15539,0,0,4461
15553,0,0,4447
15563,0,0,4437
15577,0,0,4423
15584,0,0,4416
15599,0,0,4401
15611,0,0,4389
15622,0,0,4378
15635,0,0,4365
15646,0,0,4354
15658,0,0,4342
15671,0,0,4329
15680,0,0,4320
15695,0,0,4305
15708,0,0,4292
15721,0,0,4279
