S,E,I,R
19962,18,19,1
19947,27,23,3
19932,31,32,5
19901,55,32,12
19862,74,45,19
19827,82,64,27
19778,101,80,41
19709,127,105,59
19621,169,135,75
19503,224,175,98
19364,282,228,126
19171,376,291,162
18907,505,377,211
18583,653,492,272
18149,829,672,350
17544,1136,867,453
16842,1416,1145,597
15982,1775,1468,775
14953,2102,1937,1008
13701,2527,2457,1315
12341,2988,2953,1718
10839,3347,3637,2177
9265,3690,4309,2736
7767,3758,5053,3422
6308,3841,5700,4151
5003,3708,6355,4934
3879,3463,6819,5839
2965,3082,7183,6770
2247,2674,7346,7733
1715,2253,7314,8718
1320,1837,7206,9637
1022,1442,6982,10554
841,1114,6661,11384
693,875,6252,12180
574,698,5809,12919
505,537,5373,13585
454,429,4899,14218
433,334,4509,14724
399,282,4031,15288
412,222,3597,15769
397,190,3221,16192
420,157,2876,16547
437,138,2525,16900
454,129,2278,17139
486,116,2000,17398
504,120,1741,17635
536,107,1543,17814
579,91,1374,17956
630,70,1222,18078
675,67,1095,18163
707,66,942,18285
747,56,850,18347
802,48,767,18383
849,45,671,18435
894,48,613,18445
930,53,542,18475
986,53,484,18477
1055,48,441,18456
1107,49,402,18442
1154,56,356,18434
1215,51,307,18427
1282,39,284,18395
1331,36,260,18373
1376,31,242,18351
1412,32,215,18341
1461,28,202,18309
1501,24,186,18289
1565,23,151,18261
1613,26,127,18234
1668,20,122,18190
1713,19,110,18158
1763,17,99,18121
1819,9,92,18080
1888,11,76,18025
1935,10,69,17986
1981,13,66,17940
2031,12,58,17899
2079,10,57,17854
2130,12,50,17808
2188,14,49,17749
2250,13,47,17690
2306,11,48,17635
2367,7,46,17580
2418,7,43,17532
2465,5,40,17490
2526,3,33,17438
2578,4,29,17389
2642,5,28,17325
2701,7,21,17271
2759,8,21,17212
2808,9,20,17163
2858,11,22,17109
2909,9,21,17061
2956,8,19,17017
3023,8,18,16951
3067,10,16,16907
3122,11,16,16851
3166,8,18,16808
3212,4,21,16763
3243,7,19,16731
3281,7,21,16691
3323,10,22,16645
3373,5,24,16598
3428,5,21,16546
3479,7,20,16494
3516,7,21,16456
3565,7,19,16409
3622,7,15,16356
3676,6,13,16305
3724,7,14,16255
3778,3,15,16204
3829,1,15,16155
3874,4,13,16109
3925,3,10,16062
3972,5,11,16012
4017,8,11,15964
4059,5,16,15920
4104,4,15,15877
4149,3,16,15832
4192,7,15,15786
4233,6,16,15745
4269,8,17,15706
4313,6,18,15663
4355,7,14,15624
4397,7,13,15583
4443,4,14,15539
4496,5,13,15486
4531,4,16,15449
4568,6,15,15411
4604,7,15,15374
4637,7,12,15344
4684,4,15,15297
4729,6,12,15253
4773,8,12,15207
4812,6,14,15168
4860,4,18,15118
4906,1,21,15072
4949,6,18,15027
4987,10,15,14988
5034,13,13,14940
5074,6,19,14901
5109,10,15,14866
5144,7,18,14831
5195,11,18,14776
5240,12,19,14729
5284,11,22,14683
5321,9,24,14646
5351,11,17,14621
5395,7,22,14576
5432,13,20,14535
5464,13,22,14501
5508,14,19,14459
5531,14,19,14436
5571,6,29,14394
5612,12,29,14347
5634,14,30,14322
5664,15,31,14290
5694,14,37,14255
5740,12,42,14206
5765,19,44,14172
5792,21,41,14146
5828,15,47,14110
5864,20,47,14069
5903,24,43,14030
5935,24,46,13995
5952,32,46,13970
5983,31,52,13934
6003,40,60,13897
6044,35,67,13854
6065,34,63,13838
6103,31,61,13805
6138,24,66,13772
6163,41,62,13734
6191,45,60,13704
6206,54,68,13672
6225,62,67,13646
6249,55,80,13616
6252,51,99,13598
6269,53,104,13574
6275,55,111,13559
6295,59,118,13528
6296,78,118,13508
6309,81,132,13478
6315,82,142,13461
6320,83,157,13440
6332,84,167,13417
6314,98,174,13414
6315,110,190,13385
6322,116,196,13366
6298,129,211,13362
6283,132,225,13360
6261,139,243,13357
6239,144,257,13360
6217,153,274,13356
6188,163,292,13357
6146,174,317,13363
6097,188,336,13379
6057,211,357,13375
5999,222,387,13392
5939,228,416,13417
5885,231,443,13441
5826,248,457,13469
5756,253,484,13507
5660,291,473,13576
5613,273,516,13598
5551,281,550,13618
5496,289,568,13647
5419,299,604,13678
5322,328,631,13719
5239,327,679,13755
5186,306,720,13788
5092,326,740,13842
4994,316,789,13901
4896,337,778,13989
4816,338,791,14055
4716,372,805,14107
4631,358,856,14155
4517,374,861,14248
4412,386,854,14348
4313,372,877,14438
4209,377,892,14522
4133,348,934,14585
4037,345,938,14680
