S,E,I,R
19971,9,17,3
19955,20,21,4
19940,25,28,7
19908,46,34,12
19881,54,49,16
19833,77,64,26
19775,103,86,36
19704,129,118,49
19572,217,142,69
19434,270,208,88
19241,371,264,124
18993,482,348,177
18685,578,521,216
18250,779,666,305
17727,1036,820,417
17065,1322,1067,546
16271,1624,1395,710
15255,2032,1790,923
14081,2427,2285,1207
12729,2911,2764,1596
11254,3320,3396,2030
9739,3586,4150,2525
8138,3844,4849,3169
6699,3896,5534,3871
5319,3829,6224,4628
4103,3624,6837,5436
3091,3335,7171,6403
2299,2876,7425,7400
1761,2394,7463,8382
1335,1956,7386,9323
1035,1564,7202,10199
835,1210,6843,11112
678,939,6454,11929
588,732,5988,12692
520,594,5517,13369
468,492,5052,13988
429,389,4554,14628
400,300,4146,15154
391,250,3686,15673
399,212,3321,16068
404,181,2984,16431
429,149,2667,16755
476,123,2368,17033
498,115,2112,17275
518,106,1863,17513
548,97,1652,17703
577,85,1491,17847
605,97,1315,17983
656,85,1150,18109
695,86,1013,18206
753,74,881,18292
805,61,786,18348
846,59,699,18396
892,67,619,18422
943,59,562,18436
1008,53,499,18440
1059,42,458,18441
1104,47,398,18451
1166,47,345,18442
1226,39,313,18422
1278,36,286,18400
1328,34,268,18370
1388,25,259,18328
1448,30,222,18300
1500,26,199,18275
1557,32,177,18234
1612,24,157,18207
1672,21,146,18161
1729,27,132,18112
1770,31,123,18076
1814,25,110,18051
1865,27,104,18004
1936,20,92,17952
2004,22,81,17893
2062,19,76,17843
2121,17,68,17794
2186,20,61,17733
2251,15,62,17672
2319,15,55,17611
2371,14,57,17558
2421,13,52,17514
2478,8,51,17463
2526,8,45,17421
2586,12,44,17358
2643,12,40,17305
2685,10,39,17266
2737,8,32,17223
2783,11,31,17175
2839,8,33,17120
2899,9,27,17065
2961,11,26,17002
3008,9,24,16959
3046,8,25,16921
3090,10,21,16879
3141,9,20,16830
3186,7,22,16785
3237,9,23,16731
3288,9,21,16682
3330,6,20,16644
3374,6,20,16600
3424,7,19,16550
3468,8,19,16505
3513,6,22,16459
3552,7,22,16419
3602,7,21,16370
3662,6,21,16311
3706,7,21,16266
3752,10,17,16221
3796,11,17,16176
3842,5,20,16133
3872,7,17,16104
3913,8,16,16063
3947,8,12,16033
3990,7,14,15989
4031,6,15,15948
4073,5,16,15906
4111,6,18,15865
4159,6,18,15817
4206,7,15,15772
4258,8,14,15720
4295,11,13,15681
4335,11,16,15638
4372,10,19,15599
4424,5,22,15549
4463,9,21,15507
4504,10,18,15468
4541,10,17,15432
4576,12,15,15397
4614,15,15,15356
4649,12,17,15322
4684,11,23,15282
4726,12,27,15235
4763,21,29,15187
4788,22,32,15158
4828,22,39,15111
4864,20,43,15073
4896,25,42,15037
4930,25,40,15005
4972,23,42,14963
5022,18,47,14913
5051,20,44,14885
5092,17,49,14842
5130,22,46,14802
5155,19,50,14776
5194,20,49,14737
5235,18,52,14695
5253,22,52,14673
5282,30,45,14643
5316,30,45,14609
5353,19,51,14577
5376,29,46,14549
5411,31,47,14511
5451,26,51,14472
5484,24,51,14441
5510,28,52,14410
5532,30,60,14378
5560,37,63,14340
5585,40,64,14311
5603,39,68,14290
5621,44,76,14259
5651,46,75,14228
5678,45,78,14199
5702,45,83,14170
5717,61,92,14130
5747,58,100,14095
5759,59,101,14081
5772,64,102,14062
5781,71,116,14032
5806,79,121,13994
5817,68,132,13983
5848,65,131,13956
5841,80,135,13944
5850,80,150,13920
5853,92,159,13896
5870,83,169,13878
5874,81,180,13865
5877,95,182,13846
5872,111,189,13828
5866,113,200,13821
5860,112,221,13807
5854,122,235,13789
5832,137,260,13771
5810,150,282,13758
5788,151,299,13762
5751,180,297,13772
5720,176,324,13780
5675,192,345,13788
5627,206,361,13806
5604,192,389,13815
5531,223,400,13846
5486,216,446,13852
5441,218,465,13876
5391,234,484,13891
5331,264,482,13923
5254,278,525,13943
5185,283,554,13978
5126,286,574,14014
5066,293,596,14045
4991,321,617,14071
4928,313,660,14099
4854,308,698,14140
4784,291,729,14196
4686,331,742,14241
4591,344,775,14290
4529,332,778,14361
4423,371,769,14437
4312,387,792,14509
4242,387,806,14565
4158,377,854,14611
4064,385,868,14683
3984,369,896,14751
3917,367,912,14804
3828,367,916,14889
3772,346,952,14930
3697,349,954,15000
3641,346,959,15054
3569,342,935,15154
3500,350,923,15227
3445,341,927,15287
3380,330,932,15358
3334,312,927,15427
3291,304,914,15491
3269,297,901,15533
3237,283,887,15593
3210,284,854,15652
3165,301,813,15721
3134,282,803,15781
3126,257,791,15826
3125,237,790,15848
3097,243,772,15888
3095,241,758,15906
3094,205,750,15951
3094,201,697,16008
3105,193,670,16032
3118,180,647,16055
3109,194,620,16077
3116,205,613,16066
3128,185,609,16078
3125,189,603,16083
3143,195,578,16084
3162,198,568,16072
3165,193,557,16085
3185,184,531,16100
3217,177,521,16085
3239,171,520,16070
3250,173,506,16071
3255,181,498,16066
3277,169,492,16062
3305,162,502,16031
3340,161,486,16013
3377,163,461,15999
3378,177,453,15992
3407,163,467,15963
3421,173,457,15949
3423,179,467,15931
3459,170,458,15913
3481,182,447,15890
3493,188,430,15889
3518,186,430,15866
3541,188,422,15849
3549,170,432,15849
3572,165,448,15815
3579,158,463,15800
3599,153,449,15799
3608,161,453,15778
3624,155,450,15771
3630,169,441,15760
3658,160,435,15747
3672,176,430,15722
3696,163,435,15706
3718,170,439,15673
3748,184,429,15639
3769,173,437,15621
3808,162,446,15584
3835,167,441,15557
3860,163,430,15547
3896,164,431,15509
3924,151,438,15487
3939,178,420,15463
3960,177,417,15446
3989,153,432,15426
3989,171,421,15419
4021,155,429,15395
4038,180,414,15368
4052,184,431,15333
4073,164,426,15337
4103,160,422,15315
4146,161,416,15277
4165,162,415,15258
4175,176,417,15232
4178,183,431,15208
4194,174,454,15178
4225,169,449,15157
4245,155,454,15146
4246,148,457,15149
4263,156,436,15145
4271,152,441,15136
4280,167,429,15124
4315,174,418,15093
4310,190,410,15090
4337,185,425,15053
4313,192,453,15042
4336,189,464,15011
4333,196,477,14994
4337,205,493,14965
4356,198,489,14957
4367,197,493,14943
4387,208,485,14920
4380,216,487,14917
4396,216,499,14889
4374,229,501,14896
4363,218,528,14891
4361,217,522,14900
4368,198,544,14890
4361,223,544,14872
4356,237,559,14848
4328,244,573,14855
4316,250,590,14844
4307,261,596,14836
4287,273,589,14851
4277,257,620,14846
4281,251,641,14827
4256,276,656,14812
4249,273,661,14817
4213,290,668,14829
4177,300,684,14839
4146,303,682,14869
4130,293,693,14884
4134,271,719,14876
4107,263,731,14899
4089,277,733,14901
4081,278,746,14895
4059,282,765,14894
4020,300,756,14924
3976,317,733,14974
4001,298,727,14974
3990,314,725,14971
3954,322,745,14979
3929,310,766,14995
3926,286,771,15017
3915,281,773,15031
3858,314,785,15043
3819,328,772,15081
3801,305,780,15114
3792,304,787,15117
3745,313,782,15160
3742,299,777,15182
3734,296,783,15187
3697,316,789,15198
3714,299,760,15227
3682,297,771,15250
3664,293,775,15268
3650,298,776,15276
3626,313,781,15280
3621,290,778,15311
3627,274,770,15329
3623,283,764,15330
3640,267,763,15330
3636,276,746,15342
3619,282,745,15354
3609,270,764,15357
3599,248,768,15385
3591,260,732,15417
3595,254,742,15409
3582,247,746,15425
3582,259,715,15444
3554,262,725,15459
3558,284,717,15441
3538,281,720,15461
3531,274,717,15478
3539,266,722,15473
3538,274,716,15472
3543,280,718,15459
3565,271,717,15447
3585,254,723,15438
3603,233,735,15429
3610,245,722,15423
3611,246,704,15439
3626,231,691,15452
3673,215,671,15441
3673,226,664,15437
3665,224,668,15443
3670,232,661,15437
3659,252,645,15444
3668,248,646,15438
3686,249,645,15420
3705,248,638,15409
3726,238,641,15395
3745,228,630,15397
3732,248,625,15395
3764,227,632,15377
3768,224,639,15369
3774,239,618,15369
3783,235,620,15362
3786,253,613,15348
3812,245,624,15319
3821,249,628,15302
3817,239,631,15313
3820,254,616,15310
3803,256,616,15325
3818,247,618,15317
3811,265,610,15314
3811,250,609,15330
3834,229,616,15321
3829,231,627,15313
3834,251,607,15308
3858,246,592,15304
3872,250,606,15272
3883,235,621,15261
3879,235,612,15274
3877,246,624,15253
3892,231,633,15244
3877,252,609,15262
3882,228,626,15264
3866,235,628,15271
3859,237,642,15262
3857,233,642,15268
3884,242,621,15253
3863,260,612,15265
3860,258,628,15254
3851,265,633,15251
3864,237,652,15247
3870,245,637,15248
3857,253,628,15262
3866,221,644,15269
3857,253,636,15254
3850,243,651,15256
3849,247,651,15253
3851,239,674,15236
3838,261,649,15252
3854,254,657,15235
3847,248,668,15237
3825,278,673,15224
3828,268,674,15230
3800,255,685,15260
3793,252,677,15278
3772,261,675,15292
3776,246,681,15297
3774,243,689,15294
3757,262,684,15297
3765,255,680,15300
3776,243,681,15300
3756,270,670,15304
3736,254,689,15321
3734,252,695,15319
3732,246,699,15323
3753,239,690,15318
3726,249,682,15343
3697,258,672,15373
3703,253,680,15364
3708,249,673,15370
3731,244,666,15359
3737,260,659,15344
3728,258,637,15377
3725,259,629,15387
3720,267,637,15376
3710,275,643,15372
3690,279,670,15361
3682,252,692,15374
3677,247,690,15386
3660,264,676,15400
3677,236,688,15399
3699,225,685,15391
3707,200,679,15414
3726,211,650,15413
3737,219,629,15415
3733,217,628,15422
3736,220,592,15452
3749,218,578,15455
3772,215,587,15426
3779,204,593,15424
3809,212,583,15396
3845,199,568,15388
3880,205,553,15362
3885,224,547,15344
3906,203,568,15323
3932,181,562,15325
3949,199,548,15304
3967,199,555,15279
3975,219,547,15259
3965,236,550,15249
3965,227,574,15234
3973,248,566,15213
3975,226,593,15206
3978,236,572,15214
4000,222,584,15194
4002,233,579,15186
3982,247,596,15175
4001,221,603,15175
4029,216,621,15134
4028,239,618,15115
4026,229,621,15124
4027,220,629,15124
4032,231,624,15113
4013,242,599,15146
4020,236,610,15134
4040,248,586,15126
4046,244,583,15127
4065,244,576,15115
4068,248,590,15094
4068,252,611,15069
4022,268,630,15080
4041,262,637,15060
4028,260,639,15073
4049,250,634,15067
4073,234,619,15074
4066,239,622,15073
4038,247,630,15085
4034,249,636,15081
4038,255,634,15073
4015,272,648,15065
4020,278,630,15072
