S,E,I,R
19964,16,18,2
19944,32,22,2
19925,40,30,5
19901,49,41,9
19858,74,53,15
19812,94,70,24
19756,114,92,38
19671,161,119,49
19549,227,154,70
19421,268,215,96
19237,340,293,130
18981,468,372,179
18648,635,470,247
18215,809,639,337
17694,1028,824,454
17020,1293,1095,592
16217,1610,1406,767
15189,1999,1825,987
14019,2386,2338,1257
12712,2793,2842,1653
11272,3142,3500,2086
9772,3487,4115,2626
8166,3781,4825,3228
6683,3868,5478,3971
5365,3753,6146,4736
4149,3509,6783,5559
3148,3128,7203,6521
2359,2727,7433,7481
1807,2263,7456,8474
1390,1887,7320,9403
1057,1534,7077,10332
816,1241,6809,11134
672,967,6371,11990
572,744,5919,12765
504,567,5483,13446
465,419,5011,14105
448,327,4524,14701
447,270,4078,15205
452,198,3676,15674
453,176,3248,16123
482,145,2877,16496
497,137,2588,16778
523,126,2280,17071
541,116,2036,17307
557,107,1795,17541
594,90,1579,17737
640,83,1389,17888
673,88,1234,18005
720,82,1097,18101
762,54,975,18209
785,65,862,18288
830,57,764,18349
869,61,674,18396
918,51,611,18420
994,46,527,18433
1043,43,451,18463
1094,44,387,18475
1150,41,336,18473
1200,36,297,18467
1246,28,269,18457
1301,39,239,18421
1344,30,225,18401
1388,26,206,18380
1435,28,179,18358
1494,21,168,18317
1565,19,148,18268
1621,25,131,18223
1674,23,126,18177
1716,26,104,18154
1776,18,98,18108
1836,20,89,18055
1892,12,92,18004
1936,11,77,17976
1994,10,64,17932
2037,17,56,17890
2095,15,54,17836
2139,15,50,17796
2191,12,50,17747
2226,10,47,17717
2284,13,39,17664
2339,6,39,17616
2405,5,37,17553
2464,8,31,17497
2514,12,30,17444
2553,14,28,17405
2603,12,32,17353
2658,10,35,17297
2702,10,31,17257
2756,5,34,17205
2815,4,29,17152
2857,6,28,17109
2903,4,25,17068
2967,4,22,17007
3024,2,18,16956
3077,1,18,16904
3128,4,18,16850
3184,5,13,16798
3239,7,11,16743
3282,6,12,16700
3336,6,11,16647
3376,6,10,16608
3433,5,8,16554
3471,2,9,16518
3518,3,10,16469
3557,2,10,16431
3599,2,11,16388
3636,1,11,16352
3691,3,10,16296
3728,4,8,16260
3782,1,9,16208
3830,2,9,16159
3881,1,9,16109
3921,2,9,16068
3958,1,8,16033
3997,1,8,15994
4042,2,7,15949
4085,3,7,15905
4121,4,5,15870
4165,3,6,15826
4216,3,7,15774
4254,1,9,15736
4292,6,8,15694
4337,4,10,15649
4380,3,10,15607
4431,3,11,15555
4482,6,9,15503
4535,5,12,15448
4575,4,13,15408
4625,3,14,15358
4672,4,14,15310
4716,5,14,15265
4740,9,11,15240
4776,9,15,15200
4808,6,18,15168
4852,9,20,15119
4897,7,22,15074
4930,7,19,15044
4969,6,20,15005
5004,14,21,14961
5034,13,25,14928
5073,10,26,14891
5097,13,25,14865
5133,18,18,14831
5173,15,19,14793
5196,12,20,14772
5223,11,23,14743
5261,9,27,14703
5300,9,29,14662
5336,7,33,14624
5371,10,29,14590
5402,14,23,14561
5434,11,29,14526
5463,16,23,14498
5501,12,27,14460
5543,11,30,14416
5581,12,35,14372
5613,12,31,14344
5640,18,29,14313
5672,20,31,14277
5693,20,32,14255
5737,17,35,14211
5770,19,34,14177
5797,19,40,14144
5826,18,38,14118
5855,17,39,14089
5890,23,36,14051
5924,22,41,14013
5950,22,50,13978
5977,31,53,13939
6004,27,58,13911
6041,27,56,13876
6066,34,57,13843
6091,39,59,13811
6124,43,66,13767
6133,50,74,13743
6147,53,85,13715
6182,47,90,13681
6204,56,93,13647
6230,45,110,13615
6240,66,109,13585
6241,76,110,13573
6266,78,116,13540
6287,71,129,13513
6286,79,135,13500
6301,66,153,13480
6306,63,157,13474
6295,80,160,13465
6294,89,166,13451
6288,100,177,13435
6297,106,195,13402
6283,120,202,13395
6273,121,222,13384
6243,141,223,13393
6228,148,235,13389
6207,144,259,13390
6192,150,285,13373
6172,146,314,13368
6135,171,327,13367
6099,194,333,13374
6074,210,345,13371
6003,234,385,13378
5941,241,432,13386
5867,239,458,13436
5833,222,498,13447
5774,265,495,13466
5723,250,519,13508
5663,245,545,13547
5617,262,534,13587
5525,291,544,13640
5462,306,564,13668
5365,322,613,13700
5270,331,663,13736
5180,339,691,13790
5085,333,724,13858
5000,356,738,13906
4904,365,752,13979
4825,359,784,14032
4705,371,836,14088
4633,365,835,14167
4540,367,853,14240
4456,368,858,14318
4380,373,885,14362
4283,399,895,14423
4185,413,894,14508
4097,383,938,14582
3999,394,943,14664
3880,392,956,14772
3781,401,988,14830
3694,392,979,14935
3621,377,992,15010
3545,370,995,15090
3470,362,1007,15161
3405,356,1008,15231
3317,375,994,15314
3247,376,1000,15377
3191,345,990,15474
3131,339,984,15546
3107,308,981,15604
3048,298,951,15703
3005,289,936,15770
2949,293,890,15868
2940,288,858,15914
2919,275,839,15967
2899,265,828,16008
2892,248,799,16061
2856,261,788,16095
2826,263,768,16143
2818,262,739,16181
2828,239,739,16194
2826,228,733,16213
2840,207,714,16239
2864,191,687,16258
2865,188,667,16280
2883,176,661,16280
2913,164,634,16289
2934,158,609,16299
2958,157,600,16285
2955,162,590,16293
2986,173,545,16296
2998,161,525,16316
3012,167,505,16316
3029,171,502,16298
3070,148,493,16289
3104,147,465,16284
3123,144,469,16264
3144,145,460,16251
3175,134,460,16231
3223,130,441,16206
3248,124,432,16196
3303,119,420,16158
3326,137,397,16140
3353,132,402,16113
3377,129,398,16096
3391,140,396,16073
3427,129,406,16038
3450,134,403,16013
3473,139,394,15994
3490,144,397,15969
3513,138,395,15954
3530,143,385,15942
3571,143,374,15912
3608,120,383,15889
3637,120,364,15879
3686,128,364,15822
3715,144,358,15783
3749,122,370,15759
3784,111,364,15741
3807,127,348,15718
3840,132,346,15682
3878,131,355,15636
3920,126,342,15612
3966,121,343,15570
3985,123,345,15547
4011,139,353,15497
4048,125,352,15475
4092,117,350,15441
4125,119,338,15418
4170,114,333,15383
4193,123,333,15351
4196,129,342,15333
4199,145,339,15317
4215,143,349,15293
4260,116,368,15256
4286,133,355,15226
4304,160,349,15187
4286,182,361,15171
4315,172,369,15144
4318,178,366,15138
4346,168,376,15110
4354,171,378,15097
4368,170,393,15069
4365,182,391,15062
4390,174,404,15032
4381,181,423,15015
4381,177,446,14996
4402,164,446,14988
4412,175,442,14971
4406,193,433,14968
4390,205,455,14950
4389,202,461,14948
4415,199,454,14932
4420,202,490,14888
4409,221,498,14872
4397,234,507,14862
4410,221,515,14854
4413,218,506,14863
4436,220,515,14829
4430,226,522,14822
4412,242,540,14806
4417,242,558,14783
4396,253,559,14792
4360,269,560,14811
4342,257,585,14816
4314,258,617,14811
4317,272,604,14807
4305,274,629,14792
4277,285,643,14795
4245,278,662,14815
4224,289,668,14819
4185,316,686,14813
4182,293,705,14820
4166,293,718,14823
4150,292,713,14845
4115,295,710,14880
4083,279,717,14921
4073,277,706,14944
4078,262,728,14932
4071,264,718,14947
4049,270,715,14966
4033,272,710,14985
4014,264,736,14986
3984,291,734,14991
3958,293,739,15010
3914,295,755,15036
3896,295,766,15043
3882,292,783,15043
3859,310,778,15053
3861,283,796,15060
3836,288,784,15092
3820,295,784,15101
3811,284,786,15119
3816,273,794,15117
3783,297,772,15148
3753,306,759,15182
3727,303,761,15209
3737,263,799,15201
3702,267,783,15248
3696,271,790,15243
3679,269,777,15275
3669,283,765,15283
3673,275,740,15312
3677,278,702,15343
3676,254,695,15375
3671,247,671,15411
3685,231,670,15414
3654,263,660,15423
3687,236,671,15406
3710,234,659,15397
3715,249,652,15384
3732,237,656,15375
3740,245,633,15382
3751,254,611,15384
3779,250,617,15354
3791,226,632,15351
3791,219,665,15325
3769,233,666,15332
3774,252,668,15306
3784,258,678,15280
3779,265,678,15278
3773,241,692,15294
3766,249,681,15304
3774,259,663,15304
3779,241,664,15316
3771,252,658,15319
3763,259,658,15320
3774,244,655,15327
3771,243,664,15322
3792,254,653,15301
3773,276,643,15308
3801,276,645,15278
3789,278,678,15255
3777,272,684,15267
3772,260,680,15288
3786,265,674,15275
3781,275,673,15271
3779,251,694,15276
3789,238,696,15277
3781,234,720,15265
3786,238,701,15275
3778,235,714,15273
3787,227,699,15287
3800,238,670,15292
3800,253,660,15287
3814,239,677,15270
3826,251,662,15261
3831,252,659,15258
3815,264,650,15271
3814,261,656,15269
3819,249,661,15271
3814,242,663,15281
3802,264,654,15280
3811,264,671,15254
3803,253,692,15252
3779,270,676,15275
3765,266,680,15289
3772,260,684,15284
3756,254,689,15301
3767,268,686,15279
3747,269,693,15291
3702,269,705,15324
3688,262,713,15337
3663,269,712,15356
3668,259,719,15354
3689,249,728,15334
3687,249,711,15353
3686,255,695,15364
3683,257,681,15379
3682,257,693,15368
3694,242,694,15370
3715,236,672,15377
3717,238,656,15389
3715,249,645,15391
3702,252,629,15417
3700,253,640,15407
3708,248,652,15392
3681,235,666,15418
3685,231,649,15435
3686,234,645,15435
3692,231,656,15421
3707,238,636,15419
3701,253,631,15415
3688,247,635,15430
3705,245,642,15408
3706,222,638,15434
3706,241,616,15437
3714,236,625,15425
3687,266,597,15450
3697,252,625,15426
3697,262,625,15416
3720,269,614,15397
3706,264,641,15389
3704,256,652,15388
3724,237,658,15381
3725,249,650,15376
3712,257,657,15374
3703,248,663,15386
3701,229,652,15418
3700,232,656,15412
3692,245,651,15412
3692,242,652,15414
3693,238,663,15406
3717,242,663,15378
3711,232,671,15386
3685,245,683,15387
3683,253,669,15395
3685,228,688,15399
3694,222,699,15385
3669,245,688,15398
3660,231,686,15423
3652,258,661,15429
3640,267,668,15425
3634,262,657,15447
3614,251,668,15467
3618,246,675,15461
3630,230,666,15474
3638,238,673,15451
3673,236,652,15439
3668,233,632,15467
3656,230,635,15479
3675,223,624,15478
3671,226,611,15492
3690,241,604,15465
3726,216,611,15447
3740,223,592,15445
3748,220,604,15428
3776,220,595,15409
3769,228,600,15403
3798,225,580,15397
3793,215,596,15396
3795,236,600,15369
3790,238,587,15385
3799,228,595,15378
3804,232,598,15366
3807,224,634,15335
3801,230,628,15341
3823,229,616,15332
3820,230,619,15331
3810,260,614,15316
3807,257,621,15315
3791,251,612,15346
3769,254,613,15364
3749,281,609,15361
3755,263,630,15352
3766,256,641,15337
3793,235,657,15315
3785,228,659,15328
3775,252,655,15318
3773,239,678,15310
3772,248,677,15303
3780,240,671,15309
3791,243,663,15303
3791,238,676,15295
3796,244,665,15295
3811,244,668,15277
3818,216,681,15285
3830,217,655,15298
3837,225,636,15302
3808,247,623,15322
3817,237,635,15311
3828,235,629,15308
3831,219,647,15303
3815,253,624,15308
3817,252,637,15294
3808,258,642,15292
3810,246,646,15298
3797,244,657,15302
3777,256,677,15290
3765,264,674,15297
3786,244,653,15317
3791,252,658,15299
3782,258,668,15292
3796,244,650,15310
3815,226,658,15301
3828,247,639,15286
3830,221,669,15280
3816,244,645,15295
3806,246,665,15283
3829,230,651,15290
3846,211,649,15294
3846,226,637,15291
3884,211,632,15273
3870,224,630,15276
3886,220,639,15255
3914,209,621,15256
3931,227,608,15234
3944,220,594,15242
3943,214,588,15255
3959,231,573,15237
3973,223,584,15220
3986,232,575,15207
3986,235,574,15205
3979,221,585,15215
3984,213,573,15230
3984,207,576,15233
4003,212,570,15215
4041,201,554,15204
4063,203,549,15185
4072,205,558,15165
4073,225,562,15140
4080,244,566,15110
4094,240,571,15095
4098,230,587,15085
4081,257,584,15078
4061,270,610,15059
4069,249,632,15050
4055,272,613,15060
4035,252,630,15083
4036,255,638,15071
4019,271,630,15080
4036,267,628,15069
4023,279,640,15058
4017,260,655,15068
3988,254,662,15096
3985,255,672,15088
3956,267,674,15103
3928,259,699,15114
3919,253,704,15124
3917,240,699,15144
3922,251,692,15135
3915,263,670,15152
3931,241,672,15156
3937,252,664,15147
3932,262,656,15150
3913,268,655,15164
3923,245,666,15166
3934,254,658,15154
3928,260,667,15145
3922,269,670,15139
3950,254,681,15115
3939,266,662,15133
3914,264,674,15148
3919,261,669,15151
3915,253,693,15139
3888,262,699,15151
3879,273,709,15139
3891,262,692,15155
3893,249,698,15160
3905,249,678,15168
3913,247,660,15180
3907,267,668,15158
3902,267,686,15145
3919,234,692,15155
3909,238,675,15178
3889,273,659,15179
3849,297,687,15167
3839,305,688,15168
3835,301,717,15147
3815,299,741,15145
3798,285,744,15173
3760,307,744,15189
3759,304,736,15201
3740,293,734,15233
3719,293,743,15245
3708,276,760,15256
3730,276,710,15284
3739,257,727,15277
3741,242,740,15277
3731,249,737,15283
3729,249,725,15297
3709,268,701,15322
3696,253,730,15321
3675,262,720,15343
3671,231,754,15344
3688,227,714,15371
3687,229,704,15380
3710,223,698,15369
3725,236,693,15346
3711,265,669,15355
3689,272,683,15356
3697,258,697,15348
3708,260,677,15355
3710,246,669,15375
3729,238,679,15354
3739,244,669,15348
3775,223,645,15357
3799,224,646,15331
3817,243,634,15306
3828,248,645,15279
3826,239,656,15279
3827,240,651,15282
3846,252,643,15259
3843,230,656,15271
3839,238,644,15279
3842,258,637,15263
3833,255,646,15266
3853,250,656,15241
3838,249,664,15249
3825,240,667,15268
3833,253,633,15281
3832,237,648,15283
3808,256,616,15320
3799,254,630,15317
3791,249,645,15315
3776,249,653,15322
3776,252,673,15299
