S,E,I,R
19972,8,14,6
19965,14,13,8
19958,18,15,9
19938,28,23,11
19916,41,26,17
19892,50,39,19
19853,69,51,27
19820,73,72,35
19756,113,83,48
19668,158,106,68
19580,186,149,85
19430,264,202,104
19244,345,279,132
19020,448,353,179
18718,570,478,234
18336,726,635,303
17805,967,811,417
17167,1265,1013,555
16376,1570,1328,726
15438,1930,1687,945
14339,2298,2134,1229
13016,2798,2622,1564
11567,3202,3290,1941
10031,3480,4065,2424
8476,3675,4820,3029
6871,3864,5543,3722
5503,3772,6199,4526
4294,3580,6735,5391
3332,3266,7094,6308
2520,2865,7317,7298
1895,2390,7438,8277
1450,1953,7371,9226
1103,1599,7160,10138
889,1241,6919,10951
706,965,6473,11856
588,755,5947,12710
543,553,5451,13453
504,434,4949,14113
476,355,4488,14681
433,300,4089,15178
427,230,3634,15709
434,177,3268,16121
445,160,2898,16497
466,127,2591,16816
512,103,2293,17092
547,104,2024,17325
552,113,1811,17524
573,104,1602,17721
598,94,1423,17885
631,80,1278,18011
679,67,1126,18128
728,62,995,18215
772,60,887,18281
819,61,802,18318
885,56,707,18352
941,61,609,18389
980,56,559,18405
1028,51,502,18419
1073,45,453,18429
1126,46,396,18432
1174,51,359,18416
1223,46,325,18406
1272,37,296,18395
1319,33,257,18391
1381,37,219,18363
1433,32,205,18330
1487,32,175,18306
1548,27,156,18269
1595,22,143,18240
1650,22,130,18198
1719,20,107,18154
1786,18,100,18096
1843,18,91,18048
1912,17,82,17989
1971,11,78,17940
2023,11,72,17894
2080,13,66,17841
2122,11,57,17810
2171,14,44,17771
2224,12,42,17722
2272,9,41,17678
2325,7,41,17627
2367,9,37,17587
2419,11,33,17537
2472,8,34,17486
2523,6,29,17442
2571,8,26,17395
2618,8,21,17353
2670,6,19,17305
2735,5,15,17245
2770,3,12,17215
2830,5,12,17153
2889,5,10,17096
2933,6,9,17052
2986,0,13,17001
3054,1,11,16934
3112,1,12,16875
3157,0,11,16832
3213,1,7,16779
3272,1,5,16722
3333,2,3,16662
3385,1,5,16609
3423,3,3,16571
3470,2,4,16524
3514,1,4,16481
3564,1,4,16431
3617,0,5,16378
3662,0,3,16335
3713,0,3,16284
3765,0,3,16232
3800,0,3,16197
3855,1,2,16142
3897,1,2,16100
3932,1,3,16064
3972,1,3,16024
4028,1,2,15969
4067,0,2,15931
4114,2,2,15882
4152,0,4,15844
4194,1,2,15803
4239,1,1,15759
4280,1,1,15718
4328,0,2,15670
4370,0,2,15628
4416,0,2,15582
4472,0,2,15526
4514,0,0,15486
4556,0,0,15444
4602,0,0,15398
4650,0,0,15350
4692,0,0,15308
4729,0,0,15271
4781,0,0,15219
4826,0,0,15174
4871,0,0,15129
4910,0,0,15090
4964,0,0,15036
5007,0,0,14993
5052,0,0,14948
5105,0,0,14895
5144,0,0,14856
5189,0,0,14811
5224,0,0,14776
5259,0,0,14741
5307,0,0,14693
5336,0,0,14664
5393,0,0,14607
5430,0,0,14570
5471,0,0,14529
5513,0,0,14487
5555,0,0,14445
5588,0,0,14412
5626,0,0,14374
5669,0,0,14331
5703,0,0,14297
5737,0,0,14263
5779,0,0,14221
5810,0,0,14190
5856,0,0,14144
5899,0,0,14101
5944,0,0,14056
5981,0,0,14019
6019,0,0,13981
6061,0,0,13939
6109,0,0,13891
6147,0,0,13853
6183,0,0,13817
