S,E,I,R
19972,8,16,4
19955,23,17,5
19940,27,26,7
19921,37,30,12
19895,46,40,19
19840,82,53,25
19792,92,81,35
19740,119,86,55
19674,144,112,70
19570,184,161,85
19434,242,214,110
19264,318,283,135
19000,449,375,176
18645,619,500,236
18225,819,646,310
17736,1011,829,424
17078,1290,1083,549
16230,1622,1425,723
15236,2018,1815,931
13999,2513,2286,1202
12677,2880,2896,1547
11107,3355,3563,1975
9552,3690,4272,2486
7955,3892,4988,3165
6471,3949,5704,3876
5120,3804,6375,4701
3949,3526,6937,5588
3026,3147,7304,6523
2303,2660,7540,7497
1720,2248,7535,8497
1334,1807,7453,9406
1022,1473,7140,10365
808,1166,6769,11257
663,887,6361,12089
556,718,5918,12808
492,573,5430,13505
431,467,4972,14130
424,368,4520,14688
434,265,4104,15197
436,220,3670,15674
430,181,3311,16078
440,155,2926,16479
464,127,2603,16806
480,120,2335,17065
508,102,2063,17327
536,90,1833,17541
583,71,1627,17719
611,79,1428,17882
631,76,1267,18026
671,65,1123,18141
713,68,988,18231
758,54,864,18324
800,51,758,18391
869,57,659,18415
922,39,586,18453
972,51,508,18469
1017,39,466,18478
1055,46,395,18504
1129,38,353,18480
1174,39,306,18481
1217,40,277,18466
1270,38,255,18437
1325,36,216,18423
1375,32,199,18394
1429,30,182,18359
1485,33,166,18316
1536,26,162,18276
1597,21,146,18236
1658,20,124,18198
1711,19,107,18163
1782,17,102,18099
1826,22,85,18067
1875,20,81,18024
1922,9,81,17988
1976,9,74,17941
2030,8,65,17897
2082,8,64,17846
2130,13,53,17804
2188,8,44,17760
2234,14,40,17712
2301,7,39,17653
2365,10,35,17590
2410,7,32,17551
2461,11,26,17502
2524,8,25,17443
2571,8,27,17394
2629,8,27,17336
2674,7,29,17290
2729,5,29,17237
2783,1,25,17191
2845,1,23,17131
2909,2,20,17069
2951,3,18,17028
3000,4,14,16982
3045,3,16,16936
3097,2,15,16886
3150,1,15,16834
3196,4,13,16787
3234,3,13,16750
3276,3,13,16708
3304,4,13,16679
3339,5,13,16643
3391,3,12,16594
3436,3,11,16550
3491,2,13,16494
3537,6,10,16447
3581,6,9,16404
3622,2,12,16364
3660,1,11,16328
3705,1,11,16283
3759,1,4,16236
3804,1,5,16190
3836,3,5,16156
3883,4,3,16110
3927,2,6,16065
3965,0,7,16028
4018,0,5,15977
4059,0,4,15937
4106,1,4,15889
4158,1,5,15836
4196,0,6,15798
4251,0,4,15745
4285,1,4,15710
4337,0,5,15658
4378,0,3,15619
4422,0,3,15575
4468,0,3,15529
4502,0,3,15495
4548,2,3,15447
4599,2,4,15395
4636,1,3,15360
4679,1,3,15317
4722,0,3,15275
4777,0,2,15221
4818,0,1,15181
4871,0,1,15128
4914,0,0,15086
4964,0,0,15036
5006,0,0,14994
5046,0,0,14954
5083,0,0,14917
5120,0,0,14880
5157,0,0,14843
5198,0,0,14802
5240,0,0,14760
5278,0,0,14722
5312,0,0,14688
5346,0,0,14654
5399,0,0,14601
5441,0,0,14559
5475,0,0,14525
5517,0,0,14483
5559,0,0,14441
5595,0,0,14405
5647,0,0,14353
5684,0,0,14316
5712,0,0,14288
5751,0,0,14249
5791,0,0,14209
5840,0,0,14160
5881,0,0,14119
5928,0,0,14072
5968,0,0,14032
6019,0,0,13981
6045,0,0,13955
6078,0,0,13922
6114,0,0,13886
6154,0,0,13846
6193,0,0,13807
6235,0,0,13765
6265,0,0,13735
6299,0,0,13701
6341,0,0,13659
6384,0,0,13616
6416,0,0,13584
6463,0,0,13537
6495,0,0,13505
6538,0,0,13462
6572,0,0,13428
6609,0,0,13391
6630,0,0,13370
6659,0,0,13341
6704,0,0,13296
6736,0,0,13264
6775,0,0,13225
6814,0,0,13186
6834,0,0,13166
6865,0,0,13135
6907,0,0,13093
6932,0,0,13068
6980,0,0,13020
7013,0,0,12987
7045,0,0,12955
7072,0,0,12928
7104,0,0,12896
7133,0,0,12867
7160,0,0,12840
7191,0,0,12809
7230,0,0,12770
7280,0,0,12720
7312,0,0,12688
7343,0,0,12657
7383,0,0,12617
7415,0,0,12585
7452,0,0,12548
7484,0,0,12516
7524,0,0,12476
7560,0,0,12440
7597,0,0,12403
7630,0,0,12370
7675,0,0,12325
7711,0,0,12289
7747,0,0,12253
7783,0,0,12217
7815,0,0,12185
7852,0,0,12148
7885,0,0,12115
7918,0,0,12082
7961,0,0,12039
8000,0,0,12000
8037,0,0,11963
8070,0,0,11930
8100,0,0,11900
